IDENT,LATITUDE,LONGITUDE
ADV03,24.388561,54.716811
ADV07,24.4166,54.6741
ADV17,24.339611,54.833925
ADV20,24.4032,54.693
ADV31,24.573372,54.506061
ADV32,24.588525,54.524619
ADV36,24.455431,54.620936
ADV80,24.4508,54.6265
ADV99,24.388961,54.852867
ALPEK,22.78,53.995
ANVIX,24.781944,55.937778
ASKOP,25.3075,54.141389
ASTOG,25.472778,52.840278
ASVOR,25.155564,55.54675
ATBEX,25.1275,53.838611
ATBOR,25.168611,55.329722
ATUDO,24.285556,54.575556
AVAMI,25.098333,55.946389
BALUS,25.765,53.073333
BARIQ,25.024364,55.144947
BLIXI,25.355278,55.153889
BOMOS,24.316472,54.817417
BOPIT,23.996389,54.067778
BOSOV,25.069781,56.436367
BOVET,25.441111,55.1975
BOXAK,24.76,54.008889
BUBIN,24.961667,56.111667
BUBOK,25.205556,55.622222
CIMAH,25.024583,55.235978
CUMAH,25.028778,55.496503
DANOK,23.705556,53.519722
DAPIN,25.129383,55.593756
DARAX,26.161667,55.883333
DASLA,24.629722,53.546667
DBW01,25.2287,55.4076
DBW02,25.2199,55.4232
DEMRA,24.886389,54.954444
DERLA,25.130556,55.561944
DESDI,25.600833,54.708333
DIXAM,25.237458,56.537617
DUMPI,25.290278,53.416667
DUVGA,25.505833,54.058333
DXB03,25.269292,55.343139
DXB04,25.207272,55.452253
DXB07,25.304697,55.280739
DXB10,25.213581,55.5709
DXB11,25.193739,55.565633
DXB15,25.254494,55.365569
DXB35,25.270183,55.333097
DXB40,25.298206,55.290461
DXB44,25.214197,55.440547
DXB81,25.287694,55.174908
DXB82,25.2911,55.1758
DXB87,25.307889,55.181239
DXB88,25.311192,55.182519
ELUDA,23.851944,55.484722
EMERU,24.808056,55.050833
EMINU,25.316622,55.235453
ESROM,23.406667,52.958056
FJV05,25.097494,56.363036
FJV10,25.061542,56.533028
FJV15,25.037642,56.62105
FJV83,25.116589,56.537342
GADVO,24.690556,53.716667
GAMAL,25.02545,55.236686
GEVEG,25.19045,55.484044
GEVOS,24.529494,54.468842
GIDIS,24.6,55.933333
GIDOX,25.141558,55.566453
GIRBA,24.557236,54.488603
GISMO,24.795278,56.376667
GIVDI,24.361808,54.738442
GOGMI,24.779722,54.972222
GOLGU,23.180833,52.519167
HATEM,25.028208,55.49585
IMSEN,24.490292,54.549614
IMTEN,25.888056,55.913611
IMVIM,25.347106,55.201456
ITENU,25.375228,55.166908
ITITA,25.736111,54.310833
ITNER,25.321033,55.2486
ITOMA,24.511264,54.552936
ITOSO,25.328828,55.243428
ITRAX,24.213333,55.796944
IVEDA,25.178228,55.486381
JORDN,25.022997,55.144247
KANIP,24.177778,55.345
KAXAM,24.303639,54.804064
KINOS,25.663889,53.898333
KISAG,25.309444,54.235556
KODIL,25.831389,54.013333
KUNGU,24.631667,53.940833
KUPOX,25.381842,55.138564
LADGA,25.18775,55.488833
LAKTU,25.321411,56.654875
LOPAX,24.425833,55.046944
LOPOM,25.494722,53.471389
LOVIM,24.49575,54.564972
LOVOL,25.144167,55.567278
LOXAT,25.363725,52.757156
LUDER,24.959167,55.086389
LUDID,23.040833,55.3
MAXMO,25.718889,55.689444
MEKMA,24.908333,52.418056
MEMBI,24.618056,54.441944
MIADA,24.853333,54.96
MIRUN,25.0713,56.432622
MISOD,24.316667,54.733333
MODUS,25.185,55.486583
MURAK,24.371944,54.737194
MUSEN,24.241389,54.543333
MUTVI,25.616667,54.926111
MUXIT,23.041389,52.506667
NABOP,25.435278,54.568056
NADNI,25.320833,55.949722
NALTA,25.045,55.665278
NAMSI,24.625278,54.946667
NASRR,25.029078,55.587594
NIBAX,24.963333,54.243611
NIGEL,23.032186,55.242547
NIVRO,25.039289,56.517433
NOBTO,23.923611,55.311111
NOMRU,25.306944,55.107778
OBNEL,25.149722,55.575
ODKOS,24.362344,54.750694
ORDEB,25.190256,55.494561
ORKON,25.071947,56.430936
OSTIN,25.1225,55.6
PAXES,25.0427,56.508492
PEBAT,25.864722,54.399167
PINGO,25.386111,55.130833
PUTUN,25.038122,56.521297
R1800,25.252828,55.364369
R1801,25.235914,55.394875
R1802,25.105658,56.341403
R3022,25.264633,55.350386
R3023,25.247683,55.38095
R5004,24.444389,54.635206
R5005,24.421708,54.667158
RADSO,24.367722,54.745361
RAGOL,25.461944,55.1275
RALDA,24.552528,54.4855
RAMRO,25.277222,52.947778
RANBI,25.318889,54.75
RAPSA,25.616667,54.283333
