IDENT,LATITUDE,LONGITUDE
AKOGE,31.520442,65.872261
ALAMI,35.101667,70.42
ALEXY,33.191667,62.833333
ALKIB,35.994444,69.904444
ALMOL,35.663056,69.758333
AMDAR,37.208333,67.343333
ANVES,34.838581,69.191331
ASLUM,31.016667,66.616667
ASMOP,35.095,69.420167
BAGNI,32.625,64.441667
BENUL,31.564589,65.943292
BGM06,35.018558,69.337617
BGM13,34.752097,69.122403
BGM17,34.683672,69.169606
BGM20,34.696858,69.127411
BGM23,34.605981,69.032294
BGM99,34.691347,69.142969
BOTAN,36.269444,67.511111
BOXUD,33.525508,69.769964
CAMUX,34.749572,69.142128
CANUP,31.725094,66.217125
CEGAT,31.452764,65.750556
CEKAS,31.571181,65.957819
CHARN,35.168575,61.135358
CIDVU,34.555933,69.016703
CIMAB,34.590028,69.118164
CODIX,31.440472,65.737697
COKIB,36.796667,69.383333
CORBN,34.509233,69.431236
COSMO,34.237872,69.125525
DANOD,32.407936,62.010908
DAPUB,34.674306,69.302414
DARUS,32.295556,66.126944
DASUN,34.814836,69.184572
DAVER,29.571667,64.671667
DAXUP,34.983333,63.108333
DEPKI,34.709281,69.123811
DESRT,34.525539,69.412514
DILAM,32.175,63.4
DIRT,31.090333,65.170833
DOLAN,31.841667,64.65
DOLME,35.018333,69.337969
DOMDE,34.404458,69.153722
DOSHI,35.6,68.441667
DOVKE,31.627956,66.054303
DUPUG,31.295931,65.473381
EGPAN,38.416667,70.733333
ELEKO,30.334733,66.145833
EMAVO,31.492069,65.824078
EMEKU,31.347661,65.99235
EMERO,30.239967,65.105139
EMUMA,34.757333,69.119792
FALOD,31.383203,65.641894
FARAH,32.366667,62.158333
FYDER,34.515772,69.148617
GENIV,34.647642,69.194675
GENOP,34.841397,69.185814
GERAN,34.238889,69.803333
GEROR,34.21,62.221667
GINRI,34.774714,69.5181
GIVNU,34.559494,69.235631
GODSI,32.502517,67.815194
HAKER,31.731006,66.212233
HHOOT,31.561503,65.941444
HIWY2,31.9,65.485278
IMENO,31.623389,66.038103
IMGES,34.983817,70.152456
IMSIK,34.919536,69.247628
IVAGA,36.666667,68.916667
JATON,31.3964,65.652625
JIMPO,35.3,63.65
JIROT,33.172639,68.799353
KALKN,34.794053,69.131303
KARRY,34.576281,69.013769
KAVOG,37.091667,70.5
KBL11,34.551772,69.269481
KBL18,34.259125,69.180911
KBL71,34.585311,69.155378
KEDAR,34.167797,68.887608
KEEMO,34.504239,69.489964
KHOLM,36.716667,67.683333
KIRAT,30.665,64.910278
KODAD,34.116389,69.401667
KOPKE,33.213606,68.765061
KOTAL,34.099722,71.149444
KOVME,34.496444,69.480844
KUMDU,34.918425,69.246453
KUNAN,32.059444,66.6075
LABUS,33.386667,62.25
LAJAK,33.93305,70.499717
LANNI,34.431281,69.837792
LEELO,34.477047,69.554897
LEIPS,35.017833,69.316167
LENTE,34.461378,69.615464
LONEX,34.526008,68.388325
LORAD,34.760158,69.136914
LOVIT,31.151111,65.007222
LUBEK,34.743861,69.057975
LUDES,34.710333,69.102406
LUTRE,33.262961,68.775261
MASMO,34.540664,69.333917
MAXIN,32.775,67.45
MENPA,34.899833,69.233833
MESRA,33.277628,68.798919
MIBEE,34.464192,69.681539
MIGAH,34.521308,69.407803
MIRAB,34.7675,69.149667
MIXEL,34.455292,70.081853
MULRE,33.222161,68.706339
MURAD,34.516667,69.15
MYLOE,34.492083,69.4972
NABID,31.747778,64.974167
NABKA,31.483267,62.851922
NAKOE,34.511428,69.423117
NEVIV,33.98,67.783333
NOMVU,34.806806,69.184517
OBNIG,34.612258,69.068111
OKB07,34.588797,69.078414
OKB11,34.388344,69.149025
OKRUE,34.535489,69.339311
OLOSE,34.830344,69.185564
OYLER,31.61855,66.037703
PADDY,36.466111,71.632778
PALMS,34.400572,69.170658
PARIC,33.116517,68.846267
PAROD,31.483333,65.9
PASEN,34.715286,69.086831
PATOX,33.548333,68.42
PEGAL,34.486594,69.519378
PRKWY,31.524667,66.4485
QUINA,36.133333,68.866667
R1264,31.497642,65.833969
R1266,31.514108,65.861631
R2711,34.561175,69.230531
R2921,33.130589,68.834572
R2925,34.931714,69.256097
RAGOR,34.774772,69.163683
RALOY,34.588983,69.137678
RAMSO,34.43,70.475
RANAH,35.583333,63.2
RESOT,35.925,64.77
RIGEN,34.719197,69.141831
RIKAD,33.461667,66.458333
ROBEN,34.793183,69.490136
SERGO,35.241389,67.121667
SIGSI,31.091667,61.883333
SIXER,34.605133,69.059147
SODAS,30.660556,66.067222
STICH,34.502092,69.458725
STTAN,34.510364,69.491083
TABDA,34.308922,68.604861
TABDE,33.006728,68.819872
TOLER,34.487508,69.608883
TOTSI,32.038889,65.170278
UCANO,33.019781,68.877269
UKMUS,36.45,66.38
ULOSA,30.7525,65.429722
VACUK,30.712356,63.855283
VELDT,34.5,64.9
VISUG,34.989628,69.296489
VOBUC,34.385928,69.231497
VOCUN,33.032811,68.934706
VUSAR,34.839503,68.257772
VUSIP,31.432222,66.872222
VUVEN,34.541667,66.925
VUXAX,34.763667,68.919833
WABAD,33.06815,68.861778
WEBRO,34.445642,69.675169
WIRID,34.536336,69.326856
WOVIS,34.403211,69.049261
XARDO,36.73,67.258333
