IDENT,LATITUDE,LONGITUDE
ADDER,40.523889,20.304722
AKIKA,42.534167,19.603889
DIMIS,40.0725,20.594722
DIRES,41.057794,19.192428
DITAN,40.999986,19.351689
DOBAR,41.332778,20.494722
ELBAK,40.998483,19.992136
GOKEL,40.598333,19.0
GRIBA,40.475,19.62
INLOT,41.843639,19.517158
MAGGI,41.184167,19.376667
MAVAR,41.67,20.53
NIKRO,39.665833,20.12
ODRAS,41.542397,20.118894
OVVER,40.541667,20.012778
PAPIZ,40.891667,18.951667
PETAK,41.775278,19.313889
TRN01,41.432767,19.716792
TRN03,41.46605,19.713994
TRN05,41.590864,19.703469
TRN08,41.283897,19.741642
TRN11,41.399597,19.721128
TRN26,41.616917,19.559744
TRN33,41.361581,19.727875
TRN41,41.640925,19.634403
TRN48,41.745836,19.651456
TRN50,41.333483,19.732858
TRN53,41.649108,19.698544
TRN65,41.524297,19.709086
TRN69,41.20125,19.75625
TRN73,41.149842,19.740475
TRN80,41.199717,19.701267
TRN87,41.202878,19.666469
TUMBO,40.067222,20.472778
UNDER,41.068517,19.947414
