IDENT,LATITUDE,LONGITUDE
ADANO,39.666667,45.833333
ADILA,39.996667,45.495
ASMIK,40.661389,44.233333
GIDLA,40.758333,45.129722
KOTAN,40.98,45.296667
MAGRI,38.902222,46.383333
MATAL,40.768611,45.502222
NEGAN,39.755,45.01
OKUDA,40.146944,44.036389
PEMAN,40.391111,45.642222
R5006,40.147153,44.373294
REBGI,40.243333,44.5775
REBLO,40.84,43.685
TABAS,40.835278,43.831667
TIBLO,40.385556,43.891111
ZVR04,40.147153,44.4539
ZVR05,40.147153,44.456072
ZVR13,40.024289,44.612597
ZVR21,40.377547,44.714244
ZVR24,39.925597,44.808472
ZVR31,40.2374,44.257125
ZVR35,40.237253,44.366961
ZVR49,40.104267,44.172783
ZVR50,40.147136,44.258289
ZVR56,40.12275,44.167392
ZVR65,40.146956,44.136575
ZVR71,40.148625,44.218494
ZVR81,40.235742,44.5
ZVR90,40.147183,44.3474
ZVR91,40.147183,44.345228
