IDENT,LATITUDE,LONGITUDE
ACORA,13.656667,-67.5
AFTON,14.733333,-68.3
BEXER,14.194222,-68.187861
BONAX,12.078333,-67.83
BOSCO,14.682528,-67.984528
BREDA,14.0,-69.195
DUNER,13.49,-71.175003
DUSAN,14.35,-70.0
ELASO,15.259444,-74.0
HTO01,12.185178,-68.936047
HTO05,12.227958,-69.156436
HTO06,12.208844,-69.056183
HTO07,12.167083,-68.856461
HTO10,12.144433,-68.756997
HTO11,12.114178,-68.6244
HTO12,12.193531,-68.975992
HTO20,12.253383,-69.290131
IRGUT,16.0,-69.914722
KABON,12.745,-67.69
KERLI,13.298333,-69.123336
LENOM,17.0,-72.67
LIDOL,15.07,-73.199722
LUCAS,13.303056,-67.885556
MASEN,15.971389,-72.270833
MOLOC,15.033333,-70.033333
ONDAS,13.043333,-69.388889
PALAS,16.566667,-71.683333
PENKO,15.083611,-70.318333
PERSO,14.909722,-69.290833
PJG01,12.1923,-68.9814
PJG07,12.213239,-69.095353
PJG09,12.216917,-69.115428
PJG11,12.223042,-69.148892
R2370,12.190519,-68.967686
REPIS,11.741667,-68.745
SENSO,13.866667,-71.933333
SINDA,12.823583,-68.375556
VODIN,14.56,-67.306667
