IDENT,LATITUDE,LONGITUDE
ANUBI,-6.000019,16.3325
ANVUP,-7.869167,19.856389
APKOK,-7.3,18.146389
APNUK,-9.970556,1.916389
APRAS,-15.840556,-5.0
ARGOL,-10.131667,13.624167
AVIGI,-12.4625,4.339444
AVOVA,-9.136389,14.562778
AVUTA,-6.933056,12.627778
AXUGO,-9.644444,19.260556
BODEX,-12.551539,0.032506
BOSNI,-10.998889,8.046111
BUDEL,-5.883889,14.699722
BUTOG,-16.893333,-8.175
DEPAN,-9.280278,15.221111
DETKU,-9.981111,13.962778
DISPO,-7.041111,14.135
EDLIN,-6.080556,16.908611
EGNOS,-14.088611,0.000833
EGOLI,-13.551667,1.466667
EGSUD,-13.11,22.0
ENBED,-10.55,14.319167
EPLAT,-7.608333,12.731389
EPLAV,-8.346944,18.871111
ESTOX,-8.603611,14.571944
ETBON,-10.827778,12.918056
EVOTO,-14.526561,22.0
EXALA,-10.183611,13.303333
EXIGO,-12.956111,21.758889
EXITO,-6.989444,12.474167
GEBDO,-8.480833,15.233333
IBKOK,-8.245833,15.174444
ILDIN,-7.6425,13.84
ILGOL,-12.7025,14.386944
IMLEX,-7.570556,12.833889
IMRAS,-8.82925,14.594225
ITKAM,-7.891667,19.833333
ITPIK,-12.204444,5.0
KILBI,-9.620278,18.570556
KIMBU,-9.397778,14.475556
KODOR,-7.753889,12.4675
LIKAD,-5.071667,11.678611
LIRAM,-10.852778,13.331389
LUBRA,-8.0325,17.601389
MEMAS,-9.786389,14.2075
NATAR,-7.207778,12.079167
NETOK,-8.819322,15.267547
NEVIT,-7.583333,20.433333
OGNIK,-5.535636,16.081314
OKDAT,-8.256667,19.058056
OKTAG,-12.484167,12.639444
ONTAR,-9.628889,11.385278
OPAPO,-7.801944,11.499167
RIVOM,-7.829167,18.649722
SIPLA,-8.148056,12.090833
TUTIM,-10.255833,14.689444
UDANO,-10.166944,13.028333
UDMON,-15.058889,6.938333
UNDOP,-7.068333,16.986667
UNDUS,-8.445278,14.537222
UTIVO,-7.995,15.056667
UVAGO,-7.566111,17.318611
UVAMO,-10.774444,13.813611
VOTAL,-9.673333,15.090556
