IDENT,LATITUDE,LONGITUDE
AGITE,-77.873983,166.926861
AGODE,-77.774606,166.280617
ASHLY,-77.675394,166.010786
BALRE,-77.658017,165.842425
BYRD,-77.5,165.0
CANVO,-77.832639,166.502806
CAPAG,-77.954306,166.490794
CATOR,-77.930253,166.822814
CEBEG,-78.150092,166.950025
CIDRA,-77.846944,166.050367
DALOS,-60.0,170.333333
DOBRO,-77.952133,166.491147
DOSTE,-77.973017,167.39285
EASTT,-77.910847,166.418972
EISOL,-77.893375,166.575361
ELNAK,-65.0,169.533333
ERARE,-77.978911,166.539261
EVATT,-78.329547,167.372531
FERUK,-77.830942,166.501547
FETKA,-77.868697,166.269603
GRUPP,-77.738883,165.920664
GULAN,-70.0,168.333333
HEALD,-77.764964,166.291597
HEDAR,-77.950761,166.1062
HENUD,-77.8307,166.499822
HEXOP,-77.944936,166.478547
HOSEV,-77.866994,166.33435
HYNES,-77.863964,166.338594
IRARE,-77.950575,166.1563
JAXAD,-77.966903,167.075939
JEPAT,-77.940378,165.6026
JOMIG,-77.965075,167.078869
KAGEN,-62.000556,-59.667778
KALVA,-75.0,166.5
LAVIS,-76.182167,165.857833
LLIMA,-77.918006,166.115233
MAJAG,-77.977083,167.614869
MARLY,-77.783978,166.203772
MOBOE,-77.772864,166.302278
MRRTY,-77.941875,165.653283
NARSE,-77.959628,166.721392
NEPME,-77.865447,167.147922
NVMBR,-78.114364,166.728278
OKKEG,-77.913914,165.615381
PABLE,-77.972364,167.634678
PRAMM,-77.886761,166.593994
RAVYN,-78.308431,168.996686
REGAT,-77.75,165.7
REPME,-77.407233,165.066308
RULOE,-78.353081,167.072394
STIRE,-77.955122,166.445153
TENTT,-77.9357,166.079483
TOPSE,-77.943317,166.474869
UDEPI,-63.391389,-57.836944
WESTT,-77.916667,168.183333
WIKTA,-89.733889,-156.344444
WOLTU,-77.773333,166.165478
WUDBO,-89.957222,153.1
ZADMO,-89.88935,156.118889
ZEDUR,-77.651367,165.894728
ZELBA,-77.956603,166.509506
ZINIM,-77.943181,165.634672
ZOLRI,-77.397169,165.073189
ZUKKY,-74.166667,166.868333
