IDENT,LATITUDE,LONGITUDE
AER13,-34.4955,-58.408
AER14,-34.536667,-58.243
AER15,-34.592,-58.2
AER16,-34.6245,-58.246667
AKNEL,-23.798889,-60.995556
AKNOS,-38.002778,-62.884444
AKPEL,-25.030833,-59.699444
AKPUR,-37.093333,-64.340833
AKRAS,-29.717778,-66.370833
AKVUL,-50.710556,-69.538333
ALDEX,-31.661111,-65.198611
ALDOR,-33.499722,-63.918333
ALDOS,-26.230556,-54.688889
ALGAR,-25.775,-66.077222
ALGIL,-40.558056,-71.138611
ANBUK,-25.759444,-54.090278
ANDEX,-46.686944,-67.48
ANGEN,-27.345556,-64.604444
ANKOK,-38.249722,-51.000278
ANPES,-33.666389,-61.923056
ANRAL,-32.533333,-59.368889
AROPO,-45.9,-71.194444
ARPAS,-25.731667,-57.875278
ARSEX,-26.142222,-54.097222
ARSOT,-34.760278,-58.8975
ARTOK,-39.298333,-68.617222
ARUSO,-32.316667,-65.471389
ARVET,-37.424444,-68.241944
ASADA,-35.025833,-59.625833
ASADO,-48.026944,-71.481667
ASELO,-28.904722,-59.035278
ASGAS,-29.698611,-59.830556
ASIMO,-31.883333,-70.316667
ASISA,-31.668056,-63.2125
ASKAS,-51.788333,-66.001111
ASOPA,-49.614167,-71.293889
ASOTA,-31.144444,-68.1025
ASUTO,-42.935556,-70.425556
ATABA,-36.758056,-57.212778
ATAKO,-41.646944,-70.803611
ATIRA,-41.403611,-70.496389
ATITO,-38.014444,-60.004167
ATOKI,-52.73,-62.230833
ATOMO,-41.133611,-69.664167
ATOVO,-34.061111,-59.150556
BAR08,-41.202661,-71.008222
BAR11,-41.228911,-70.931861
BAR12,-41.290511,-70.924028
BAR15,-41.2456,-70.888522
BAR43,-41.168039,-71.108628
BCA02,-38.603289,-62.153139
BCA03,-38.708561,-62.16125
BCA07,-38.607733,-62.199358
BCA09,-38.569839,-62.151653
BCA10,-38.560775,-62.221869
BCA11,-38.543575,-62.222744
BCA12,-38.527533,-62.228583
BCA13,-38.511492,-62.234419
BCA14,-38.49545,-62.240256
BCA15,-38.479408,-62.246086
BCA42,-38.652642,-62.182964
BCA66,-38.614789,-62.199747
BCA70,-38.708775,-62.162442
BCA90,-38.576669,-62.215364
BITIS,-26.972222,-64.089444
BITUS,-28.201111,-57.590278
BIVAM,-33.971111,-58.945556
BIVIK,-43.393611,-71.013056
BIXIM,-37.347222,-63.016111
BODIR,-35.153611,-60.348611
BOGOR,-41.165833,-59.026111
BOKEN,-24.664444,-62.906667
BOKUK,-48.446389,-70.036111
BONTA,-55.0,-66.833333
BUPLA,-27.231667,-61.670278
BURMI,-31.056111,-67.1275
BUSLO,-28.138333,-67.648611
BUVIM,-37.4,-64.514167
BUVOK,-50.728889,-71.158889
CABAL,-30.921667,-60.212222
CB036,-31.239128,-64.211572
CB071,-31.1957,-64.213303
CBA13,-31.149939,-64.163231
CBA19,-31.154458,-64.143589
CBA30,-31.263711,-64.211731
CBA45,-31.238897,-64.215786
CBA61,-31.212431,-64.220111
CBA75,-31.189272,-64.223892
CHATO,-40.571944,-71.014722
DABLI,-54.5,-67.667778
DABOT,-32.4175,-60.649722
DADMI,-28.831944,-62.561389
DAGRA,-27.634722,-56.458056
DAKAX,-44.796944,-70.756944
DALAB,-32.333333,-58.670833
DAMAP,-29.811111,-67.111111
DAMIN,-38.789167,-63.330556
DAMIS,-28.860556,-58.949167
DETIN,-47.517778,-65.07
DEVIS,-51.055278,-70.497222
DIGER,-34.93,-68.839722
DIGIS,-51.861944,-62.467778
DIKIS,-35.147778,-69.1275
DONKA,-30.411111,-64.393056
DORSI,-43.256944,-70.65
DORVO,-34.716111,-57.517222
DOTRI,-38.54,-61.007778
DOZ08,-32.854789,-68.79185
DOZ11,-33.023972,-68.788561
DOZ14,-32.907786,-68.528778
DOZ16,-33.062847,-68.7474
DOZ17,-33.065722,-68.787736
DOZ61,-32.943331,-68.79015
DOZ85,-32.981739,-68.789392
EDNOR,-34.915833,-63.555556
EDPAN,-54.663611,-67.649722
EDRAL,-33.528611,-66.751667
EDRAR,-31.167222,-69.389167
EDRIS,-33.421944,-66.596111
EDRON,-38.906667,-66.121944
EGAKU,-32.542222,-65.401944
EGANI,-36.516111,-60.225556
EGASA,-40.389722,-62.808333
EGBUS,-28.588889,-67.957222
EGEPA,-35.394444,-59.409444
EGETU,-32.746111,-64.709167
EGIKA,-29.553889,-68.614722
EGIMA,-38.326389,-59.735556
EGOBO,-39.388889,-68.464167
EGOKO,-38.850278,-64.585
EGOSA,-52.0,-70.995
EGOVI,-35.882222,-61.320278
EKATO,-43.159444,-66.503056
EKEBA,-40.263333,-69.091944
EKEMO,-36.281111,-57.399444
EKERO,-35.0175,-69.365556
EKISO,-40.92,-59.639444
EKOPA,-40.391111,-68.025
EKOTA,-39.829722,-70.485
ELABO,-33.46,-62.790278
ELADA,-43.105278,-67.704444
ENRIL,-37.339167,-64.372222
ENTOS,-34.373889,-65.708889
EPGOL,-38.034167,-69.711667
ERUPO,-52.787778,-67.072222
ESEDA,-44.995556,-68.062778
ESITO,-33.899444,-68.8675
ESKAD,-32.669722,-60.118333
ESKON,-33.231111,-60.328889
ESKOP,-32.344167,-66.364722
ESLAN,-34.981944,-57.084722
ESMOS,-28.094722,-59.799167
ESNAS,-45.845833,-63.038333
ESPER,-27.011389,-63.632222
ESPIN,-44.987778,-66.698889
ESURO,-37.695278,-58.135556
ETASO,-45.833056,-68.683889
ETEPO,-30.721944,-65.021111
EZE02,-34.974278,-58.624244
EZE03,-34.917464,-58.703414
EZE04,-34.657136,-58.53175
EZE05,-34.821083,-58.737817
EZE08,-34.817683,-58.564608
EZE10,-34.775539,-58.549972
EZE11,-34.816311,-58.595297
EZE12,-34.859558,-58.466531
EZE13,-34.991192,-58.531736
EZE14,-34.985478,-58.805767
EZE15,-34.987694,-59.240283
EZE16,-34.897442,-58.223431
EZE18,-34.494508,-58.078428
EZE19,-34.122969,-58.520592
EZE20,-34.169986,-58.77955
EZE23,-34.8921,-58.7202
EZE24,-34.985697,-58.838208
EZE26,-34.171111,-58.991667
EZE27,-34.779078,-58.730303
EZE36,-34.924594,-58.697261
EZE40,-34.461444,-58.217469
EZE41,-34.890856,-58.516592
EZE42,-34.891914,-58.720172
EZE43,-34.842058,-58.530267
EZE48,-34.803392,-58.629117
EZE70,-34.986819,-58.489647
EZE73,-34.823997,-58.737719
EZE76,-34.815261,-58.737419
EZE84,-34.991003,-58.542358
EZE88,-34.780803,-58.730719
EZE90,-34.777964,-58.7299
EZE97,-34.912569,-58.363297
EZE98,-34.81545,-58.595122
EZE99,-34.991003,-58.528197
FDO07,-34.357964,-58.499303
FDO10,-34.343903,-58.738461
FDO17,-34.428706,-58.563539
FDO32,-34.302497,-58.492769
FDO97,-34.466356,-58.021969
FRAGA,-33.582778,-66.0175
GAL02,-51.613297,-69.383511
GAL04,-51.606294,-69.223497
GAL06,-51.617844,-69.490211
GAL09,-51.621192,-69.570253
GAL12,-51.624483,-69.650306
GAL20,-51.820183,-69.549592
GAL21,-51.608533,-69.274161
GAL24,-51.670744,-69.719797
GAL26,-51.584211,-69.728767
GAL29,-51.460283,-69.649389
GAL36,-51.365858,-69.406278
GAL40,-51.615583,-69.436858
GAL51,-51.627722,-69.730369
GAL60,-51.603911,-69.170169
GAL73,-51.599681,-69.076861
GAL95,-51.640894,-69.080683
GATOS,-35.666389,-56.583889
GATUD,-43.996389,-65.88
GAVAM,-31.035278,-61.069444
GAVEX,-26.699722,-63.810556
GAVOS,-36.321667,-62.190833
GEBEM,-35.200278,-59.158889
GEDEK,-34.637778,-67.79
GEDUK,-32.814722,-61.366667
GEGON,-50.863056,-68.483333
GEKAL,-27.780556,-69.091667
GELED,-41.120278,-59.129722
GEMIL,-55.000278,-58.074167
GENAS,-31.465833,-63.145
GENAX,-39.060278,-63.251944
GILSA,-30.516389,-67.631389
GUDUX,-52.747222,-67.268056
GUKAS,-27.370278,-60.088889
GUXOR,-37.375,-53.0
IGU04,-25.767842,-54.393758
IGU10,-25.807406,-54.291925
IGU11,-25.860533,-54.32535
IGU65,-25.784339,-54.351325
ILKOM,-29.018611,-62.856667
ILPAR,-25.699444,-65.0925
ILPEP,-27.036389,-55.007222
ILRUS,-31.952778,-65.1425
ILSAS,-26.254444,-61.846389
ILSUR,-31.038889,-69.692778
ILTOS,-39.449167,-68.110556
IMBAV,-45.901389,-70.993333
IMBER,-24.623333,-63.257778
IMBOL,-27.748889,-64.931667
IRASU,-35.387222,-61.743611
IRATI,-32.123611,-65.188611
IRATU,-27.832778,-56.221667
IRAVA,-48.113611,-64.238056
IRAVU,-50.768056,-68.755278
IRAXO,-46.544444,-68.109167
IREKA,-29.554722,-60.825833
IREMO,-39.869722,-61.914722
IRILI,-24.497222,-65.016111
IRIMA,-43.998056,-62.000833
IROLA,-42.983611,-69.751667
ISEGA,-35.088333,-68.368611
ISIPO,-33.011111,-66.017222
ISKES,-44.860278,-67.488889
ISOPO,-31.311667,-61.393889
ISORO,-35.975,-69.708056
ISRAT,-32.586111,-61.239167
ISTER,-35.671111,-57.603889
ISUSA,-31.639167,-67.841111
ITADO,-28.726389,-59.508889
ITAGI,-47.25,-62.7675
ITELA,-28.974444,-65.390833
KABAK,-33.316111,-67.050833
KABES,-49.0,-58.6675
KADEB,-50.718056,-68.998889
KAKAN,-29.061389,-66.370556
KAKIN,-40.166389,-40.0
KALEN,-31.878056,-65.834444
KALIM,-36.302778,-58.746667
KALOM,-25.1875,-58.160278
KAMAD,-43.466389,-64.3175
KAMUR,-37.15,-71.147222
KAMUV,-32.909722,-67.703333
KETIS,-40.233056,-29.999444
KETUL,-31.443333,-63.844167
KEXOP,-54.5,-68.109722
KIBAR,-50.591111,-71.433056
KIBOS,-24.662778,-65.318611
KIBUN,-31.5375,-67.835556
KIGIR,-41.278056,-63.380556
KIKIN,-38.100833,-64.478333
KILEV,-39.634444,-65.208611
KILOR,-50.233333,-64.784444
KILOS,-40.249722,-45.0
KIMAB,-38.245278,-64.771667
KIMID,-39.372778,-63.397778
KIMIS,-36.899722,-67.028333
KONRI,-24.116667,-67.533333
KORGA,-40.085,-61.461944
KORTA,-30.693056,-57.787222
KOTOG,-38.450833,-68.183611
KOTON,-49.626667,-65.949444
KOTUK,-36.507778,-63.644722
KOVUK,-35.199444,-57.520556
KRILL,-61.206111,-60.686389
KUGIN,-30.601111,-66.009167
KUKEN,-34.182778,-58.217222
LADER,-26.141667,-54.098889
LAJAS,-33.144444,-64.836389
LANDA,-33.908056,-58.575278
LIMAY,-40.746111,-70.619722
LITOK,-54.668056,-68.610556
LITOR,-29.033889,-65.498611
LIXIR,-42.121111,-66.035
LOBOS,-49.810556,-65.205556
LOBUK,-28.0725,-63.856389
LODIS,-44.566389,-61.050833
LOGAM,-34.965833,-62.303056
LOGET,-30.396944,-64.234167
LOKEN,-53.408333,-68.421389
LOLAN,-46.0,-58.834167
LOLAS,-35.676389,-64.796944
LOMIN,-50.576944,-60.550833
LOMUR,-58.000278,-64.168056
LOMUS,-40.911667,-63.659722
LUCIA,-26.571111,-54.815556
LUTSO,-27.433889,-58.024444
MAGDO,-35.521111,-68.965833
MANTI,-49.012222,-71.722222
MDP32,-37.808758,-57.708847
MDP96,-37.845444,-57.748267
MDP97,-37.866161,-57.707519
MEBRA,-32.058611,-68.336944
MEVUR,-28.7175,-62.197778
MIDAL,-60.000278,-62.084444
MIGUS,-42.461389,-64.511389
MIMEX,-24.4625,-64.577778
MIPAT,-42.999722,-59.000833
MOCHO,-38.287778,-70.344444
MORRO,-33.229722,-65.861944
MORSI,-40.249722,-19.999167
MOSKA,-50.576944,-58.510833
MOXAN,-38.371667,-61.074167
MOXAT,-24.101389,-64.916667
MUBES,-52.8025,-68.479167
MUDUL,-26.966944,-64.079167
MULAL,-39.941389,-65.200833
MULTA,-33.84,-60.129722
MUNES,-40.332778,-10.0
MUPIS,-32.405,-60.791667
NEDAX,-38.713611,-67.575833
NEGOS,-46.233333,-71.666667
NEPIS,-34.571111,-59.600556
NIRTA,-32.658889,-68.233056
NITLO,-41.818056,-69.371944
NUXIM,-34.446111,-61.542778
OBLER,-49.576667,-67.102778
OCNB,-38.651667,-62.181667
OGLER,-36.988611,-63.884444
OGRAX,-44.379722,-62.313056
OPKAN,-28.329722,-59.367778
OPLAS,-42.566111,-70.578056
OPRIL,-34.283889,-67.914444
OPROS,-42.639722,-70.495556
OPUPO,-32.366389,-59.629167
OPUVI,-33.811389,-61.308056
ORABA,-31.488889,-66.886944
ORAMU,-42.275,-65.098056
ORBAN,-33.132778,-62.5125
OREPA,-38.931111,-68.797222
ORERA,-40.973889,-70.4475
ORIGI,-46.249722,-64.701111
ORIKA,-46.216389,-65.867778
OSEKO,-38.4925,-67.897222
OSILI,-28.632778,-64.7675
OSUDA,-30.916111,-63.5675
OSUSO,-33.2375,-63.694167
OTADO,-40.404722,-67.217778
OTAGI,-53.076944,-58.289167
PABAL,-42.608333,-72.105
PABAS,-34.988333,-61.581389
PADAS,-32.317222,-58.3625
PADEX,-39.590278,-62.493056
PAGAD,-36.446667,-55.003056
PAGON,-33.921111,-58.720556
PAKAL,-42.373611,-67.790556
PALEX,-39.337222,-67.036389
PAMAK,-31.39,-65.273611
PAMAL,-31.7775,-66.711944
PANOT,-27.006944,-59.961389
PAPIR,-33.116944,-67.752222
PC011,-34.789019,-58.732967
PC084,-34.797564,-58.683453
PEDRO,-33.701111,-59.666944
PONPI,-25.756111,-65.315278
PORKA,-29.455278,-63.3325
PORPA,-39.174167,-68.730556
POSTI,-38.844444,-59.168889
POTRO,-40.052778,-64.759167
PUBER,-27.530833,-64.653056
PUBUM,-22.241667,-64.06
PUGLI,-40.49,-60.552222
PULAS,-37.970833,-61.485
PULKA,-39.482778,-64.676944
PULPA,-36.995278,-57.680833
PUNOL,-41.139444,-70.414444
R1336,-32.844317,-68.793097
R1337,-31.29565,-64.208586
R1339,-37.928856,-57.583792
R1340,-38.716669,-62.157372
R1347,-34.553939,-58.425264
R1349,-41.155575,-71.144822
R1351,-25.731025,-54.488381
R1352,-34.819053,-58.553453
R1361,-32.890183,-60.781611
R7920,-25.743511,-54.458514
RAXOS,-61.000556,-57.229167
RAXUS,-39.809722,-68.076944
REKUL,-36.916667,-54.0
RODIK,-34.84,-64.663056
ROGAS,-38.227778,-58.086389
ROKER,-31.886389,-61.560278
ROPIS,-36.741667,-56.958333
