IDENT,LATITUDE,LONGITUDE
ALOHI,-14.229861,-170.980389
ANITR,-14.162361,-170.942061
APRAN,-14.365222,-170.766269
BIGEK,-14.637611,-171.680444
BLUJA,-14.392153,-170.811919
BUDRA,-10.0,-169.116669
CELIM,-14.358714,-170.538694
CLAIB,-14.29925,-170.998111
DARMA,-13.153333,-169.495
DODUX,-15.911528,-172.676194
DOROS,-14.246,-171.443111
DRAWN,-14.6306,-170.899581
EMTAR,-13.921417,-171.27925
GRUPY,-14.444586,-170.899808
GUGET,-17.768833,-170.142139
GUMRA,-15.291111,-169.292222
GUTEL,-14.668056,-169.022222
HUPLI,-14.351,-170.740989
JONAS,-14.275278,-170.546994
LAKER,-12.761667,-170.123339
LANAT,-15.159833,-173.359639
MIGIS,-12.462694,-170.881611
OGELA,-16.408306,-172.007361
OLIVE,-14.416231,-170.857011
ONETU,-16.692139,-171.622389
PITTI,-14.496314,-170.743997
PONAT,-14.08575,-171.346278
PUPIS,-10.0,-171.091661
R1652,-14.339161,-170.722794
SAPIX,-8.62,-165.0
SETTS,-14.435808,-171.034978
TUT07,-14.292456,-170.595294
TUT10,-14.338367,-170.536586
TUT15,-14.323989,-170.684064
TUT18,-14.343631,-170.729644
TUT26,-14.350828,-170.741228
TUT45,-14.306792,-170.635642
TUTHA,-14.433347,-170.845539
TUYOS,-14.341725,-170.724511
WANUL,-14.4613,-170.937258
