IDENT,LATITUDE,LONGITUDE
ABIRI,46.762503,14.967572
BILDU,47.170556,10.661667
BRK63,48.110317,16.576903
BRK94,48.124578,16.534678
DORAP,47.472736,9.600972
ELMEM,47.284761,10.569675
GIMIX,46.522128,13.713106
GIRIS,46.771781,10.884122
GRZ40,47.486008,14.857869
KFT25,46.901442,14.147906
LITLI,47.355989,10.044483
LNZ01,48.083272,14.267711
LNZ08,48.236231,14.400944
LNZ10,48.386186,14.188675
LNZ11,48.085214,14.271503
LNZ17,48.443061,13.823969
LNZ20,48.448758,14.223031
LNZ24,48.014517,14.576503
LNZ27,48.232828,14.170303
LNZ35,47.769089,14.63555
LNZ40,48.264983,14.018536
LNZ41,48.235569,14.219592
LNZ42,47.914125,14.469244
LNZ50,48.223836,13.978833
LNZ53,47.76295,14.623514
LNZ60,48.279292,14.441944
LNZ67,48.216981,13.754725
LNZ70,48.263872,14.447119
LNZ71,48.325858,13.704183
LNZ79,48.301425,14.666761
LNZNB,48.2371,14.321783
NAKUM,46.725025,14.351311
NAMAG,48.220083,13.854144
NEVAG,46.663394,14.134439
NOKDA,46.855617,13.508125
OEN11,48.072547,16.598047
OES03,47.846972,12.972408
OES81,47.925761,12.925214
OEZ13,48.339197,16.490397
OEZ14,48.1382,16.5714
OEZ34,48.324731,16.496258
R1803,46.977786,15.443281
R1804,48.111994,16.581461
R1805,48.088631,16.591339
R1819,48.233847,14.205631
R3154,47.803067,12.998208
REKTI,46.584539,13.897447
SBGNB,47.967531,12.894078
SNU10,47.860083,16.535167
SNU13,47.855542,16.609156
SOGTU,46.519925,14.365719
SOTOV,46.943864,11.210433
SUDUX,46.945014,11.008681
TISIS,47.004578,13.576275
TUNUM,47.253306,11.506458
UNIMI,46.860775,11.065189
VATAL,47.188561,12.607997
VAXIS,47.099725,13.630803
WGM12,48.119806,16.584106
WGM15,48.084725,16.600042
WGM19,48.020939,16.628964
WGM21,47.987069,16.632014
WGM22,47.973331,16.6505
WGM29,48.277633,16.512122
WGM58,48.231406,16.533256
WGM74,47.971983,16.638122
WGM87,48.185175,16.55435
WO114,48.121825,16.533117
XEBIX,47.399133,10.478931
