IDENT,LATITUDE,LONGITUDE
ABARB,-32.851667,154.935
ABLOK,-12.718333,143.44
ABTOD,-32.995,135.133333
AD001,-34.965567,138.504078
AD005,-35.008958,138.456561
AD007,-34.878206,138.639164
AD008,-35.007492,138.669067
AD011,-35.03375,138.429381
AD012,-35.1019,138.354547
AD015,-35.060325,138.795786
AD020,-35.123833,138.389858
AD025,-35.075253,138.324428
AD035,-34.912592,138.581828
AD042,-34.898522,138.603875
AD055,-34.829092,138.792578
AD070,-34.870236,138.417436
AD075,-34.911725,138.825472
AD088,-34.968394,138.827481
AD100,-34.837328,138.371636
AD102,-35.028131,138.812275
AD110,-35.0226,138.705256
AD118,-35.090317,138.773997
AD140,-35.156839,138.6905
AD270,-34.926436,138.323261
AD290,-34.871025,138.343964
AD304,-34.892161,138.447989
AD318,-34.810142,138.408347
AD330,-34.793253,138.445375
AD470,-34.848711,138.688272
AD500,-34.984808,138.614808
AD700,-34.999933,138.650978
ADMAR,-30.323333,151.911667
AGAGO,-28.22,136.76
AGREK,-27.021667,121.323333
AGSEL,-19.925,109.683333
AGTIK,-28.671667,124.103333
AGUST,-13.628333,131.205
AKDAV,-33.03,136.203333
AKLET,-27.153333,145.715
AKUKO,-9.008333,102.351667
ALBEE,-19.378333,146.14
ALEGO,-10.64,125.133333
ALEXA,-9.3,126.956667
ALICE,-12.355,130.635
ALLOC,-33.91,152.703333
AMANA,-31.758333,116.628333
AMB01,-27.657742,152.721289
AMB03,-27.689894,152.731647
AMB04,-27.648617,152.603778
AMB05,-27.705969,152.736828
AMB06,-27.738119,152.747197
AMB08,-27.519428,152.655072
AMB09,-27.652064,152.547492
AMB11,-27.473581,152.632219
AMB15,-27.428842,152.567125
AMB16,-27.791975,152.724969
AMB25,-27.504144,152.647453
AMB28,-27.501133,152.655619
AMB31,-27.521422,152.614506
AMB32,-27.407586,152.615444
AMB35,-27.588192,152.689389
AMB51,-27.665111,152.549142
AMB55,-27.786342,152.762758
AMB59,-27.770269,152.757569
AMB60,-27.549989,152.670319
AMB66,-27.5392,152.670297
AMB82,-27.579775,152.687742
AMB83,-27.5954,152.694422
AMB95,-27.543231,152.737578
AMB97,-27.51685,152.621706
AMB98,-27.626389,152.708475
AMB99,-27.493911,152.683906
AMITY,-27.428333,153.506667
ANDEE,-16.183333,143.235
ANGAS,-25.133333,132.44
ANITA,-32.64,135.743333
ANKEL,-27.983333,118.453333
ANTLA,-40.0,147.188333
ANZAC,-22.746667,135.823333
APAGI,-28.848333,152.585
APAMO,-30.131667,150.533333
APOMA,-29.898333,142.681667
APPLE,-36.928333,144.386667
APUKA,-12.0,144.961667
ARBEY,-37.168333,144.731667
ARENI,-26.93,132.598333
ARIKI,-27.288236,153.325789
ARMOK,-21.168333,116.543333
ARNTU,-24.495,132.425
AROLI,-29.116667,146.616667
ARRAN,-35.838333,147.64
AS002,-23.773217,133.848783
AS009,-23.870336,134.018475
AS011,-23.666533,133.745783
AS015,-23.6452,133.657778
AS021,-23.647292,133.771622
AS022,-23.811844,133.9125
AS035,-23.635056,133.666483
AS036,-23.822997,133.934908
AS037,-23.911525,133.979053
AS041,-23.827178,133.942786
AS044,-23.755225,133.807356
AS045,-23.748617,133.812022
AS055,-23.667211,134.1142
AS059,-23.702247,133.624136
AS075,-23.857481,133.995164
AS106,-23.70215,133.712786
AS107,-23.886703,134.131289
AS111,-23.873469,134.0581
AS116,-23.921981,134.112242
AS125,-23.954081,134.087414
AS128,-23.895547,133.997992
AS180,-23.892903,133.868686
AS195,-24.028714,133.784742
AS200,-23.77565,133.847033
AS270,-23.770775,133.606519
AS292,-23.67875,133.635378
AS301,-23.689542,133.723853
AS310,-23.615289,133.685589
AS330,-23.701892,133.832125
AS353,-23.542044,133.868703
AS360,-23.692872,133.887706
AS600,-23.742661,133.78375
ATERA,-10.828333,140.958333
ATMAP,-12.0,118.255
AUSGA,-15.041667,115.19
AV003,-38.000506,144.475272
AV004,-37.984378,144.480728
AV007,-38.165522,144.466631
AV008,-37.919861,144.502531
AV009,-37.900181,144.485264
AV013,-37.833592,144.492219
