IDENT,LATITUDE,LONGITUDE
BARIT,43.261111,17.855833
BATRU,44.184117,19.364206
BILLS,44.494981,18.266731
BOSNA,44.370556,17.759722
DIMSI,44.571667,19.18
DOBOT,44.773889,17.9025
DRVAR,44.351944,16.593889
EDALA,44.225,17.491389
GILUK,43.866833,18.1055
IDASI,44.470278,17.105278
KOMAR,44.958058,16.804167
KUKUN,44.069947,19.559489
KUTAK,43.250278,18.543611
LURID,45.135,17.399444
MARIL,44.633333,17.333333
MITNO,43.773333,19.241667
MONID,44.9675,16.305833
NENAD,44.413889,16.305556
NEPSI,43.293056,18.761111
NERKO,44.756667,19.316944
NESUX,43.982222,19.556667
NIVES,45.223889,15.9075
NOVLO,45.229444,16.953056
ODLET,43.960556,19.389722
PERAN,43.0325,18.665833
PESAK,43.718611,19.504167
RUDAR,43.648611,18.489167
SCRIB,44.688758,18.394306
SOLGU,44.116667,17.666667
SOMUN,44.596389,19.105
SUDIM,44.667222,16.305556
VEBAR,44.136694,19.180222
VRANA,43.753611,17.537778
