IDENT,LATITUDE,LONGITUDE
BGI01,13.152528,-59.727519
BGI07,13.052661,-59.601161
BGI17,12.831392,-59.421922
BGI26,13.043611,-59.597214
BGI28,13.061778,-59.739617
BGI30,13.156686,-59.726106
BGI35,13.306169,-59.584011
BGI58,12.993183,-59.725944
BGI61,12.989053,-59.72445
BGI69,13.051006,-59.599072
BGI77,13.057406,-59.739339
BIRNO,14.365186,-60.210681
BORUS,14.046181,-60.466408
DAMOV,13.482778,-60.634444
ERROL,11.955833,-59.271667
GOTER,13.128333,-60.877778
R1362,13.070944,-59.507153
RAKAN,12.586667,-60.538889
TEDDY,13.733889,-60.548889
