IDENT,LATITUDE,LONGITUDE
ADMIL,23.180833,90.990556
AGODA,24.322778,88.598889
AGUNO,23.239167,90.437222
AKEVO,23.600833,90.047222
AVDAX,22.225833,92.273611
AVPOP,22.3025,89.013889
BATEL,24.111667,89.582222
BAVAN,23.069167,89.991667
BELKU,24.333889,89.613889
BEMAK,22.927383,88.898928
BOGEP,24.068889,90.413889
CEA50,23.100833,89.213889
CTG03,22.228219,91.783853
CTG06,22.198689,91.740242
CTG09,22.169147,91.69665
CTG10,22.412894,91.894908
CTG14,22.103828,91.966014
CTG17,22.060586,91.868592
CTG22,22.127633,91.714436
CTG23,22.159297,91.682122
CTG26,22.225706,91.651028
CTG27,22.278586,91.612875
CTG29,22.326297,91.624636
CTG30,22.293233,91.865631
CTG32,22.411522,91.688642
CTG41,22.129489,91.942947
CTG46,22.376028,91.954722
CTG60,22.328722,91.9038
CTG61,22.341342,91.983283
CTG70,22.093444,91.861747
CTG77,22.275131,91.648647
CTG90,22.364203,91.941989
CTG91,22.314889,91.658458
CTG99,22.3859,91.711803
DAC75,22.847225,91.264564
DAKID,22.309167,91.380556
ESDOT,21.345833,90.547222
GURSO,23.400833,90.347222
IBANU,23.415833,89.620556
IBAPA,25.183889,91.435833
IKOGU,23.3775,89.647222
KAKBO,23.000833,90.313889
KANDI,23.503611,90.701389
LALMT,25.887636,89.431389
LATIM,24.085556,90.747222
MEXIV,24.045,90.051389
MIGOP,25.205556,88.785556
MIMAR,23.622222,90.013889
NIKLI,24.196389,90.880556
NOKAT,22.790833,88.941667
NUPUR,23.102222,90.865556
OLPAS,23.958889,90.001389
ONEKA,22.58,91.537222
SARAR,25.267778,89.153611
SETAR,23.463611,90.639722
SHAMR,24.397256,91.917314
SUMAG,22.594078,88.940597
TANAP,21.940833,92.110278
TEBID,24.683889,88.030556
TEGAK,24.178333,89.834722
THAKN,26.016489,88.396539
UBLIN,21.834167,91.896944
VANTU,26.092222,89.244444
VINAD,25.370556,88.822222
VINET,22.407778,91.409722
