IDENT,LATITUDE,LONGITUDE
ADUSU,49.956111,6.196111
AFI03,50.90775,4.217881
AFI11,50.716389,4.219656
AKOVI,50.747222,3.718611
ANT04,51.192919,4.578481
ANT06,51.194108,4.631431
ANT15,50.954089,4.344839
ANT18,50.938458,4.215314
ANT40,51.183636,4.577981
ANT46,51.161011,4.5849
ANT60,51.180183,4.630667
ANT66,51.152764,4.619581
ARCKY,50.299167,6.132222
ARDEN,49.861944,4.857778
BABIX,51.413056,4.905278
BARTU,51.003056,4.171667
BATTY,50.649167,5.848889
BBE02,50.742214,4.720567
BBE05,50.696294,4.677308
BBE08,50.699572,4.578272
BBE10,50.744619,4.749494
BBE11,50.575931,4.719
BBE14,50.739569,4.742622
BBE15,50.776378,4.791658
BBE19,50.641556,4.736794
BBE20,50.428261,4.679142
BBE22,50.7191,4.715697
BBE35,50.770006,4.783158
BBE50,50.822997,4.846814
BBE60,50.773119,4.813447
BBE84,50.795617,4.816811
BBE99,50.8232,4.949819
BBL00,51.292967,5.7175
BBL02,51.179308,5.517367
BBL03,51.158106,5.448331
BBL06,51.212422,5.322281
BBL09,51.060614,5.3042
BBL10,51.124153,5.212086
BBL12,51.286725,5.724897
BBL14,51.197686,5.619214
BBL15,51.152217,5.438925
BBL18,51.296175,5.033275
BBL20,51.180564,5.416014
BBL24,51.209158,5.552414
BBL25,51.3447,4.864206
BBL26,51.180003,5.487881
BBL34,51.151894,5.364608
BBL35,51.154197,5.377325
BBL37,51.160547,5.444906
BBL40,51.209817,5.551636
BBL43,51.109381,5.376189
BBL44,51.182431,5.484489
BBL46,51.109169,5.248939
BBL52,51.201681,5.528178
BBL60,51.230633,5.593061
BBL66,51.228572,5.595481
BBL70,51.224128,5.772561
BBL74,51.201789,5.644903
BBL77,51.241031,5.613772
BBL89,51.206181,5.289981
BBL91,51.233428,5.250128
BBL92,51.240419,5.226061
BBL95,51.310064,4.985006
BBL97,51.238275,5.617028
BBL98,51.216389,5.239525
BBL99,51.178492,5.489431
BELOB,50.709444,3.214444
BETEX,49.815833,6.425278
BFS05,50.221181,4.778956
BFS08,50.157453,4.814181
BFS09,50.232014,4.263681
BFS11,50.103014,4.839872
