IDENT,LATITUDE,LONGITUDE
ANIXA,11.005556,-5.373889
ARBUT,13.214722,-1.185833
BANGA,13.090833,0.899167
BIGOM,10.530833,-3.084444
BONGO,11.0,-0.895
BULSA,12.650278,-0.538611
BUROM,11.754722,-2.921667
DEKAS,12.813889,-0.008056
EDGIB,12.459167,-4.526667
EPEPO,14.096944,-0.851111
FANDO,13.254444,-0.721111
GEBLU,11.770833,-2.883611
GULIM,13.6025,-1.038889
GUPEX,7.758611,-3.527778
GUPOV,12.397778,-2.781389
IRNIS,12.2,1.816111
KILKO,14.014167,-0.426667
KOKAN,12.41,-3.100556
LIPET,13.933056,-0.013889
NANGA,10.408333,-2.833333
NAVON,11.0,-1.215
NUREX,13.154167,-1.879722
OXIDU,11.0,-0.336667
TAREN,13.313056,-0.010556
TAVOT,13.083056,-2.669167
