IDENT,LATITUDE,LONGITUDE
ADORU,41.871667,26.568333
ALIKU,42.603333,23.395278
ALIVI,43.187222,26.645833
AMTOV,43.1725,26.151944
ARGES,44.082222,26.826667
BADKI,42.996944,29.143333
BALIK,43.676667,27.3
BAVGA,42.593889,22.665
BENIL,42.722778,22.963333
BESLI,43.402222,24.034167
BGS11,42.716883,27.691922
BGS12,42.709625,27.702592
BGS14,42.591186,27.543547
BGS16,42.550908,27.496175
BGS17,42.551364,27.492286
BGS23,42.459767,27.364372
BGS29,42.537461,27.472833
BGS38,42.675494,27.642975
BGS45,42.518917,27.446906
BGS57,42.642792,27.604364
BGS67,42.652089,27.62395
BGS78,42.429692,27.418431
BGS80,42.667564,27.644522
BGS85,42.652231,27.677119
BGS95,42.6439,27.6846
BLO11,42.506761,23.693722
BLO13,42.450781,23.829206
BLO22,42.393578,23.470275
BLO56,42.673664,23.687675
BLO76,42.552103,23.879969
BLO83,42.676722,23.626811
BOZ21,42.653375,22.918839
BOZ85,42.772781,23.411003
BULEN,43.75,25.816667
BUVAK,42.990556,27.4375
DEDIN,42.594167,24.079444
DELIN,43.134167,25.165
DILVO,42.31,23.936944
DINEN,42.499722,25.992222
DOLAP,43.374167,22.768333
DOTAM,42.356667,23.406944
EDADA,42.474722,23.400833
EDIKA,42.276944,22.878611
ERDOM,43.5175,23.289167
ESENA,43.026944,26.8725
ETIDA,43.685833,22.417778
ETROL,42.746389,23.888889
GERGI,42.183333,25.521944
GODEK,43.126667,22.989444
GOL36,42.853306,23.489847
GONGO,43.098056,27.0325
GOSLO,43.528611,28.441944
INBOL,43.470833,23.803611
INKOM,43.253333,30.64
IRKOT,42.485,23.909167
ISF08,42.694031,23.453781
ISF54,42.686672,23.568486
IVGOT,43.105,28.536389
KOMAN,43.983333,26.216667
KOTEV,43.158611,28.228056
LARAT,42.501667,23.871111
LETNI,42.096944,22.605833
LETVA,42.85,24.184444
LOMBU,43.196111,23.465556
LOMOS,43.833333,23.25
LUKOV,43.284722,23.806111
MAKOL,42.170556,29.142778
MATEL,43.059167,28.791944
MAVAD,42.055278,25.225556
MEDEM,42.395,27.971667
MOREK,42.291944,23.319167
NAPET,42.288333,23.005556
NASEM,42.590803,29.715322
NEDSI,43.333611,28.556389
NENKO,43.693056,27.971667
NESAR,42.809722,28.141667
NISVA,42.972778,22.7975
NITUX,43.365833,29.929722
ODERO,42.610556,30.264444
OGOTA,43.214167,23.326667
OKANA,42.846389,22.493056
OMENO,42.296944,23.481389
OMORI,42.45,28.016667
PDV09,42.021992,25.072964
PDV10,42.154153,24.689392
PDV11,41.935275,25.081492
PDV12,42.099922,24.603428
PDV14,41.908,25.143375
PDV21,42.041597,24.897828
PDV25,42.077853,24.830844
PDV30,42.175642,24.649433
PDV38,42.133261,24.837039
PDV42,41.853553,25.070125
PDV53,42.025997,24.763392
PDV61,42.113092,24.7656
PDV74,41.978053,25.007206
PDV82,42.133628,24.727508
PENEV,43.031667,23.809444
PIDOR,42.593889,23.656111
PODIN,42.015833,25.226111
R1830,43.233444,27.809833
R1918,42.697514,23.399581
R1934,42.6951,23.439758
R2478,42.061028,24.862889
R2952,42.580431,27.528883
RESLA,43.328333,23.312778
REVDA,43.733333,29.143333
RITAG,42.585833,29.557778
RODOP,41.583333,24.183333
RORKI,43.096111,29.143333
ROVAM,43.151111,23.807778
RUMEN,42.305,24.313333
RUTAR,42.893056,28.020556
SITNO,42.927778,28.202778
SOF02,42.382108,23.419194
SOF03,42.648217,23.394114
SOF04,42.734144,23.307972
SOF08,42.669161,23.143939
SOF09,42.698894,23.369075
SOF10,42.641233,23.696142
SOF12,42.574111,23.657206
SOF14,42.685461,23.705322
SOF15,42.699211,23.3719
SOF16,42.428681,23.414819
SOF19,42.614086,23.684406
SOF20,42.462347,23.103117
SOF21,42.699847,23.344244
SOF22,42.326689,23.336781
SOF23,42.325558,23.424497
SOF24,42.935539,22.848731
SOF25,42.631553,22.831883
SOF26,42.669706,22.961775
SOF28,42.69565,23.452586
SOF30,42.911742,22.903372
SOF31,42.700931,23.347217
SOF33,42.817311,23.303275
SOF34,42.841292,23.130667
SOF35,42.832408,23.370211
SOF37,42.888225,23.045369
SOF41,42.465269,23.411381
SOF54,42.690989,23.569939
SOF58,42.785225,23.594858
SOF68,42.703942,23.235892
SOF70,42.702928,23.367831
SOF73,42.707456,23.236794
SOF74,42.691081,23.567681
SOF79,42.776292,22.834014
SOF81,42.757189,23.224683
SOF82,42.383067,23.344725
SOF91,42.692458,23.479542
SOF92,42.692317,23.481794
SOMOV,43.7,24.85
SUMEN,43.403333,27.153333
SUNIB,42.883611,27.780278
TAKAK,43.543889,26.621389
TODRO,42.92,23.362778
TOTKA,43.205556,27.116667
TUNVO,43.142222,25.387778
UDROS,42.738889,30.596111
USALI,42.301944,23.645556
UTEKA,43.912222,22.392222
VABUR,42.503056,28.059722
VADEN,42.065556,27.216111
VANET,42.294722,23.410278
VARNA,43.229264,27.856631
WRN14,43.1389,27.990092
WRN22,43.259492,27.785447
WRN24,43.177692,27.630453
WRN26,43.176617,27.604411
WRN47,43.179117,27.603106
WRN67,43.218272,27.968892
WRN76,43.236969,27.644133
WRN83,43.214797,28.005058
WRN88,43.253306,27.618825
WRN92,43.143653,27.989394
WRN99,43.246661,27.684325
XANEX,43.127222,24.980278
