IDENT,LATITUDE,LONGITUDE
ALSER,27.183333,50.816667
ALVUN,27.174444,49.748611
AMBIK,28.539444,49.340278
ASMOR,26.611389,51.283056
BAH07,26.360039,50.574383
BAH08,26.189181,50.771661
BAH12,26.198331,50.756161
BAH20,26.281922,50.617433
BAH21,26.2228,50.714631
BAH33,26.175872,50.733961
BAH42,26.148378,50.722969
BAH50,26.368664,50.528747
BAH51,26.387411,50.553075
BAH52,26.344875,50.507975
BAH54,26.32055,50.549419
BAH55,26.282133,50.614614
BAH63,26.319981,50.549783
BAH67,26.19375,50.752467
BAH68,26.218922,50.715486
BAH69,26.162858,50.713717
BAH70,26.326172,50.538767
BOSIX,26.109167,51.931667
BOXOG,26.919444,50.77
BUNDU,25.006667,52.49
DAVUS,28.396111,49.106111
DAXAS,26.355833,51.833056
DETKO,28.097222,49.525
DUDRI,19.0,52.0
ELAXI,26.000278,52.583333
ELOSA,25.813889,51.709167
ENASA,26.173889,53.2025
GASSI,27.049167,50.374722
GEVAL,28.350278,49.716667
GITEX,25.436311,52.6419
IMTAS,26.300556,51.950833
IVONI,27.986389,49.358611
KANOG,26.175833,51.791389
KISAB,27.393056,49.101667
KUKRI,25.092692,52.554675
KUMBO,28.284722,48.923889
KUVER,28.156667,50.1
LABTA,25.996389,53.134722
LAGNO,25.270278,51.255
LOTIT,26.815556,51.210278
MEMBO,26.406944,50.793611
MIDSI,26.695,51.911667
MUNTI,27.648611,49.634444
NADAM,25.981667,53.659167
NANSU,27.184722,50.265556
NOBLA,25.853056,52.461111
ORGAS,26.536667,51.875
OTATA,26.311944,51.014444
PASID,25.976944,51.325833
PEBOS,26.456111,50.511944
R1820,25.902992,50.598942
R1821,26.262689,50.647806
R2847,26.278989,50.619556
RABAP,28.607486,49.455614
RADLO,26.073889,51.096111
RAMSI,27.046944,50.120556
SALWA,25.260556,50.513333
SESNA,26.156389,51.374167
SIA03,25.87605,50.613128
SIA11,25.771161,50.670433
SIA12,25.999392,50.754286
SIA13,25.776672,50.743447
SIA14,26.014875,50.787078
SIA60,25.830889,50.637275
SIKTA,26.542222,50.931111
SINGU,25.618333,52.950833
SITOX,26.629167,51.896389
SOLEM,27.874722,49.193333
TESSO,28.481111,49.456389
TOBLI,26.359444,51.383611
TOLMO,26.917778,50.490833
TORNA,26.56,50.703333
TOSNA,25.27,52.687778
UMAMA,26.975278,50.78
VATEL,25.922222,51.898056
VEMAN,25.993889,51.749167
VUXAL,28.591667,49.768333
VUXOR,25.895556,53.366111
