IDENT,LATITUDE,LONGITUDE
ADIPE,32.437656,-64.992469
BDA01,32.365747,-64.695256
BDA06,32.390561,-64.797428
BDA10,32.327758,-64.487567
BDA15,32.414833,-64.897764
BDA55,32.345997,-64.583558
CORAL,32.311492,-64.300828
R1504,32.361386,-64.663264
REEF,32.329153,-64.397194
SAND,32.454972,-65.068231
ZASER,32.381497,-64.395081
ANTIG,31.484683,68.060503
ANVER,35.252028,65.687792
AWSOM,33.027081,67.341194
BALOO,34.405167,62.137167
BALTN,30.690328,67.605453
BOBBO,32.36975,67.204211
BOVIC,34.873483,66.667581
CATZZ,31.082547,66.941722
DASER,34.138508,67.577622
ENAPI,33.206025,68.105992
FLAMO,33.376781,66.309719
GECAL,29.424492,65.421364
GUICE,32.740356,66.161364
JIMAC,32.357511,68.23155
KURTS,30.166356,64.495211
LAZEY,33.589,61.485
LITTL,32.373547,66.076842
NUMBR,32.670667,61.192333
PIERC,32.035164,65.999486
PIREX,29.374361,64.321189
QRTET,31.75225,67.077364
ROOFE,31.674711,65.917725
SHEIL,29.909839,66.708806
SICKL,31.05915,65.779583
TONEY,30.223119,64.423433
WINGZ,31.641833,61.289
YEPSY,31.864622,62.287394
