IDENT,LATITUDE,LONGITUDE
ABAPO,-18.861111,-58.301389
AKSES,-16.093333,-68.213056
APARE,-16.840833,-65.81
ARAVA,-14.079722,-65.372222
ARCON,-11.21,-68.715556
AROMA,-17.127778,-67.524167
ARPIS,-17.283333,-67.718056
ASAGA,-16.854444,-66.3025
ASIRO,-19.749722,-63.989444
ASPER,-17.341042,-63.578639
ASUVO,-20.985278,-64.479722
ATAVI,-17.937222,-65.893056
ATEBU,-18.946667,-63.358056
ATESI,-21.056667,-64.820278
BECKY,-16.021389,-68.438611
BERJO,-22.025,-64.556944
BUTIL,-22.169722,-64.786667
BUVKI,-10.576389,-65.412778
BUXAL,-11.85,-69.011667
CAMBA,-18.380833,-61.370556
CINTI,-21.131389,-65.011944
DADED,-10.149444,-66.893056
DAKON,-16.904444,-67.368611
DAMBU,-17.236389,-64.486111
DELMA,-17.067222,-65.741667
DEXOS,-17.131944,-68.934722
DULIA,-17.985833,-61.800833
EGASO,-18.381111,-64.306944
EKARI,-15.5575,-65.296111
ELANI,-15.596389,-68.185556
EMPEX,-20.511944,-68.665
ERIXA,-19.728333,-66.008611
ERVEL,-15.500278,-60.218056
GAXOK,-22.22,-64.61
GELTU,-16.725,-59.795556
GESPA,-22.088333,-65.45
INCAS,-21.760556,-68.106944
IREGO,-15.513056,-64.4925
IRIKA,-18.760278,-58.484167
IRONO,-17.424167,-68.329722
ISAMO,-16.788,-67.9095
ISARA,-10.608333,-67.679167
ISAVA,-15.199722,-65.696111
JOAKI,-13.97,-65.023333
KADAL,-18.961111,-63.105
KIACA,-21.743889,-64.218333
KIBIL,-16.643889,-61.786667
KILAX,-16.081389,-67.390556
KIMUR,-21.399167,-64.347778
KIPUS,-16.975,-69.052778
KODSA,-11.105,-65.315556
LAIKA,-18.731944,-64.853611
LARAT,-17.084167,-65.665556
LIMON,-18.953889,-63.3025
LOBAR,-18.873889,-63.651389
LONAR,-17.375833,-67.913056
MADIR,-12.481389,-68.034167
MAJEN,-16.905,-66.493056
MARIA,-22.0,-63.0
MHERY,-13.999444,-65.18
MICAS,-14.219722,-65.556667
MILOL,-11.513889,-65.274167
MOXOS,-14.820556,-65.799722
MURIL,-20.345278,-63.055833
OMERO,-17.2325,-61.649722
OPURO,-18.398333,-66.020833
ORALO,-17.296111,-69.625
OROKO,-21.866667,-66.133333
OROMU,-19.531667,-61.093333
ORUSU,-18.907222,-63.547778
PABES,-16.490278,-63.876667
PALCA,-21.079167,-64.521944
PAMPA,-18.569444,-65.539167
PAZ04,-16.512397,-68.226514
PAZ05,-16.511581,-68.320192
PAZ07,-16.510111,-68.407219
PAZ08,-16.344986,-68.221347
PAZ27,-16.503211,-68.406794
PAZ30,-16.451969,-68.395461
PAZ31,-16.435961,-68.388061
PAZ50,-16.507647,-68.320122
PAZ55,-16.515239,-68.138028
PAZ70,-16.505878,-68.354792
PAZ80,-16.513244,-68.219628
PUBIT,-18.803889,-62.4875
PUNAR,-17.015278,-65.983333
R2450,-16.512744,-68.210975
RAVEL,-18.68,-65.686944
REKAS,-15.653056,-66.567222
SACON,-17.917778,-61.783333
SALCE,-17.336667,-64.508889
SAMAI,-19.551111,-66.130833
SIBUS,-15.661389,-68.588889
SIDAK,-19.639167,-58.207833
SISER,-17.528333,-64.544722
SUDAN,-16.314722,-62.911944
TAITA,-16.944444,-61.951389
TANOR,-17.1725,-66.731667
TEPAR,-17.298611,-66.775278
TIGRE,-17.273333,-61.802778
TIRKU,-17.4675,-65.569444
TORAX,-16.726667,-67.303333
TOTAI,-18.175556,-61.872222
TUMAS,-11.219444,-68.755278
UBKAB,-16.315,-58.608611
UDIPO,-15.47,-66.211111
UYUNI,-20.021111,-66.873889
VALLE,-13.7625,-62.454167
VARCE,-17.468333,-65.609722
VERDE,-17.976111,-61.798056
VIR22,-17.659017,-63.128411
VIR33,-17.751944,-62.979208
VIR53,-17.801233,-63.032403
VIR72,-17.731892,-63.081272
VRONB,-17.537156,-63.201122
YACAR,-18.812222,-58.500833
YAGOX,-16.882778,-65.920556
YOTAL,-19.500556,-65.186111
YUNGO,-16.246667,-67.721667
ZOZOG,-18.079722,-61.443333
