IDENT,LATITUDE,LONGITUDE
ABAFT,2.409667,4.908667
ABASE,0.730167,3.7695
ABATE,1.391167,5.837167
ABEAR,-26.434583,-49.651417
ABELA,3.894667,5.306833
ABIDE,0.6785,6.688
ABODE,1.764167,3.855
ABOVE,2.015667,5.883167
ABSAL,2.921667,4.357
ABUCU,0.586167,3.134667
ABUSE,1.257667,5.469333
ACENA,0.205167,4.085833
ACRID,1.938667,3.547667
ADEMI,1.553333,3.816167
ADOLF,1.76,3.3505
ADUST,0.781,6.616167
AERON,0.578,6.539333
AFTER,1.741833,4.708667
AGENT,2.0165,5.619833
AGRO,-15.852644,-47.814869
AGTAL,0.7815,5.508833
AGUA,-23.090167,-42.285167
AGURI,2.1285,4.675667
AKNEN,3.007667,5.887333
AKNIB,0.5115,5.6395
AKNOV,0.8425,6.346333
AKNUB,2.494167,4.573
AKPOD,3.465833,5.561333
AKRAN,0.832667,1.7335
AKSUG,2.365667,4.348333
AKSUK,0.897833,6.531833
AKSUL,2.55,5.786167
AKSUM,0.404667,6.189167
AKSUX,-21.525667,-46.215167
AKTOR,0.0095,6.736833
AKTUM,0.511,6.808
ALBER,2.933167,4.341667
ALBEX,1.07,5.625667
ALBIM,-16.507167,-47.797333
ALBOM,1.521,6.697
ALCIR,2.465167,4.323333
ALEMA,2.526167,4.109667
ALGAL,1.8505,2.000333
ALINA,1.4505,4.669667
ALONE,1.9555,5.461833
ALONG,1.037833,4.7725
ALVAR,1.494167,4.901833
ALVOX,2.175,4.9725
AMALO,1.467167,6.805333
AMANT,1.384833,4.823833
AMBET,0.7595,3.445667
AMENT,1.8395,3.640833
AMERO,2.143833,4.466167
AMOB,-3.615167,-59.788833
AMVER,0.295667,5.0135
AMZAK,1.254167,5.664167
ANBIX,0.185167,6.623167
ANDER,0.264,4.221833
ANDOR,2.762,4.384667
ANGAS,1.5235,5.858
ANGOL,1.8235,5.017667
ANGUK,0.552333,5.371833
ANIP,-2.7795,-60.740167
ANISE,2.602167,4.625333
ANLES,1.189333,4.44
ANPOS,1.785167,5.769833
ANSOX,0.557,5.5945
APINO,1.961833,4.207833
APORT,1.053667,4.060833
APUC,-12.709667,-37.945
APURU,0.0925,5.871
ARENA,2.026667,4.7825
ARENU,2.783833,2.000333
ARETE,1.772167,3.045667
ARGIL,2.855167,5.574667
ARGOS,1.8515,5.422333
ARIL,-8.231411,-34.858136
ARINO,1.538167,5.105833
ARISE,2.408667,5.371
ARMAN,0.306167,3.685167
ARMUK,1.482167,6.558333
AROMA,3.281333,5.399167
AROPI,0.311333,6.888
ARPAR,1.515,5.286333
ARTIK,0.6255,6.5665
ARUBI,1.159333,4.466833
ARUKI,1.607333,4.146833
ARUNU,0.5725,2.328
ARVIS,-23.094,-47.983
ARVIV,-20.882,-45.497167
ARVIX,0.0355,6.5155
ARVOT,0.211167,6.380167
ASANU,0.829667,2.1725
ASAPA,0.021,6.714333
ASDEK,2.594833,5.341333
ASDOK,0.613667,2.440333
ASGAT,2.9325,4.478833
ASOLA,0.795,7.973
ASONO,2.265333,4.9745
ASTOB,2.68,4.823167
ASUMA,3.8675,5.155333
ASUMI,0.250333,6.511
ATASA,2.5505,3.000333
ATEBO,2.480333,4.129667
ATEXO,2.3025,4.0085
ATNAS,2.167833,5.304
ATYLA,1.243,4.674833
AUGUR,1.528833,4.863833
AULIC,2.765,5.805833
AVILA,0.516833,3.147667
AWAKE,2.137333,4.573167
AZOIC,1.286833,4.708
AZOTE,1.834,3.840833
BACON,1.220167,4.181
BAIAN,1.623833,4.767167
BAKER,2.125667,5.850833
BANAL,2.705833,5.768667
BANGU,0.596667,3.454167
BANJO,0.194667,3.486167
BANTU,3.23,5.1555
BARCO,0.682667,5.868
BAREF,0.794667,4.263333
BARGE,0.370167,6.354667
BARKA,0.962833,4.181667
BASAL,0.005,6.017667
BASIL,0.093833,4.226833
BEANO,1.7395,4.494
BEGET,2.012667,4.507167
BEL01,-1.579372,-48.4303
BEL03,-1.585344,-48.478617
BEL10,-1.582869,-48.509858
BEL11,-1.563436,-48.569286
BEL12,-1.43975,-48.28665
BEL13,-1.430519,-48.318644
BEL14,-1.493817,-48.311128
BEL15,-1.475575,-48.339042
BEL16,-1.546872,-48.438353
BEL17,-1.551847,-48.478617
BEL22,-1.549783,-48.504653
BEL26,-1.475597,-48.656558
BEL29,-1.363342,-48.677219
BEL30,-1.533589,-48.554172
BEL31,-1.289994,-48.654933
BEL32,-1.524825,-48.569258
BEL33,-1.242236,-48.619817
BEL34,-1.219717,-48.593153
BEL35,-1.215794,-48.587372
BEL36,-1.480422,-48.614942
BEL37,-1.460392,-48.6269
BEL38,-1.413436,-48.642506
BEL39,-1.401861,-48.644122
BEL40,-1.366844,-48.644119
BEL41,-1.305722,-48.62555
BEL42,-1.265922,-48.596286
BEL43,-1.247158,-48.574064
BEL44,-1.243889,-48.569247
BEL45,-1.519858,-48.576439
BEL58,-1.473108,-48.61975
BEL79,-1.41925,-48.675286
BEL83,-1.405358,-48.677225
BELIA,2.003833,4.935667
BELIC,2.917833,4.796833
BELIS,0.5715,4.064
BERLI,2.643667,5.053667
BERNA,1.351,5.532667
BERTI,0.912833,3.439333
BETAR,1.021833,4.891
BETEL,2.1025,4.971
BHZNB,-19.853333,-43.954667
BIDEV,1.233833,3.972333
BIGOD,0.677833,6.213833
BIGOT,0.5805,6.7325
BILUX,0.819,2.229333
BINAS,0.733,6.851667
BIRTI,1.2775,4.605833
BISAN,-9.052,-48.849833
BISSA,0.845,4.837167
BITAK,2.630167,4.638
BIVUT,0.202833,6.352667
BLESS,1.391833,3.880833
BLIND,2.676167,5.657
BLOCK,1.829,3.726833
BLOTA,0.148333,7.616667
