IDENT,LATITUDE,LONGITUDE
ACMEE,22.174389,-75.056389
ALBBE,20.416667,-72.248806
AMBIS,23.731625,-76.880194
ANGLL,27.0,-77.569444
AVNEY,23.895481,-73.949864
BAHMA,25.941117,-79.129533
BARTS,25.983714,-77.505686
BAYRU,25.93105,-77.824944
BENIE,23.574306,-73.572861
BENZI,27.063642,-79.014878
BERTH,26.953611,-79.325389
BNTTZ,25.263889,-76.321667
BORDO,24.0,-78.458333
BOSAR,24.637011,-76.849933
BRONO,24.810278,-77.547289
BRRGO,24.416667,-74.565528
BURBO,26.215336,-78.220411
BURRL,24.98945,-77.267281
CAREY,25.598836,-78.229975
CEGUR,26.451767,-78.551958
COBBL,24.756892,-75.188017
CVIKK,27.009167,-77.57
DAAST,26.008747,-75.851569
DILLE,24.966353,-77.381539
DUKKY,23.580556,-75.263889
DUNNO,22.928417,-75.931278
ELBOW,26.426172,-76.726508
ELLEE,24.880611,-79.690028
EVETS,23.678222,-75.4084
EXIGE,23.645086,-76.050167
EXTER,25.768539,-76.258361
FIVZE,25.0,-60.0
FLINY,26.664125,-77.888594
FORRK,24.106111,-75.892778
FORST,22.109722,-75.055278
GEROT,24.044181,-75.953644
GHANN,22.0,-75.166667
GRREG,26.535261,-77.878931
GUAVA,25.139847,-76.910186
HAANA,26.731342,-77.369639
HALBI,26.676775,-79.143222
HANKX,25.686319,-77.487203
HERSA,23.606567,-75.969628
HINZY,25.114519,-77.684108
HIROC,26.490417,-78.302528
HODGY,24.1605,-77.394778
HUTEX,25.110664,-77.539975
INDEE,23.139786,-74.389536
INGRA,25.465431,-77.222333
ISAAC,25.952139,-78.797753
JAKEL,26.816225,-79.107739
JAMAX,26.701194,-78.788528
JAYEE,24.432161,-77.723508
JIPOK,23.471933,-75.689236
JOLTS,26.993111,-79.214222
KURAY,25.259211,-77.460794
LAUTH,26.126658,-78.343
LEEVI,25.539806,-79.212725
LEPAS,24.740397,-77.007939
LOGVN,24.533333,-74.778056
LUCSS,24.969031,-78.606731
MAJUR,25.330056,-77.861003
MAMML,25.536658,-76.647669
MELON,25.519542,-77.476861
MENDL,24.452561,-78.678369
MINCY,24.907158,-77.316714
MRRSH,26.511328,-77.083164
MUNIE,25.191022,-77.628444
MUNRO,26.540014,-79.013817
MUVOD,24.656661,-75.66685
NICKO,24.990925,-78.179322
NUCAR,28.126028,-77.633
OHBEE,25.436028,-76.796028
OREDE,22.604136,-72.445256
OSOGY,27.144225,-79.400125
OTORE,23.545989,-75.647275
OYSTA,25.72845,-78.408967
PADUS,26.354008,-79.108583
PEACH,25.429631,-77.773011
PEKRE,24.737786,-78.096108
PRUNE,25.215769,-77.956167
R2355,23.566939,-75.886939
R2356,23.557981,-75.868264
RAJAY,25.300772,-78.185975
RAPPS,27.056214,-78.673322
ROSEA,22.656567,-74.696653
SEAAN,24.909347,-76.873522
SKIPS,25.553892,-79.274367
STIFF,27.605183,-78.646117
SWIMM,25.499778,-79.038361
SYDNY,25.562592,-77.881075
TINKY,24.980119,-78.393683
ULAMA,26.674228,-79.063269
WELKS,24.871633,-77.518125
WIERS,25.769881,-79.445364
WLKER,27.251667,-78.4
WOOZE,25.426067,-78.719442
WOPOP,26.711381,-78.631419
WUNUT,23.397661,-75.730981
WUPUB,23.719275,-76.008306
ZAPPA,26.630003,-79.097922
ZFP07,26.550681,-78.709833
ZFP16,26.394889,-78.563719
ZFP24,26.445814,-78.884853
ZFP25,26.476681,-78.903156
ZFP26,26.509939,-78.915233
ZFP27,26.537603,-78.744069
ZFP34,26.730764,-78.806219
ZFP57,26.517969,-78.795406
ZFP77,26.504869,-78.829619
ZFPNB,26.519036,-78.774614
ZQA12,24.934317,-77.292544
ZQA15,24.885172,-77.346536
ZQA22,25.051539,-77.474997
ZQA31,25.163042,-77.654631
ZQA33,25.214925,-77.597761
ZQANB,25.040411,-77.470497
ZUNDI,23.518311,-75.785656
