IDENT,LATITUDE,LONGITUDE
ABFTV,-21.014325,26.871828
ABKGV,-23.526533,22.888014
AGRAM,-18.001117,21.649536
AKTLA,-23.558036,26.140903
AMBIT,-17.469775,24.366556
ANTOG,-22.019161,28.367769
ANTOR,-23.084619,19.999472
APREV,-20.417608,27.049678
ASNKI,-24.198061,24.709239
AXIKO,-19.951389,26.804722
BONAL,-19.306858,26.084656
BOPAL,-22.45105,28.818336
BOPAN,-22.402447,19.999475
BUGRO,-17.836686,22.435392
DANAM,-21.650856,28.43305
ELTON,-19.106667,24.369444
ETBED,-24.538044,24.646511
ETOSA,-24.714,26.053606
EXOBO,-18.152503,25.434083
GESEN,-20.085692,27.133333
KULBU,-20.936461,27.685531
KUTLA,-23.602103,26.316317
LOTIS,-19.349356,25.92215
SINKI,-24.268997,24.685158
SOKIM,-23.719317,26.251039
TAVAS,-21.03005,20.999508
UBVEM,-25.420842,25.093239
UDKOL,-20.080178,27.186278
UNBIS,-24.385503,24.663856
UTADI,-21.727336,21.008622
UTRAN,-19.679722,24.618611
UTVIN,-23.619042,25.2999
UVELA,-18.415022,25.146119
UVLAS,-23.000756,26.267706
