IDENT,LATITUDE,LONGITUDE
ABKOM,54.293333,29.544722
AMIRI,51.919722,25.886389
BABOK,54.455,30.266389
BABUN,52.181389,28.781389
BADUS,54.388333,25.588333
BAGAM,52.786389,29.423056
BENIM,55.146389,28.221389
BEREG,52.608056,30.048056
BERIS,54.073056,28.908056
BESAK,53.2625,24.989167
BUGOR,53.216667,32.464722
BUSIN,53.274722,26.514722
DEDOK,54.035,29.301389
DELON,53.349722,28.648056
DERAD,53.415,30.818056
DIBON,51.893056,26.121389
DIVIM,52.189722,25.048056
DOMAN,52.551389,24.841389
DULEB,53.818333,29.389722
ELDOK,53.801389,25.079722
ENOBI,53.592778,23.629722
GANVI,52.954722,26.403056
GIDKA,53.938333,30.203056
GOGER,52.604722,30.321389
GOMAD,51.866389,29.965
GORUL,52.424722,30.388333
GOVIK,53.601389,26.823056
GRINA,53.021389,24.151389
KEDUG,53.488333,30.798056
KIBER,51.716389,30.631667
KODON,55.24,29.181389
KOLAK,53.506389,27.688056
KOLOS,53.456389,26.956389
KOMAP,53.856389,28.713056
KOMEN,53.376389,25.003056
KOPON,53.645,30.758056
KOSAN,54.775,29.276389
KUBIN,54.588056,27.694722
KUNIN,52.108056,26.856389
KUREN,54.671389,26.829722
KURPI,54.263056,28.709722
KUSIP,52.123056,23.898056
LAPKI,54.675,29.481389
LASDA,51.476389,30.261667
LEGSI,55.265,28.926389
LENOK,54.551389,27.441389
LIMPO,53.254722,28.308056
LITVI,54.498056,26.808056
LUBIN,54.301667,30.583056
LUPAN,53.118056,27.676389
MAGEP,51.946389,29.049722
MAMIN,52.958333,30.936389
MAPAT,52.359722,24.984722
MASAD,52.546389,27.133056
MATUS,54.103056,27.338056
NAMOK,51.604722,28.749722
NASKA,53.616389,28.914722
NELIM,52.943056,24.163056
NELOK,54.568333,29.808056
NIMAN,53.649722,24.051389
NOPKA,54.329722,25.886389
OGARA,52.689722,27.238056
PASUD,54.393333,29.931389
PENAL,54.518056,28.521389
PENAT,53.781667,30.184722
PEPAR,53.741389,25.099722
PIROS,53.491667,30.149722
POTAP,53.069722,24.268056
RALIK,53.665,30.676389
RATIN,55.28,30.861389
RAVOK,52.213056,24.093056
REKTA,53.891389,29.169722
ROMAL,52.203056,30.521667
RUBUN,54.434722,26.799722
RUDEN,53.618056,27.689722
RUMIK,54.46,30.538056
SIVRU,55.031667,29.188056
SLEDA,53.551667,30.433056
SODKO,54.183333,29.441389
SONTI,52.166389,26.859722
SOSUD,52.419722,24.964722
SUMOK,54.36,29.608056
SUPEK,55.583333,30.948056
SURUG,52.559722,24.221389
TADIG,54.17,30.618056
TEDRO,54.289722,27.863056
TEGLU,55.501667,30.428056
TIVAN,53.881389,28.506389
TOBLO,52.968333,31.359722
UMOO,53.955,30.094722
VALOL,52.224722,23.466389
VALTA,55.141667,29.176389
