IDENT,LATITUDE,LONGITUDE
04THT,73.147778,-68.683056
08YBK,63.751278,-100.000686
16YYQ,60.774258,-99.999244
32YZF,61.750158,-110.001172
4850N,48.0,-50.0
4950N,49.0,-50.0
5050N,50.0,-50.0
5150N,51.0,-50.0
5250N,52.0,-50.0
5350N,53.0,-50.0
53YRT,60.85,-100.0
5595N,55.0,-95.0
5850N,58.0,-50.0
5890N,58.0,-90.0
5950N,59.0,-50.0
63YBK,62.249028,-99.995397
66YBK,65.248244,-89.999331
6860N,68.0,-60.0
69YEK,57.704158,-88.341547
70N05,70.0,-105.0
7580N,75.0,-80.0
8083N,80.0,-83.0
ABCID,43.039167,-79.328333
ABCOT,45.043333,-73.630278
ABENY,54.251667,-113.075833
ABNEE,45.552222,-74.189167
ACKIN,54.957778,-115.473889
ACO59,42.0487,-81.587667
ADRAX,45.958611,-66.198333
ADREX,59.296944,-107.693611
ADSAM,69.921147,-63.219894
ADSED,43.821787,-79.816986
ADSIT,51.122778,-113.794167
ADSIX,49.116667,-122.5
ADSUR,50.688333,-73.251667
ADUIM,52.633611,-114.246389
ADVEG,48.344722,-71.143611
ADVIV,44.171133,-77.408497
AFINS,51.001667,-120.686389
AGBUT,44.747778,-79.778611
AGDAN,50.894722,-113.695556
AGGUA,50.254167,-124.998611
AGLIN,45.503056,-75.263056
AGNEX,45.600833,-77.103056
AGPAL,54.528889,-130.779444
AIRIE,52.78,-123.196389
AJAX,50.485306,-104.736119
ALBRO,50.947222,-114.599167
ALDDA,49.55,-116.344444
ALEXS,45.731667,-73.653056
ALGAR,56.015556,-112.096111
ALIVE,54.363056,-122.164722
ALKAP,62.459444,-106.35
ALKOB,51.48,-64.024167
ALKOG,50.029444,-97.730833
ALLEX,44.416667,-67.0
ALMAR,43.98705,-77.734914
ALMEX,48.435833,-90.056944
ALOET,45.773056,-74.484167
ALOHA,51.786667,-117.412778
ALOMO,51.314444,-112.76
ALPIM,57.463056,-110.437778
ALRUG,52.144444,-116.073889
ALSAB,61.515556,-110.0
ALSAK,64.0,-70.0
ALSAV,55.594149,-111.156946
ALSED,50.3,-118.583333
ALSES,54.225,-105.908333
ALTIX,49.646897,-124.778322
ALTUB,53.485833,-60.709722
ALVYN,49.617778,-122.706389
AMASS,61.038056,-68.515833
AMBIL,50.254167,-97.8275
AMBOF,46.690278,-63.386111
AMBRO,49.99,-120.357222
AMERT,44.660833,-77.888056
ANC02,60.211147,-140.176892
ANC30,60.202231,-139.914628
ANC33,60.125792,-139.162942
ANC39,59.717778,-135.759261
ANC77,60.304417,-140.999039
ANC92,60.259067,-140.505289
ANCER,48.558333,-69.421667
ANCOL,43.208611,-80.015833
ANDEE,49.646944,-115.1375
ANDRE,49.813611,-67.995278
ANJER,49.460556,-118.085278
ANN01,54.638311,-130.969981
ANN02,54.5125,-131.649719
ANN11,54.689636,-131.043053
ANN26,54.692936,-131.182683
ANSAR,48.6725,-68.690556
ANTLR,49.073611,-122.237778
ANTUR,49.208056,-84.920833
ANVAP,49.071944,-124.288889
APDIN,48.986667,-54.833333
APMAL,61.872778,-130.0
APNEL,45.349722,-82.228333
AQUIN,49.743611,-123.673889
ARAME,51.332222,-67.464444
ARDEE,45.123333,-64.386111
ARGUS,44.945272,-64.650186
ARMAC,49.194167,-123.826389
AROUK,54.278333,-114.438333
ARRUE,49.073056,-124.129722
ARTHR,43.748056,-80.554722
ARVEE,62.866667,-74.0
ASHTN,45.198611,-75.924722
ATENE,46.234444,-70.2725
ATHLO,51.519167,-113.720278
ATHUR,50.009444,-117.205
ATLAN,46.76,-57.115556
ATUKO,47.0,-76.686944
ATUNA,50.373056,-126.530833
ATUSA,44.078611,-79.009722
AVOKU,60.0,-90.0
AVTAK,45.971667,-76.318889
AVUMU,48.962222,-125.084444
AVVON,45.24,-74.988889
AXAVO,44.27,-77.270556
AXILI,50.0,-110.0
AXOBU,42.944167,-82.395
AXUBI,59.072222,-132.643056
AXXIS,42.830556,-81.983333
AYROU,65.315,-64.0
BACCY,44.054153,-77.632025
BACHO,50.8275,-113.079167
BACMO,48.0,-84.016667
BACOS,52.534722,-113.639167
BAFAL,48.93,-81.904167
BAGLE,46.091667,-66.903611
BAILS,47.605833,-53.131389
BAIRS,51.196111,-113.849444
BAJOL,49.309167,-123.469167
BALOR,50.029444,-119.027222
BAMPS,62.321944,-116.200556
BANCS,45.65,-52.102778
BANJO,45.048822,-65.167617
BANNE,54.099167,-130.637778
BAREE,48.146944,-69.3
BARIE,50.916667,-113.889722
BASRA,49.2525,-123.006389
BEATE,43.066389,-79.560833
BEFAN,49.804444,-97.986389
BEJAT,43.889722,-78.657222
BEJAW,57.24,-112.825
BEMOX,63.378056,-130.0
BENAX,62.484444,-110.0
BEPEG,63.0,-70.0
BEPIT,51.845,-113.591389
BEPUP,46.7,-82.556111
BERUS,63.0,-63.0
BESEM,45.773056,-73.317222
BESIL,45.934722,-77.137778
BETUM,50.766667,-116.516667
BEVEG,54.180278,-110.122778
BEVEL,49.5,-110.0
BEZED,64.866667,-67.0
BIBEM,62.671944,-141.0
BIBOX,66.013333,-124.0
BIGBE,44.133333,-80.616111
BILII,49.020833,-88.261667
BILNO,49.978611,-97.749167
BILPA,46.418056,-82.4325
BILSI,64.315278,-116.725833
BIMRO,43.028056,-80.316667
BINGA,57.701944,-125.0
BINLO,61.752222,-103.464444
BIRLA,50.583333,-97.066667
BISPO,56.937778,-115.900278
BITRO,67.0025,-135.0
BIVGO,45.65,-75.198333
BLAKK,46.0425,-72.416111
BOBBS,51.001667,-61.999167
BOBNO,53.5275,-112.411389
BOBRA,46.241111,-76.536944
BOBTU,44.117222,-52.822222
BODRA,62.282778,-80.0
BOFIN,48.7175,-93.527778
BOGGI,49.141944,-122.791389
BOGGY,50.250556,-104.406944
BOGSO,45.025556,-82.431389
BOINE,49.829994,-97.256969
BOJAM,52.104444,-117.714722
BOKMA,54.519444,-131.648889
BOLMO,43.91,-80.0525
BONAK,53.0,-134.0
BONDE,47.264444,-83.726111
BOOPY,50.099167,-124.591944
BOOTH,49.522222,-122.045
BOPUT,68.959436,-61.941169
BORAN,61.631111,-141.0
BORDN,44.348889,-80.328056
