IDENT,LATITUDE,LONGITUDE
AMSIK,-1.216944,16.848889
APIVA,-4.675833,12.7725
ARAKI,-5.301944,10.7325
BUMAK,-0.450278,16.699722
DIMLA,-2.234444,13.851111
EMSAT,1.349444,17.94
ENINA,-3.962222,11.223889
EPULO,-3.431389,14.248611
GARAL,-1.964444,16.127778
INONI,-3.060278,15.713333
IPAMU,-2.698611,13.3375
LISIT,-2.981111,15.358333
MIKMA,-0.158889,14.659444
MONAL,-3.624444,12.479167
ONASA,-3.726389,11.126944
OPGAM,2.368611,17.670556
PIPLO,2.27,18.116667
POTAN,-3.193056,14.523611
RAMIS,-5.033333,11.97
SABSA,3.124167,18.050556
SERAL,2.349167,17.757222
TASIN,-3.620278,11.307778
TIVAL,-1.828333,14.905833
UBOLI,-3.765833,11.073056
USKAV,2.222222,17.709167
USMAK,-0.550833,16.661944
VONTI,-1.812222,15.445556
VORAX,-4.537778,13.577222
