IDENT,LATITUDE,LONGITUDE
ABESI,46.159614,9.042803
ABREG,46.306944,9.551389
AKABI,47.716817,9.233333
ALETO,46.388333,7.877778
AMIKI,47.573889,9.0375
AMRID,46.934833,7.325778
AMRIS,47.504167,9.383333
ARGAX,47.05,9.298056
ARTAG,47.164444,8.513889
ARVAN,47.231389,7.728056
BADEP,47.027222,7.424444
BALIR,47.308333,7.281389
BARIG,47.268611,8.561111
BASGO,46.273056,8.472222
BASUD,47.371761,7.624581
BENOT,47.057778,7.172778
BERSU,47.135556,7.941389
BIBOT,46.751389,6.410278
BINGI,47.248056,7.835
BIVLO,46.197222,6.253889
BLONA,45.008611,6.777222
BODAN,47.5875,9.451389
CANNE,46.166667,8.881111
CERVI,45.97,7.545278
DEGAD,46.436111,8.618333
DEGES,47.4125,9.201944
DELMO,47.257778,7.16
DEREM,46.356667,6.176111
DETRI,46.606111,8.815
DINIG,46.495278,5.890556
DITON,47.302222,8.333333
DOPIL,47.07,8.016667
EDUMI,47.761311,8.458606
ELMUR,47.156667,8.9075
ESAPI,45.89,6.290278
ESEVA,46.802222,7.014722
FLORY,46.908611,6.585
FRI14,46.874903,7.389683
FRI19,46.569389,6.8771
GERSA,47.039444,8.532222
GG602,46.116389,6.067222
GIPOL,47.505278,8.040833
GOLEB,46.051667,6.5625
GUDAX,46.784722,7.490278
GUGSA,46.506389,9.766667
GVA02,46.22955,6.165025
HOC01,47.492414,7.421792
HOC11,47.4133,7.423669
ISW01,46.265803,6.149342
ISW04,46.300433,6.200886
ISW17,46.453942,6.428447
IZH01,47.4877,8.5278
IZH03,47.517956,8.507319
IZH13,47.676622,8.398519
IZH82,47.596544,8.453519
IZW10,47.437947,8.817878
IZW22,47.452814,8.620206
IZW33,47.450817,8.647056
IZW65,47.444964,8.725158
KELIP,46.956111,8.761667
KELUK,46.555556,5.685556
KEMIT,46.136944,5.961667
KESEX,47.234722,8.716667
KLO01,47.49675,8.515761
KLO04,47.528569,8.472397
KLO08,47.579828,8.402036
KLO09,47.542986,8.72695
KLO12,47.637122,8.323156
KOGAS,45.808333,6.390833
KONIL,46.568333,6.458333
KONOL,46.995278,7.680833
KORED,46.850556,7.414167
KOVAR,46.391944,5.816944
KUDES,47.520833,8.857222
LAGOS,47.541111,9.531389
LAMUR,46.579722,7.231389
LASUN,47.414167,7.5375
LEPLA,47.343333,7.366111
LIVNU,46.593333,8.816944
LORBU,46.729444,6.528889
LUKOM,46.585,8.758611
LUMEL,47.407222,7.153889
LUTIX,47.165,7.370556
MALUS,46.828333,8.5625
MANEG,47.204167,8.722222
MEBOX,47.086222,7.609306
MEGEV,45.48,7.043333
MILNI,47.296389,8.659167
MOLUS,46.443889,6.679444
MONIN,46.684167,7.988333
MOSIT,47.069167,8.743889
NAMEL,46.357778,6.283333
NAXOL,46.583056,8.986111
NEMOS,46.911944,6.906667
OBEDU,47.258056,8.255
ODIKI,45.942222,6.343611
OLBEN,47.304444,7.629444
OMASI,45.906111,5.974167
ORSUD,45.957778,7.181667
PAS13,46.004347,6.244731
PAS14,46.057406,6.298458
PAS31,45.934167,6.665722
PELAD,46.598889,9.725833
PERAK,46.046389,6.409722
PERER,46.551944,9.468611
PETAL,46.369444,6.301111
PINOB,47.249444,8.450833
PIXOS,46.605278,8.983056
PUNSA,46.078611,8.025833
R2275,46.849189,6.924875
R2276,46.250361,6.127006
R2277,47.099992,8.313706
R2278,47.482094,8.536069
R7918,47.475581,8.535947
R7919,47.4566,8.570447
RAMOK,47.022222,7.684167
RESIA,46.478458,10.043208
REVLI,46.586389,6.743333
RIPUS,47.260278,8.5
ROLSA,47.289722,8.889167
ROMGA,47.490556,9.403611
ROMIR,47.712978,9.107703
RONAG,46.779444,10.258889
ROTOS,47.19,7.725278
SALEV,46.073889,6.065833
SANET,46.331944,7.275556
SITOR,47.509444,9.335
SOPER,46.889444,8.944444
SOSAL,46.558056,6.884444
SOSON,46.606667,8.594167
SOVAD,46.3375,6.048333
SP014,46.622222,6.191667
SPR06,46.518503,6.573547
SPR11,46.343042,6.787917
SPR12,46.568169,6.699269
SPR14,46.273611,6.631944
SPR16,46.223347,6.516667
SPR22,46.125194,6.544069
SPR35,45.896144,6.607419
SUREP,47.165278,8.010833
SUVEL,46.151389,6.351111
TELNO,46.771944,7.270833
TINAM,46.36,6.530556
TRA10,47.596172,8.232792
TRA25,47.707086,8.492861
TRA60,47.647183,8.302906
TRA98,47.620303,8.218125
ULMES,46.955,7.2925
URIGI,47.058889,8.413611
UTIXO,47.2525,8.688889
VADAR,46.657222,6.753611
VADEM,46.721667,6.483611
VALAV,46.632778,10.386111
VALBU,46.086111,6.489722
VALOR,46.059722,6.973889
VEBEG,47.408453,9.651911
VEBIT,47.268611,8.005833
VENAT,46.244167,6.596667
VEROX,46.7275,6.573333
WIL01,47.20945,7.584106
WIL10,47.248492,8.127636
ZH503,47.575,8.709722
ZH677,47.577222,7.736944
ZH701,47.629575,8.666994
ZH702,47.736153,8.571683
ZH703,47.4797,8.937228
ZH775,47.591231,8.12675
ZUE50,47.524764,8.745392
ZUE78,47.517536,8.660558
ABARI,47.416389,6.9425
AFOLT,47.236389,8.460556
AGERI,47.117222,8.605
ALBIX,47.249722,8.564444
ARNOT,47.402222,6.92
ASTOT,46.025278,6.9725
BOMEC,47.175,6.989167
BREGO,47.389722,8.346111
DIBIV,46.466667,9.666667
EBUXA,47.183333,9.433333
EGABI,47.307222,8.663611
ERMUS,47.232222,8.244722
GIBRU,46.828333,8.398056
GRANA,46.283611,7.5325
INTIP,46.286667,6.860556
KOLUL,47.467222,8.822778
LAMAX,47.620556,8.903889
LARDO,47.093611,7.366111
LUGAN,46.003611,8.910278
LUMEG,47.056389,8.385833
LUMIS,47.183333,9.2
MANID,47.2675,8.694722
MASAB,46.398889,7.9125
MATIV,47.593056,9.192222
MOMOL,47.461667,8.671111
NATLI,47.491944,7.507222
NOLKA,47.148056,8.126111
PILAV,46.865833,8.066111
RISLI,47.453056,8.5075
ROMOM,46.681111,6.970556
RONIX,47.228333,8.458333
ROSGO,46.452778,9.461389
SONGI,47.777775,8.731953
TADOB,47.183056,8.089722
URNAS,47.002222,8.638333
UVULA,46.766667,9.916667
VALAD,46.947222,7.086944
VEDIL,46.429167,6.811667
VIBAX,47.346667,8.884444
