IDENT,LATITUDE,LONGITUDE
AKNUV,-21.180131,-69.776067
ALBAL,-34.183333,-69.816667
ALDER,-27.097072,-71.151097
ALMIR,-54.000361,-69.809144
AMB00,-33.3644,-70.8051
AMB05,-33.503211,-70.782642
AMB10,-33.365819,-70.788389
AMB12,-33.19115,-70.818936
AMB13,-33.157825,-70.821581
AMB22,-33.052428,-70.791994
AMB28,-33.875278,-70.909722
AMB45,-33.299447,-70.810325
AMB54,-33.185997,-70.789233
AMB72,-33.302867,-70.786811
AMB77,-33.246136,-70.814567
AMB99,-33.36965,-70.785422
ANGOD,-34.014844,-70.925025
ANGOL,-37.675386,-72.708947
ANKON,-35.2,-70.5
ANPUK,-28.503725,-74.403058
ASALO,-30.270406,-70.302222
ASEPU,-21.172894,-74.521914
ATEDA,-27.528333,-72.443889
ATTES,-33.303417,-70.791203
BAGRE,-23.453739,-70.802747
BALNB,-45.919444,-71.698333
BAMAN,-40.477875,-73.508142
BAPOS,-52.303428,-68.937164
BARCA,-29.816667,-71.432222
BETRI,-47.0,-72.677778
BRADA,-21.892,-70.745333
BUKES,-20.355919,-70.170617
CALBU,-41.351389,-72.546111
CAMAR,-19.374444,-70.259722
CAR04,-36.815522,-73.089547
CAR07,-36.864969,-72.772925
CAR09,-36.890547,-73.135153
CAR12,-36.935553,-73.162558
CAR17,-36.789869,-73.072119
CAR19,-36.977611,-73.175897
CAR20,-36.963031,-73.227681
CAR23,-36.790008,-73.074061
CAR52,-36.858714,-73.109875
CAR62,-36.577669,-72.898836
CAR70,-36.850347,-72.810494
CAR80,-36.547986,-72.974511
CAR84,-36.907453,-73.137064
CAR86,-36.660136,-73.295161
CAR87,-36.645347,-73.332533
CAR89,-36.993683,-73.149628
CAR96,-36.680431,-73.007683
CAR98,-36.5603,-72.935153
CARPA,-32.0,-90.0
CATAL,-52.594722,-68.753056
CAUKE,-42.425278,-73.201944
CEPAM,-23.325833,-69.02
CHINB,-36.588889,-72.029167
DARIN,-54.963422,-68.737489
DESIT,-33.536333,-70.777167
DGO32,-33.563006,-70.985861
DILOK,-31.933736,-70.633897
DOVRI,-24.800556,-70.560556
DRAKE,-59.308164,-63.595611
ELASA,-24.012064,-73.619425
EMBAL,-31.333333,-70.858333
ERCIL,-37.640833,-72.319722
ESAVI,-37.664722,-72.181111
ESCOT,-35.303889,-72.039444
ESDIN,-18.350378,-80.203864
ESMER,-20.205278,-70.163611
FAG03,-23.417394,-70.439275
FAG05,-23.549742,-70.4604
FAG06,-23.367844,-70.430775
FAG08,-23.334811,-70.425114
FAG10,-23.649094,-70.475567
FAG13,-23.252225,-70.410972
FAG45,-24.214272,-70.547825
GAMBA,-29.833333,-100.0
GAVID,-36.280833,-72.471389
GEBOS,-56.38,-65.733333
GUTIN,-42.406667,-72.8125
HANPI,-26.927467,-111.630536
HORNO,-56.477036,-67.267514
HUILO,-38.892222,-73.0775
ILPEM,-20.962081,-68.385506
IQQ01,-20.506531,-70.179461
IQQ05,-20.439467,-70.175531
IQQ06,-20.470178,-70.139589
IQQ08,-20.389325,-70.172581
IQQ10,-20.535519,-70.22145
