IDENT,LATITUDE,LONGITUDE
AGROD,8.0,12.401111
AMPIL,3.150278,14.170556
ARASI,1.800556,10.2775
ASSAM,8.0,12.915
BIGON,5.643111,10.752528
BILEX,10.068611,13.929167
DELOR,6.5,11.308056
DEREP,3.866111,12.715
DESAM,3.475833,12.696389
EDEBA,3.932778,10.158889
ENUGI,3.835556,10.816667
EPASI,4.806667,11.103889
ERALU,9.3525,13.855278
ERKUT,2.911389,11.014722
ERPUL,1.557778,12.318056
ETNOM,2.4875,10.733056
GUNOS,4.738333,8.930556
ILBAS,4.86,8.616667
INASU,8.0,12.286111
INODO,3.76,10.816667
INOKA,2.286944,14.298333
IPOVO,2.662222,8.626111
KABRI,6.5,11.349722
KEMOX,5.431389,12.095833
KINDA,1.583333,9.711667
KOGAN,4.024444,14.041111
MOPOT,2.604167,9.7825
MOROS,2.806667,15.715278
MOTET,5.146111,13.874444
NAMOR,8.0,14.244444
NARTU,8.0,14.756111
ODROL,4.843333,11.909444
OPDAP,9.506389,13.81
OXILO,9.183333,12.760556
OXIMU,4.943889,15.114722
PITRU,9.574444,13.3225
POTED,10.928333,14.463333
RATOD,10.065833,13.648056
SEMIR,10.689444,14.063333
TAPEK,2.602778,11.951389
TOBAB,4.176667,15.331667
VISNA,8.666667,14.053056
VITLI,4.346389,8.566667
