IDENT,LATITUDE,LONGITUDE
ABLNB,4.783889,-74.7675
ACEDO,1.802878,-75.867031
AIRES,-3.408056,-70.225556
AKNIL,10.3875,-72.954167
AKPEK,7.9875,-75.816389
AKPUT,6.019722,-72.977222
AKSIR,7.780556,-74.534444
ALBAK,-1.186389,-70.104444
ALBEL,5.491389,-76.225278
ALDUR,11.224722,-73.595278
ALEJO,6.034933,-71.710181
ALGUK,12.578889,-74.9625
ALOTE,7.669444,-72.892222
ALSIK,5.042778,-72.731111
AMBIL,10.834444,-77.097778
ANAME,4.114722,-73.948056
ANDIL,10.511389,-73.212222
ANDUR,12.337222,-75.262222
ANKAS,2.445,-76.847778
ANKET,5.127881,-71.947244
ANKIN,4.508056,-76.246944
ANLOP,5.033289,-71.644253
ANPIX,4.603611,-74.303611
ANRON,8.23,-76.468056
ANTRI,5.9975,-75.812222
AQNB,10.871794,-74.796169
ARAZA,1.135075,-76.192794
ARENA,7.550833,-72.834167
ARLEM,5.790647,-76.225339
ARMIR,6.463889,-73.825556
ARMOL,9.602222,-74.523333
AROTI,-3.662778,-70.584444
ARPEN,-2.388611,-72.12
ARSUR,11.534444,-82.236667
ARUXA,-3.466667,-69.793333
ASANO,6.18,-73.835556
ASEPI,5.753056,-79.322222
ASIKO,4.241389,-76.889444
ASKAT,-1.383889,-70.956667
ASODI,5.713056,-77.0725
ASTOR,6.846944,-76.685
ATABA,4.491389,-67.818611
ATACA,10.784167,-74.301389
ATAKI,11.037222,-74.86
ATANA,6.000556,-74.830556
ATATU,2.033611,-67.744444
ATEDI,11.548333,-73.554444
ATORU,6.18,-73.586111
AURES,4.211944,-75.913333
BABOR,7.919722,-72.473611
BAGRE,7.6825,-74.749444
BAQ15,10.814519,-74.842492
BAQ26,10.736475,-74.857089
BAQ59,10.870069,-74.793406
BARRA,10.439722,-74.427222
BARZA,5.694722,-75.125
BIBIL,10.668056,-74.112222
BIXOX,11.561111,-81.121389
BOBIC,8.046111,-73.886944
BODAT,-3.881667,-70.054167
BODED,11.782778,-80.835
BOG10,4.691783,-74.143578
BOG35,4.799211,-74.288667
BOG45,4.839583,-74.395983
BOG75,4.757761,-74.234947
BOKUS,8.1975,-76.378611
BOLAR,12.935278,-75.419444
BOLDO,4.516389,-82.913611
BOMAD,6.18,-73.431944
BRACO,1.742222,-69.853056
BUENO,-3.358889,-69.969444
BURPA,3.209722,-77.438056
BUSMO,6.713889,-78.33
BUTAL,7.853611,-75.457222
BUTAN,2.559444,-71.701111
BUTES,11.265,-76.578333
BUTNA,9.736111,-75.167222
BUTRO,7.020833,-74.436389
BUTUM,11.777222,-75.950278
BUXOS,5.166667,-79.666667
CARLO,3.734444,-73.623333
CAUCA,10.154444,-74.531389
CEILA,4.114722,-75.894444
COLON,11.5375,-75.211111
CTG05,10.292075,-75.5046
CTG10,10.38415,-75.502975
DABAX,1.046667,-74.131944
DADIL,-2.418056,-70.583333
DADOR,6.428761,-72.719917
DAGAN,7.985833,-74.069722
DAGUR,4.452778,-75.463333
DAKOP,2.812778,-77.276111
DALOK,-3.861667,-69.958889
DAMIP,7.738056,-74.6275
DELIS,1.079167,-75.350833
DELTA,4.991944,-74.565278
DETOK,10.023056,-76.046667
DIBAM,8.196111,-73.618889
DIKUN,1.130556,-75.339722
DIMIL,8.412778,-73.138611
DIMOL,7.836389,-74.411389
DIPRA,6.613889,-74.546111
DOBLI,1.993611,-74.173611
DOTRO,11.220556,-74.051667
DUBRA,1.355556,-71.944444
EDMOL,13.565,-73.734722
EDOPO,4.029444,-73.0275
EDPES,3.326111,-76.138333
EDRAN,4.9075,-74.680556
EDRES,11.620833,-74.688333
EDVIL,2.840833,-74.219722
EGALA,7.505,-72.499722
EGAPO,15.0,-75.782778
EGEPI,4.239444,-73.668333
EGOBI,1.191944,-78.0475
EGOKU,10.652222,-74.349444
EGOXO,6.215278,-72.123889
EKAMU,-1.921389,-73.1175
EKARA,4.144722,-75.496667
EKATI,10.0,-75.877222
ELABU,4.331667,-73.523889
ELENA,4.682778,-74.053333
ENERI,5.221944,-72.759722
ENPUT,8.206389,-72.373611
ENSOL,1.330556,-78.686111
ERICK,4.849444,-73.8725
ERIKO,14.166944,-74.150278
ESARO,2.865,-76.128056
