IDENT,LATITUDE,LONGITUDE
ANSON,10.707333,-82.635917
BUFEO,9.816528,-82.570639
CACHI,9.82,-83.756667
CANAS,10.163333,-84.625
CARBA,9.920492,-84.392647
CHANG,10.761611,-85.545458
CHILE,11.060194,-84.555972
CLARA,9.975444,-83.723917
ELENA,10.866389,-85.889167
FINCA,9.605,-83.905
INDIO,10.426753,-85.547239
ISEBA,9.541278,-82.869861
LIB03,10.573192,-85.592472
LIB05,10.559194,-85.623217
LIB10,10.524186,-85.700067
LIB26,10.580422,-85.715008
LIB30,10.612775,-85.499183
LIB42,10.516322,-85.696153
LIB48,10.532242,-85.703561
LIB50,10.625164,-85.467736
LIB68,10.656128,-85.389108
LIB88,10.599186,-85.377189
LOPEZ,9.858186,-84.549947
MONTE,9.954269,-84.313519
PADUR,9.978611,-82.5975
PARZA,9.824289,-84.626531
PELDA,9.032222,-84.562389
POXON,8.548611,-82.831667
PULGO,7.967972,-83.899889
R1514,9.989,-84.221858
RADON,10.702667,-84.068556
SELAK,9.433278,-85.211111
SEQUE,10.525242,-85.392147
TIGIR,8.454611,-84.914889
TIGRE,10.4865,-83.810611
TIO01,9.9773,-84.251781
TIO23,9.875242,-84.36485
TIO68,10.009125,-84.173664
TOMAS,9.8895,-84.47165
ULARA,8.751111,-84.109917
UPALA,10.323333,-84.536667
VAROS,10.695619,-85.681014
VILMA,10.748642,-85.611686
