IDENT,LATITUDE,LONGITUDE
AADAM,19.826231,-75.065297
ALGUY,19.896267,-75.26365
AMEVO,22.541667,-85.431667
ANALI,22.695556,-84.218333
ATUVI,20.0,-81.420833
BAIRE,20.900556,-77.468056
BEMOL,19.340556,-77.093333
BENDE,19.8293,-75.195472
BOBGE,19.886211,-75.306567
BYGON,20.533333,-73.816667
CANEY,20.553889,-77.533056
CAPTN,19.745,-75.316667
CASIL,21.155556,-79.999722
CATKO,19.833733,-75.1823
CLARA,22.480833,-79.993333
CUBMA,19.785836,-75.306567
DANYL,19.705,-75.066667
DEBOR,20.203889,-80.949722
DESME,19.759414,-75.104775
DEYED,19.718142,-75.15625
DUTAN,22.671667,-82.226111
EASTP,19.905,-73.948333
ECODO,19.716203,-75.163375
EKANE,19.842467,-75.094233
ENAMO,23.562186,-77.359611
ERICC,18.853333,-76.083333
FILAX,19.898197,-75.165581
GAXER,20.0,-79.158333
GELOG,18.561667,-75.178333
GONIS,20.0,-78.936389
HAPAS,19.892619,-75.145197
HELUX,19.841572,-75.167683
HIRBI,19.900489,-75.211322
IBSEN,20.515556,-80.238056
IMELA,23.420556,-78.184167
ISABE,22.783889,-80.116389
JUCRO,21.158889,-78.599722
KATAL,20.0,-79.638333
LESOM,20.0,-80.124444
LITGU,21.898889,-84.913611
LUCIA,21.032222,-77.341389
MATOS,19.489722,-77.473889
NIKEL,20.437222,-77.533056
NUKAN,21.492778,-85.738056
OVALU,20.850556,-74.113056
PABEL,20.453333,-83.951667
PERLA,21.580556,-80.833056
PIGBO,21.313611,-79.129444
PISIS,20.211111,-82.931944
PULKA,19.272858,-76.960286
PUTUL,19.976111,-78.293333
R3134,19.906783,-75.218703
R3135,19.906353,-75.195414
REINA,20.738889,-78.524722
SOUTP,19.586667,-75.126667
TANIA,24.030094,-79.528333
TERSA,21.157222,-77.258056
TIBEN,20.080556,-81.570556
TOTON,19.540556,-77.567222
TULEV,20.0,-81.55
USBUV,20.481389,-82.290556
VINKA,23.200556,-84.8
WIPAM,19.893925,-75.213836
