IDENT,LATITUDE,LONGITUDE
AGTIL,13.898333,-24.342778
AMDOL,14.353333,-26.358333
BORTA,13.920556,-20.729167
BOTNO,13.5,-23.241667
BULVO,14.041111,-24.503333
DENER,15.464386,-25.69225
EDIPA,16.131275,-26.266703
EVKAS,17.800833,-26.021111
GAMBA,18.953333,-26.06
IREDO,17.718333,-24.303333
KENOX,14.81,-28.491667
KESIK,18.157778,-24.920278
LININ,18.151389,-24.756667
MOGSA,14.688333,-20.211389
MOPAC,18.122222,-24.047222
NEMDO,18.098339,-23.531661
ORABI,15.938333,-21.87
PINPO,17.651389,-21.935556
PISPU,17.888889,-22.248056
POLMO,16.274722,-21.642778
POMAT,13.876667,-24.596667
RAMOL,15.861667,-21.768333
SONVA,14.836658,-22.077192
UGAMA,16.286667,-21.67
ULTEM,21.493333,-29.801667
VONTO,14.467222,-22.192778
