IDENT,LATITUDE,LONGITUDE
AKR03,34.583742,33.023153
AKR04,34.512253,33.212286
AKR08,34.590658,33.123739
AKR09,34.494528,33.20425
AKR10,34.491056,33.202419
AKR11,34.536189,33.188961
AKR12,34.362808,32.944883
AKR13,34.458094,33.180317
AKR14,34.601311,32.946206
AKR15,34.600972,32.9475
AKR18,34.396119,32.947639
AKR31,34.526811,33.217353
AKR59,34.564842,33.082647
AKR60,34.564311,33.084608
AKR65,34.562206,33.092375
AKR81,34.59485,33.184092
AKR90,34.563794,33.224536
ALSUS,35.035,34.656667
APLON,33.866667,32.066667
ASPIS,33.480625,32.227942
BALMA,34.483333,35.05
BOSIS,34.623333,33.74
DAROS,35.011667,33.148333
DASNI,35.616667,30.85
DESPO,34.448333,34.381667
DIPOS,34.756667,32.803333
EMEDA,34.48,33.803333
EPONT,34.416667,33.533333
ERIMO,33.123956,32.921014
EVORA,33.4,30.95
GIPAS,33.692294,31.810708
ILC04,34.927275,33.689161
ILC05,34.938986,33.703608
ILC08,34.973961,33.747147
ILC50,34.886278,33.638628
KAROL,32.866667,32.483333
KOSEG,34.1423,30.906239
KUKLA,34.245,34.746667
LAKTO,32.633333,32.083333
LCA03,34.908267,33.668569
LCA05,34.811794,33.556558
LCA07,34.793119,33.521981
LCA09,34.78875,33.776564
LCA11,34.886289,33.640778
LCA12,34.860336,33.609286
LCA20,34.766936,33.565733
LCA21,34.770033,33.810075
LCA22,34.786797,33.511358
LCA24,34.979031,33.754656
LCA26,34.879611,33.382636
LCA33,34.837439,33.582631
LCA40,34.909481,33.667042
LCA41,34.869297,33.614703
LCA42,34.904128,33.658431
LCA52,34.939833,33.741825
LCA53,34.93815,33.743225
LCA54,34.954594,33.778625
LCA56,34.941208,33.703006
LCA61,34.803378,33.535289
LCA62,34.922181,33.754167
LCA63,34.920322,33.755189
LCA66,34.958286,33.722383
LCA70,34.777108,33.544344
LCANB,34.821667,33.555
LEDRA,33.2,33.05
LOSOS,34.71,33.37
LUBES,34.92,32.743333
MAROS,34.616667,30.883333
MERVA,32.782778,34.544167
NIKAS,35.193333,35.716667
NORDI,34.796667,33.088333
PAPOX,34.678819,31.900758
PASOS,32.216667,33.1
PEDER,35.178056,30.864722
R1831,34.882058,33.6341
R1832,34.5866,33.002031
RASDA,33.1,30.95
REXAL,34.723333,33.895
RUBIK,34.903333,33.081667
RUDER,34.953333,34.125
SILKO,33.861667,34.583333
SOBOS,34.925,33.945
SOLAB,34.961667,33.321667
TIROS,33.3,34.316667
TOBAL,34.925,32.123333
VELOX,33.816667,34.083333
WPONT,34.4,31.95
