IDENT,LATITUDE,LONGITUDE
ABRAX,49.697703,15.894883
ADISU,48.935053,16.548667
AGNAV,49.567917,12.614503
AMTEK,50.003358,17.956975
ANAKO,50.159631,17.110258
ARTUP,50.685236,14.905103
ASTEL,50.86445,14.860456
BABUS,48.980314,17.301253
BADUG,49.966647,12.741803
BALTU,50.089461,13.326522
BAVIN,49.945033,14.728264
BEKVI,50.073356,14.722358
BELUX,49.377769,16.1827
BITSI,49.308278,16.236314
BODAL,49.464108,15.782703
BUDEX,48.948328,14.336028
BULEK,50.413239,15.065306
CERNO,49.2725,13.236667
DEKOV,50.897353,14.216386
DESEN,50.270103,17.51695
DEVIN,49.968264,14.789347
DITIS,48.898022,15.116358
DOBEN,49.773339,13.561542
DOBIL,50.038689,15.937392
DOKEL,50.627611,14.822389
DOMAL,49.094556,13.428647
DONAD,50.080814,13.0
DOPOV,50.080814,13.125111
ELMEK,49.9039,14.029875
ELPON,49.925011,14.617303
ESETO,49.229944,17.718278
ETATU,50.334669,14.599903
ETVIS,49.653828,12.817447
GAVLI,50.506167,13.138242
GINAT,48.938294,17.115094
GOLOP,50.585761,14.495731
GOPSI,50.566306,13.569061
GOSEK,49.617014,14.101172
GUBKO,50.159881,17.592547
HDO10,50.918056,14.646667
HDO39,50.280225,14.602161
IVOLI,49.0006,16.457883
KADNO,50.253892,13.944383
KENOK,49.857225,14.759444
KOLAD,49.361111,13.088617
KOMUR,50.56235,14.581639
KONAR,50.445139,13.065578
KOPIT,50.188208,15.157953
LABUK,49.498525,17.410789
LAGAR,50.795275,15.367089
LALES,48.865172,17.709514
LEDVA,48.728789,16.789194
LEMBI,50.550794,14.881281
LETKO,49.716661,13.235706
LETNA,50.092025,14.422178
LIKSA,49.152767,16.014758
LOKVU,48.874717,15.834997
LOMKI,48.874717,13.241222
LUKIN,49.198772,15.879264
LUMOT,49.711186,17.861228
LUPEV,49.009728,14.560008
MAKAL,49.246008,18.165717
MEDOV,49.84645,13.389919
MIKOV,48.784744,16.621003
MORKO,49.219117,17.026336
NAVTI,48.769611,16.205058
NEKIN,50.358503,13.020444
NELPA,49.281406,14.956169
NEPOV,49.624667,14.080958
NOVUM,49.572781,16.073336
ODLIV,50.670386,14.464558
OKL19,49.909919,14.646603
OKL31,50.067394,14.329392
OKL80,50.165922,14.44165
OKL94,50.175153,14.4733
OPAVO,49.905531,17.776028
OSNEK,49.513194,15.638006
PADKA,49.933883,18.283269
PEMUR,50.054669,15.538236
PEPIK,48.768056,17.067778
PG002,50.072014,14.318319
PG018,49.909244,14.645483
PG041,50.006189,14.453472
PG074,50.017175,14.429006
PG080,50.017,14.4321
PG085,50.005986,14.451386
PG117,49.973442,14.516936
PISAM,48.892911,15.387125
PIVES,49.921244,15.146594
PR072,50.1643,14.440172
PR087,50.174194,14.474211
R1753,50.11595,14.273367
R1754,50.090467,14.281672
RASAN,51.013753,15.094667
RASIM,50.119431,14.665589
RAVKU,50.766814,14.428853
REVMA,49.484722,18.7
RISUK,50.236392,14.768114
ROKEM,49.525289,13.694744
ROMIS,49.127114,18.11095
SOPAV,49.930922,18.052378
TABEM,49.243314,15.221472
TIPRU,49.841603,14.788028
TIVAP,48.729097,14.393953
TUSIN,49.847494,18.572836
UPEGU,49.034914,14.476483
VADOV,49.129803,13.973042
VALPI,49.024722,17.950231
VAMBO,50.017075,16.430028
VENOX,50.554986,14.133992
VEXIL,50.392308,12.633511
VOZ40,50.178739,14.6236
ABUDO,48.996525,14.240086
ADADO,50.209481,17.747931
AKEVA,49.954878,14.043775
ANEXO,49.86265,15.066628
ARMOV,50.180767,13.2807
ARNUM,50.209586,17.109944
ARVEG,49.998992,14.683958
BAGRU,50.431839,14.337092
BAROX,49.948547,13.72085
BAVOK,50.002778,18.195278
BAVRI,49.015675,13.512797
BAXEV,49.873244,17.441492
BEKTO,49.965822,12.712044
BEPAS,48.898414,13.509658
BILNA,49.393553,18.4473
BOGTU,49.867942,18.165411
BOLMU,48.985786,16.955789
BUKAP,49.123517,17.010047
DIKVA,50.210128,13.427856
DIVUK,50.428361,15.34415
DIXEP,49.773339,13.561542
EKMES,49.978069,13.495311
EKMIT,49.723233,18.377953
EKNEV,49.76125,15.304411
EKROT,50.062778,14.886944
ELVOT,50.611725,16.409208
ENITA,49.702136,12.473886
ENORU,50.340239,16.370231
ERASU,50.268753,14.478142
ERUSO,50.185853,15.271108
ESINU,50.228917,13.687233
EVEMI,50.277461,14.109411
EVIKU,49.669597,16.681553
GIMBO,48.725364,14.775831
GIVIP,49.091081,16.516578
GOLIN,50.059314,14.984964
GOTRU,48.728578,14.454608
GUDON,50.909722,14.856667
IPRUX,49.495378,13.223319
KILNU,50.476856,12.911658
KUVIX,50.105531,13.933742
LALUK,50.804408,13.880214
LANUX,48.888106,15.615789
LULAR,49.365861,12.758953
MAREM,50.715467,13.628831
MAVOR,48.821394,17.537503
MORUV,49.529744,18.065142
NAPAG,49.186208,17.553422
NAVEK,50.287092,12.964581
NEPUX,49.538178,13.609839
NETIR,49.694664,18.708997
NEVUS,50.207203,15.811983
NIMUL,50.193914,14.975
NIRGO,49.330944,13.132219
ODEKU,50.087425,17.296719
ODERA,50.900278,14.984167
ODNEM,48.8532,17.167844
ODOMO,49.937283,12.344
ODPAL,50.517131,13.774389
ODRAN,49.661894,17.870247
ODUKO,49.385189,15.878939
OMELO,50.837914,14.000758
ORLIX,49.994958,16.292722
PEMEL,49.570333,13.344825
PIMEK,49.684919,15.747786
POLOM,49.510419,17.817411
RAPET,50.190489,12.338639
RATEV,50.117589,14.586847
REGLI,50.030278,17.995556
RIBSI,49.953767,17.66175
RODUX,50.942717,14.617183
ROGAD,49.176161,16.402261
ROTVA,50.293531,12.582131
ROVSO,49.175947,16.355006
ROXUL,49.418039,13.842778
RUDAP,49.241258,13.265586
SOMIS,50.144044,13.954217
SOPGA,50.177008,12.718786
SUKAV,49.679286,15.569581
SULOV,50.295628,14.568292
SUPIL,50.373247,12.813511
TESPU,49.086378,15.98785
TIVDA,49.435983,12.656547
TOMTI,50.953056,15.293333
TUMKA,49.407894,15.947267
USUPA,49.520544,15.128769
UTEVO,50.209928,17.511914
UTORO,50.276642,14.551158
UVSUS,50.155956,16.918558
VAKLA,49.024639,17.950231
VARIK,50.291111,12.381111
VEMUT,49.810744,12.461247
VESUB,49.419258,12.997417
