IDENT,LATITUDE,LONGITUDE
06TRA,47.733333,8.283333
ABABI,48.538572,12.9478
ABAMI,51.42495,7.280597
ABANO,54.129158,9.5
ABASO,53.976061,11.433953
ABAXA,50.764667,7.385833
ABERU,50.069194,12.093719
ABGAN,48.958167,8.917153
ABGAS,48.593667,10.391667
ABGUS,51.867058,11.053433
ABIKA,53.124275,13.787119
ABILU,51.410133,7.954228
ABISI,48.920508,12.770431
ABITO,51.010667,10.763047
ABKIS,50.629694,13.057186
ABLOX,51.380789,14.520047
ABMAL,53.442064,10.911981
ABODU,51.511389,6.4625
ABTAL,48.854636,10.107061
ABUKA,49.465414,8.679064
ABUMO,50.141667,8.923333
ACAYU,50.044503,8.2981
ADAMS,49.798167,11.933333
ADEMI,51.482644,7.888581
ADENU,50.025447,6.908233
ADEPO,53.625236,13.925317
ADIBA,50.551675,10.387861
ADLIR,52.400319,13.622039
ADMOS,51.723889,10.836944
ADUKI,54.325433,13.360225
AGATI,52.911675,10.028967
AGENI,50.75,6.033333
AGIKO,49.592939,11.319397
AGISU,53.881667,6.5
AKANU,49.050833,10.6581
AKIGO,50.305439,7.019681
AKIMA,48.413161,13.310414
AKINI,48.749722,12.124167
AKONI,49.746794,9.187542
AKOSI,49.707856,12.086125
AKUDI,51.567014,13.656839
AKUXO,50.871389,6.074444
ALAGO,47.799728,9.462786
ALASA,54.808611,9.961667
ALAXA,49.754425,10.829244
ALB99,49.214372,11.221436
ALEDA,51.395797,7.970389
ALEXU,51.110933,8.977228
ALF05,53.523925,9.765758
ALF07,53.641475,10.01075
ALF08,53.626686,9.980947
ALF09,53.732506,10.196975
ALF10,53.788589,9.859694
ALF18,53.660522,9.967597
ALF19,53.661575,9.969942
ALF29,53.577011,9.875508
ALF54,53.715172,9.924811
ALF55,53.575847,9.874922
ALF56,53.575839,9.877172
ALG01,47.9777,10.2128
ALG33,47.958339,10.163042
ALG84,47.876119,10.107631
ALG89,48.011278,10.449542
ALIBU,50.377322,10.230344
ALIDI,50.721683,8.657825
ALONU,48.293889,12.027778
ALOPO,50.280278,11.768056
ALOSI,51.588969,10.359472
ALOSO,50.707553,11.70175
AMADI,48.091389,12.913889
AMALI,52.479733,10.406492
AMASI,50.240281,7.606128
AMDID,48.097183,12.397031
AMEMI,47.894728,10.1672
AMETU,50.832992,8.964322
AMEXO,48.101667,10.803333
AMGAS,47.735839,11.250544
AMICH,54.205536,11.153711
AMISO,53.932775,11.573806
