IDENT,LATITUDE,LONGITUDE
DTI01,11.5477,43.1361
DTI03,11.547197,43.14445
DTI06,11.546939,43.185861
DTI07,11.546783,43.187628
DTI10,11.543947,43.268347
DTI11,11.544081,43.263256
DTI12,11.364261,43.174719
DTI13,11.665842,42.972386
DTI14,11.542731,43.314169
DTI25,11.379122,43.325411
DTI26,11.743278,43.192089
DTI27,11.576103,42.926064
DTI29,11.59145,42.982939
DTI30,11.609736,42.992178
DTI39,11.466039,42.945803
DTI50,11.546311,43.178394
DTI55,11.705503,43.334356
DTI62,11.529517,42.924853
DTI70,11.551561,42.974725
DTI71,11.572278,43.174936
DTI72,11.61025,43.305208
DTI79,11.560875,43.177497
DTI80,11.5806,43.311853
DTI81,11.585519,43.379733
DTI84,11.5707,43.381297
DTI90,11.540917,43.382058
DTI96,11.511222,43.379656
DTI99,11.496506,43.377278
OKMER,11.545833,43.2305
R2520,11.547158,43.171817
TORBA,12.178506,44.035678
UNBAD,11.549444,43.009167
