IDENT,LATITUDE,LONGITUDE
ABINO,55.968333,9.994444
ADVOP,56.120517,12.1173
AE002,57.092889,9.812178
AE004,57.089406,9.751386
AE008,57.082353,9.629897
AE009,57.080572,9.599531
AE010,57.078783,9.569158
AE227,57.038253,9.587325
AH101,56.323161,10.420847
AH102,56.334317,10.307844
AH103,56.312883,10.523953
AH281,56.283172,10.817028
AH282,56.271544,10.929722
AH283,56.293697,10.714081
ALINI,56.416575,10.281758
AMADA,55.0,6.35
AMINO,57.072222,9.5075
AMRAK,54.824444,9.750556
AMRAM,55.943611,6.634167
AMSUR,56.100556,12.563889
AMTOT,56.040556,12.180278
ARDEK,56.269692,10.930103
ASBIL,55.371944,9.993889
ATTUS,54.899722,8.782778
BADUT,56.34345,11.006164
BAGOS,54.572778,11.27
BAMOR,54.446111,11.841389
BAMPI,55.842906,8.269622
BISTA,55.203383,12.12305
BOLVO,55.304444,8.088333
BUSOM,55.941944,5.394722
CAREA,55.223333,12.487778
CH002,55.569031,12.568044
CH093,55.477356,12.427594
CH205,55.58785,12.597061
CH250,55.531375,12.510242
CH361,55.745539,12.854439
CH362,55.682008,12.983656
CH363,55.577508,12.849728
CH364,55.525906,12.783925
CH365,55.498136,12.748603
CH366,55.396047,12.619289
CH368,55.780906,12.719514
CH369,55.830342,12.735064
CH370,55.879733,12.750642
CH371,55.878161,12.106708
CH377,55.423914,12.392447
CH381,55.368347,12.531583
CH382,55.409856,12.878894
CH383,55.429122,13.043225
CH384,55.593311,11.909992
CH385,55.590278,11.997694
CH386,55.662708,12.108242
DEMIR,54.836389,9.852778
DESOM,56.189153,10.954317
DETNA,57.587611,11.069056
DETOP,55.244722,5.0
DISGO,55.151583,12.733556
DOBEL,55.606111,11.39
EVAKI,56.239444,7.481111
EVBAS,56.145556,12.477778
FLUTE,54.897222,8.855556
GARKA,55.776389,5.427778
GESKA,54.6175,11.9325
GIMRU,54.56,11.313611
GINUB,56.261983,10.232742
GIPIN,56.334722,10.312222
GITER,54.644444,11.0
GOBOT,54.622778,11.086111
GOLMI,55.777222,12.516389
GOLUM,55.45,5.283333
GOREV,56.053333,5.0
GOTEX,57.204922,11.272878
GREFI,55.0,5.858889
IBEKO,56.256164,11.077236
IBREK,56.391667,12.232222
INBOB,55.606944,5.0
INTAR,55.384722,13.006389
INTET,56.226389,9.411389
INVOL,57.654444,11.221389
KA138,56.198147,9.394006
KAR09,56.297233,9.074397
KAR26,56.291944,8.560017
KAR27,56.295572,8.888967
KAR29,56.366933,8.737219
KAR50,56.297892,9.158147
KAR77,56.298472,9.238906
KAR95,56.401839,8.601158
KAS17,55.336153,12.396111
KAS22,55.848683,12.818047
KAS24,55.844486,12.833925
KELOM,55.834167,11.168611
KEMEG,56.720833,8.8725
KESUR,54.840556,9.8875
KETAL,55.268056,11.366111
KLK05,55.616744,12.641575
KLK50,55.673206,12.728672
KLK93,55.726989,12.812164
KOKAK,55.491389,12.715
KOKOR,54.461389,11.69
KOPEX,54.970381,11.467689
KOPIM,56.133889,12.498333
KOR06,55.361389,11.510556
KOR07,55.408056,11.439444
KOSEB,54.78,12.597778
KOSMO,55.015278,12.730278
KOTAK,58.036111,9.530278
KR005,56.29715,9.135778
KR020,56.297283,9.180678
KR063,56.297364,9.309317
KR073,56.297361,9.339231
KUGAL,55.0,7.620556
KULUD,56.260556,12.333056
LAGUM,57.455556,9.268333
LANGO,54.945631,10.856308
LEBDA,55.373611,12.628611
LESRA,55.385556,5.0
LILBI,55.253056,12.682778
LOBBI,57.318056,11.498056
LUGAS,55.329722,10.963056
LUPUR,54.991111,12.050833
LUTIR,55.064167,8.416111
LUTUS,56.100833,9.994444
MADAG,56.380556,12.013611
MAKEL,54.449444,11.800278
MAKUR,57.429722,11.406944
MARIP,54.723056,11.420833
MATEK,55.016389,12.800833
MAXEL,55.209167,11.9025
MEDEL,54.8325,9.235
MIC63,55.206944,11.915278
MIKRO,55.415081,8.166389
MIKSI,56.202747,11.590733
MIMDA,55.749444,8.098611
MIRGO,56.035697,11.998025
MISBI,55.898611,12.6725
ML030,56.310569,10.548211
ML060,56.319589,10.45955
ML090,56.328611,10.37095
MOLUD,56.344444,12.268611
MONAK,54.945556,12.313611
MOSAT,55.041944,12.788056
MOSIN,55.552778,12.798056
NAMIK,56.381389,5.440833
NARBA,55.853333,8.113889
NAROL,56.005833,12.225
NAVIK,55.863056,7.969722
NIKDA,54.608611,12.285556
NISEM,55.658056,9.915556
NORTI,56.524444,11.625556
NOVPO,56.106667,12.241111
NUGLO,55.875278,7.781111
ODARU,55.095833,12.761389
ODN25,55.552778,11.396111
OXS05,55.685872,12.761008
OXS50,55.629586,12.673744
OXS93,55.739647,12.844547
PETIL,55.938889,5.0
R1833,56.305492,10.597567
R1834,56.301158,10.640511
R2507,57.093714,9.833381
R2508,57.096511,9.876875
R3156,56.297458,9.124628
R3162,55.5922,12.603536
R3163,55.612478,12.634892
R3164,55.625411,12.667581
RADIS,56.541667,9.995
RAMUD,57.057222,7.607222
RIDSI,55.591667,9.994167
RIKSU,56.298289,9.449503
ROBUS,55.109444,11.719722
ROKAM,56.316944,12.183333
ROSBI,55.849444,10.931944
RUDOV,56.348775,10.159731
SKR01,55.224508,9.245119
SKR02,55.236981,9.157525
SKR04,55.244994,9.100969
SKR09,55.189925,9.466842
SKR10,55.154808,9.691119
SKR11,55.346314,8.968072
SKR12,55.259681,9.5593
SKR17,55.41025,8.833025
SKR25,55.217289,9.289944
SKR28,55.296453,8.732808
SKR82,55.2722,9.703306
SONAS,55.311556,11.586486
SOPTO,55.305556,5.0
SORGA,55.981475,11.814047
SUP31,55.230833,12.627778
TALSA,55.106944,9.686389
TEKVO,57.0,7.34
TESPI,55.898333,10.531111
TINAC,56.250833,5.0
TISKA,56.143056,11.917222
TNO02,55.784444,11.369722
TOBIS,55.252356,11.676281
TOBMI,56.26,12.061667
TUDLO,55.275833,10.647778
TUGSU,57.948611,9.351389
TUKTU,56.2675,10.975556
VADIN,57.137778,11.643889
VAXIT,56.5375,5.0
VEDAR,56.531667,12.123611
VES12,55.602778,8.655556
VES13,55.676631,8.659814
VES15,55.545278,8.741667
VES30,55.489444,9.156944
VES46,55.596111,9.641944
VES47,55.881667,9.579722
ABKAS,55.596667,8.135
ABLEV,54.983333,8.866667
ADIKU,55.347222,4.299722
ADSEN,56.144689,10.883958
ADUNU,55.0,5.204722
ALASA,54.808611,9.961667
AMSEV,57.675278,8.802222
ANESI,55.462778,7.0
ARBAG,55.788333,6.0
ARNEX,55.955,5.0
ARTOR,58.334444,10.148889
ASKEG,55.552778,11.396111
ASKEK,55.790556,3.992778
ASLID,56.346358,11.343894
ASMUS,55.083333,8.658611
ASVAN,56.0,11.933333
ATNAK,57.0,5.0
BAKOG,56.083056,8.238889
BAVIL,55.5775,8.496667
BAVTA,55.603056,8.3
BEBUL,55.812875,9.255936
BEDRO,55.597778,6.0
BEGAK,55.0,7.370278
BELAP,55.485,3.996111
BELUV,55.461389,4.549722
BETUD,55.007244,12.522436
BINRO,58.160556,9.786111
DANKO,57.0,6.697778
DANOR,56.201944,3.645278
DANUM,55.0,5.281389
DAVAL,55.470556,5.467778
DIKAT,55.211111,4.575556
DOREV,55.533333,7.583333
DOROR,55.0,7.155
DOSUR,54.858611,9.194167
EBAVA,54.716667,10.7
EBUSA,55.0,5.9025
EKMOL,55.084167,7.578611
ELMIG,55.635833,8.145833
ELVAV,57.966111,10.959722
EPILO,55.827822,8.412281
ERGAT,56.060278,9.305
ERITO,55.808611,8.12
ETVOK,57.05,9.6
EVBED,55.230833,12.627778
EVKAN,55.0,7.628889
EVSES,57.374783,9.63315
GEGDA,55.773333,4.173889
GELTI,54.790583,10.0
GIDLA,54.983333,8.916667
GIGUT,55.928889,9.804167
GIKIV,56.065556,9.118889
GODOG,56.2675,10.975556
GOLGA,56.333072,11.69505
GOMLA,55.579722,4.758889
GOVRA,55.07,5.0
GURLI,58.424444,10.566111
