IDENT,LATITUDE,LONGITUDE
ADRIT,18.623333,-69.214444
ALEVI,18.158611,-68.820556
APGET,19.250833,-68.711944
ASIVO,19.96,-69.6925
AVASO,19.862856,-71.594622
AVRES,17.601083,-69.574972
BEMEL,19.881936,-70.880169
BENIS,18.638233,-70.955944
BEPAL,19.023153,-71.351017
BEREL,18.828333,-68.873056
BEROX,16.0,-70.066667
BESAS,20.336667,-70.341667
BETIR,19.343086,-68.604575
BETUM,18.992778,-69.015
BIBAS,19.230278,-70.436111
BIBOK,18.756389,-69.291389
BOKLO,18.522828,-69.547544
BONUR,18.135772,-69.131297
BORAS,19.410833,-70.167222
CDO01,18.648828,-69.695136
CDO05,18.524125,-69.702122
CDO06,18.534869,-69.711578
CDO16,18.229847,-69.585753
CDO18,18.215714,-69.655417
CDO23,18.395292,-69.658947
CDO58,18.64645,-69.710867
CDO61,18.3331,-69.645108
CDO62,18.464381,-69.679322
CDO80,18.4502,-69.6779
DARSI,18.1775,-68.558611
DAT02,18.475486,-69.685917
DAT04,18.507019,-69.697661
DATRU,18.538125,-69.70925
DATUN,19.932181,-71.012422
DELPO,17.606667,-69.804167
DULPI,18.462731,-69.122464
DULSI,17.010572,-69.510133
DUNGO,17.948522,-68.795547
DUPEL,17.749908,-68.442339
DUTAV,19.170589,-71.334422
EBLIP,17.987222,-69.741389
EMULU,18.623558,-69.666536
EPTES,18.477222,-70.394167
GABIM,18.586442,-69.489175
GABOK,18.790272,-69.251767
GABRA,17.854297,-70.299364
ILAMO,17.798333,-68.527778
IMEDO,17.3,-69.150778
ITROP,19.816667,-69.69
JUELE,20.417639,-71.118508
KANAM,18.129722,-70.483611
KARIB,17.666422,-69.316994
KARUM,16.0,-69.4
KASOS,17.005556,-71.215
KATIN,16.912222,-71.314722
KATKO,18.461389,-68.791111
KEBAL,18.542358,-70.481536
KEPTI,18.578825,-69.798844
KERSO,19.050764,-69.697583
KERVA,18.321594,-69.628906
KESVI,17.181944,-71.483056
KINUM,17.191308,-69.286022
KIREL,19.187397,-68.972653
KIVED,18.033056,-70.446389
KOBET,19.458333,-69.717778
KOD11,18.795367,-69.931981
KOD12,18.5549,-69.680544
KODIX,19.136667,-70.1425
LECKY,18.225,-69.895278
LETIR,18.460664,-69.606081
LRN26,18.397811,-69.1138
LRN88,18.501719,-69.116242
MAREV,16.644444,-69.962167
MDS02,18.383819,-69.651942
MDS04,18.352272,-69.640278
MEDIB,17.826389,-69.528056
MENGO,18.281764,-69.831122
MIROX,18.237408,-68.815472
MOGAN,18.037142,-70.398089
NABEN,18.863333,-71.730278
NABUL,18.222819,-69.608414
NEGON,16.621667,-68.0
OBITA,19.022283,-68.513322
OKOSO,18.323056,-70.5475
ONPAD,19.606667,-71.74
OSIDU,19.428611,-71.681944
OTVOG,18.280806,-69.539489
PELSO,19.816653,-69.971264
PETRI,19.268333,-69.708333
PIGBI,17.553333,-71.715556
PIPUT,18.56795,-69.084347
PIRAL,19.438781,-70.024903
PIRER,18.436417,-69.491558
PIRON,18.097972,-69.629994
PISAB,19.274722,-70.390556
PISOR,19.345556,-70.288611
PISOS,20.087336,-70.163697
PITAL,17.415894,-71.4064
PITEX,18.403611,-71.1075
PITOX,18.586944,-69.736111
PIVAN,19.95225,-70.628936
PIVAR,18.444628,-69.262356
PIVEL,19.811367,-70.365644
PIXAR,19.141667,-68.840278
PIXES,19.524722,-69.903333
PIXIM,19.683969,-70.3739
PIXOK,19.203092,-70.697683
POBEP,18.188028,-68.410728
POBEX,18.334722,-69.240556
POBIN,19.395,-70.957222
POBIR,18.6687,-69.180986
POBON,18.890833,-68.990833
PODAK,19.275278,-70.795278
PODIS,18.271389,-69.621944
PODOS,18.447142,-69.122672
PODUL,18.651922,-68.890408
POKAK,16.0,-68.566667
POKEG,20.175,-70.055
POKIL,19.783536,-70.467525
POLUX,18.063408,-70.071636
PTA07,19.843906,-70.378272
PTA09,19.776539,-70.359289
PTA12,19.602022,-70.161353
PTA13,19.473631,-70.248036
PTA15,19.400511,-70.343531
PTA26,19.770419,-70.526175
PTA80,19.762631,-70.5569
R1515,18.443961,-69.674178
R1517,18.415369,-69.663664
RAGUS,17.244231,-70.958714
RESOR,19.546933,-70.795364
REVID,18.203611,-69.774167
REVOT,18.678278,-69.607683
REVUS,18.311675,-69.436978
REXUL,18.657944,-71.245853
RIBES,19.229922,-69.934675
RODBU,17.286933,-70.912772
ROLSU,19.680836,-70.671247
SD110,18.479858,-70.089917
SD112,18.825,-69.850106
SD114,18.495275,-69.203269
