IDENT,LATITUDE,LONGITUDE
ABLOD,31.239444,2.481667
AGREB,31.882778,-0.578333
AMIRA,34.8,6.983889
ANIEB,32.975833,1.5
ARIAM,33.889444,-1.626944
ARZEW,36.033889,-0.208889
ATAFA,26.0,7.071667
ATCHA,29.712222,4.260278
BABOR,36.484444,5.0
BAHRI,36.295278,0.069167
BEREK,33.608056,5.0
BERIA,33.047222,3.919444
BERTI,24.956111,7.184722
BESBA,33.0,0.431111
BISSA,31.511944,5.0
BORMA,31.696667,9.123333
BOURI,37.989167,5.0
BRENA,26.116667,-6.616667
BREZI,33.0,1.1225
BUYAH,38.113056,3.151389
CHLAL,35.666667,4.304167
CIRTA,39.0,7.033333
CITER,33.1275,4.391389
DAFRI,34.499167,8.087222
DAHRA,36.365278,1.5
DAYAT,33.871667,5.0
DOLIS,39.0,5.374722
ERKEL,20.966667,7.7
ESNAM,36.116111,1.5
FAROS,35.505556,0.307222
GAFLA,29.261944,5.0
GOBET,33.276944,5.0
GOLIB,33.0,0.946389
HINAN,26.0,8.040278
HOGAR,26.0,6.273333
JOKKA,29.25,1.346389
KAHIL,34.057222,4.1075
KAWKA,37.983333,8.316667
KEBRI,31.298611,5.0
KIRLA,37.023056,1.5
KRIMA,33.766667,7.55
KSOUR,28.5,2.636944
LIGUM,35.833333,-2.0
LIMON,37.071111,3.899444
LOUHA,32.845833,2.844444
MAHDI,34.651667,5.0
MELOG,23.508889,7.338889
MEZAB,31.580278,1.5
MOKAT,20.933333,1.166667
MOUNA,30.355556,1.5
NADJI,34.8,6.701389
NAGAH,28.093889,8.590833
NIFEL,30.031667,3.733889
OTARO,39.0,4.685
OUCIF,27.757778,5.0
OUREL,26.0,8.299722
PAGRE,37.71,5.0
PECES,38.480278,3.949722
RADJA,34.8,7.135556
RAHIL,28.5,1.479167
RAMAD,21.731111,3.569444
REMLI,28.279444,-4.258333
REQIN,39.0,6.25
RIAME,29.863611,1.5
RIKIF,30.318333,5.0
RIMEL,31.759167,7.727778
ROANE,33.936944,5.920278
ROFER,23.473889,1.674722
RTILA,26.0,9.548333
SAKET,38.290278,8.2275
SAKNA,33.505833,1.5
SBITA,25.094167,-5.001111
SEFRA,33.000278,-0.411667
SIHAR,28.5,3.512222
TABAL,29.25,-3.116389
TAGRO,36.202222,5.0
TAJEN,36.383333,5.8525
TARAT,26.0,9.069444
TERAS,20.738611,1.824444
TIDOU,26.0,7.707778
TIFOU,28.5,4.474167
TIHET,26.0,8.879722
TILMA,26.994167,8.843333
TOLGA,34.8,6.652222
ZENAD,34.8,7.630556
ZIBAN,34.8,5.256944
