IDENT,LATITUDE,LONGITUDE
AKPAN,-0.3325,-77.245278
ALDAG,-1.5175,-77.711389
ALGEK,-3.452222,-79.999444
ALGIK,0.380556,-77.668333
AMARI,-0.833333,-80.344444
AMERO,-3.4,-83.766667
AMINO,-0.379167,-77.471389
AMVES,-0.896111,-79.308611
ANBAX,-1.434722,-76.260833
ANDEL,-3.128611,-79.934167
ANGEL,1.416667,-79.171667
ANGES,-0.356944,-87.360833
ANKEB,0.117222,-75.866111
ANRAX,1.416667,-81.216667
ANRUS,-0.926389,-80.328611
ANTIS,-0.8625,-78.251389
ARNAN,-1.276389,-77.810833
ARNEL,-3.4,-81.583333
AROTO,-0.084167,-79.708889
ARPIR,-1.845,-78.005278
ARTAM,-1.030556,-79.471111
ASAPO,-1.149167,-79.231667
ASBEX,-1.754444,-80.861111
ASDEL,-1.213333,-80.478889
ASDUR,-3.461667,-79.945556
ASIGU,-0.906111,-87.91
ASOSI,-2.183333,-80.531111
ATEKI,-1.519444,-77.486944
ATENO,-2.050278,-81.869444
ATOVI,-0.640556,-80.505278
AVILA,-0.581111,-77.4675
BAQUI,0.0525,-77.4375
BIVAN,-1.568889,-79.503611
BIXUT,-1.258333,-80.742222
BOBER,-1.666944,-77.748611
BOKAN,0.808333,-77.881667
BOLUL,-1.376111,-78.348333
BUVAX,0.291111,-77.408333
CAGUA,-3.9576,-78.737725
CANAR,-2.505,-78.867222
CANOA,-2.803333,-79.681389
CARTE,-1.590556,-79.472222
CAYAM,0.016389,-77.860556
CHILA,-0.260278,-79.193056
COC06,-0.536511,-76.948019
COC13,-0.504908,-76.916122
COC33,-0.373722,-77.033719
CUR06,-2.915567,-79.013103
CUV07,-2.816661,-78.801658
DABRU,-1.381111,-76.934722
DADMA,-2.972778,-79.219167
DADUX,-1.199722,-76.973056
DAKAB,-1.500833,-79.640556
DAKOL,-3.116389,-78.735278
DANTO,-1.196483,-78.145778
DIDIL,-0.776389,-75.529722
DIMIN,-0.49,-79.276111
DUBKU,0.615,-77.901111
EKALU,-1.205278,-77.918889
EKEDA,-0.171667,-82.445
ERIZO,-1.1425,-86.662778
EROLI,0.131944,-77.438889
ERVOL,-2.289722,-77.958333
GELAR,-0.804722,-77.504444
GIRON,-3.145833,-79.037222
GUABO,-3.226944,-79.791944
GUARA,-2.640278,-78.645278
GUXAD,-2.892222,-78.587222
GYV04,-2.085694,-79.840461
GYV08,-2.262086,-79.876242
GYV30,-2.108731,-79.930669
GYV35,-2.047781,-79.889903
GYV50,-2.045781,-79.761928
GYV80,-2.012214,-79.800311
ILC05,-2.834253,-78.913753
ILC10,-2.7818,-78.84795
ILC12,-2.762378,-78.821633
ILC25,-2.859919,-78.946656
