IDENT,LATITUDE,LONGITUDE
ANAMA,58.416389,24.478333
ARSAM,59.4475,25.356944
BEKNA,59.527778,24.934722
BIRSI,59.115278,26.0375
DOLAT,58.010556,24.983611
DOPIK,59.437778,26.047222
EESTI,59.831667,24.604722
EKLON,58.506944,25.715278
EKSOT,59.416111,24.415
GEPTA,59.58,25.487222
GONOS,58.9425,25.576944
INTOR,59.827778,25.186667
KEMET,58.7225,24.586944
KENUG,59.414667,25.262
KOLEV,58.726111,26.737778
KUNUX,58.931111,24.661944
KUVOR,59.408833,25.257167
LARKU,59.414444,24.577778
LATEG,57.774167,22.104444
LATKA,58.180278,25.779167
LEMSI,59.013611,22.806111
LOGNA,57.843056,21.660278
LONSA,59.082222,23.834444
LUTAL,57.899444,23.914722
MASIS,58.655833,23.369167
MOLOK,58.115,22.025278
MUSTI,59.751944,24.379722
NAVOT,59.343333,24.414167
NEREN,58.627778,20.771667
NETNA,57.875556,22.789444
NITSO,58.808889,24.97
ODVIN,58.834722,23.025833
OLMON,59.413611,25.099167
ORTAX,58.85,24.322778
OSMUR,59.249167,23.475833
PILET,58.560556,26.278611
PIMEX,58.212778,21.214444
PIRUS,58.329444,27.514722
PIVUN,58.340833,24.904444
R1252,59.413325,24.81015
R1267,59.413192,24.859811
ROSAX,59.476389,23.779444
SORPA,59.616944,24.846944
SULUN,58.971667,24.068611
SUVIX,58.690556,22.593333
TLL03,59.412167,24.936269
TLL05,59.414011,24.793831
TLL07,59.413189,25.069969
TLL09,59.380581,25.257903
TLL10,59.376856,25.256764
TLL18,59.166511,24.745772
TLL21,59.225608,24.512894
TLL23,59.250417,24.556097
TLL25,59.327194,24.141078
TLL30,59.415072,24.712369
TLL32,59.633328,24.614894
TLL34,59.414417,25.262381
TLL42,59.199158,24.75805
TLL44,59.412428,24.708011
TLL53,59.414417,24.414508
TLL55,59.376856,24.420125
TLL56,59.380581,24.418986
TLL64,59.416111,24.600711
TLL65,59.410031,25.066714
TLL73,59.444469,24.419292
TLL74,59.448194,24.420467
TLL75,59.413233,24.600397
TLL77,59.243106,25.103936
TLL87,59.427108,25.490111
TLL92,59.217175,25.14455
TLL95,59.60375,24.644872
TODNA,58.003333,21.5525
TOMPA,58.788611,27.171944
VADAN,59.147222,23.695
VATOS,58.458056,22.495556
