IDENT,LATITUDE,LONGITUDE
ALEBA,22.0,35.45
ALKED,22.364444,31.514444
ALPID,29.398611,31.303056
ALTAT,26.600556,29.771667
ARH02,31.044667,33.852422
ARH08,30.959644,33.914036
ARH14,30.931297,33.934547
ARH15,30.9181,33.904442
ARH16,30.9096,33.872142
ASNIR,32.646944,28.362222
ASRAB,25.790556,33.105278
ATMUL,22.0,29.090833
AVIVA,25.805,30.341389
AXD00,31.170269,29.949006
AXD01,31.174719,29.937103
AXD07,31.101339,29.857625
AXD09,31.076867,29.831158
AXD10,31.039425,29.859283
AXD18,31.036872,29.938175
AXD70,31.070222,29.940878
AXD80,31.043725,29.850442
AXD93,31.026364,29.896894
AXD97,31.029961,29.884017
BOPED,31.494167,29.448611
BOPOS,26.721667,30.122778
BOVAR,24.694444,32.405278
CAI01,30.204061,31.499083
CAI03,30.119756,31.379694
CAI10,30.044456,31.276686
CAI12,30.022928,31.247283
CAI27,30.026389,31.250053
CAI43,30.198161,31.487242
CAI47,30.205672,31.497561
CAI51,30.045472,31.276781
CAI52,30.079672,31.324006
CAI53,30.101047,31.353553
CAI54,30.117061,31.375725
CAI55,30.194617,31.485769
CAI70,30.076736,31.320814
CVO02,30.070811,31.358969
CVO20,29.938394,31.313414
CVO21,29.960511,31.270211
CVO27,29.984761,31.241303
CVO29,30.071606,31.356914
CVO45,30.043931,31.322175
CVO53,30.046183,31.32125
CVO58,30.02995,31.303053
CVO67,30.03135,31.300458
DAMPO,25.785278,29.452222
DANAD,28.851667,28.1025
DANOG,25.228056,33.151389
DASPA,23.022778,37.144722
DATOK,29.606667,34.233333
DAVIX,26.342778,30.151111
DEDLI,22.708889,37.621944
DEGDI,31.241389,31.176389
DELMA,28.511389,34.536667
DEPNO,26.410556,30.236944
DESDO,25.325556,30.509444
EGNAM,26.482222,30.328333
EGORA,31.066944,34.135
EGPAR,26.246667,30.03
ELELI,25.315,33.492778
EMENA,25.630278,31.863056
GESAD,32.944722,28.335
GETOS,25.133611,32.785
GIBAD,25.61,30.635278
GIBAL,24.620278,36.578611
GIDID,28.216667,33.635
HGD03,27.130608,33.815575
HGD05,27.099172,33.828353
HGD08,27.052017,33.847506
HGD10,27.042497,33.906111
HGD11,27.026256,33.875269
HGD12,27.053747,33.837264
HGD13,27.099042,33.824081
HGD14,27.131519,33.814689
HGD15,27.081472,33.900233
HGD16,27.068128,33.882122
HGD72,27.064592,33.8424
IMLAX,25.49,30.451944
IMRAD,26.083333,35.733333
IMRUT,31.549722,29.562778
ISMAH,30.6,32.268333
KAMIS,29.283611,32.601667
KANAR,32.457778,26.891667
KATAB,29.416944,29.085
KATEX,32.116944,28.41
KIL03,27.933069,34.345478
KIL04,27.920581,34.332417
KIL05,27.963678,34.377503
KITOT,29.034722,34.847222
KUNAK,25.4625,30.686667
KUNKI,29.123889,29.330278
LABNA,32.332222,30.27
LOPID,23.316667,31.925
LORAS,25.946944,34.453889
LOSUL,31.683333,25.133333
LUBOS,28.700278,31.218333
LUGAV,22.701389,31.622778
LXR02,25.832656,32.776633
LXR11,25.595122,32.658136
LXR15,25.539006,32.618044
LXR22,25.578114,32.566233
LXR23,25.605286,32.541889
LXR38,25.793542,32.810986
LXR43,25.695128,32.716533
LXR73,25.647022,32.695256
MEMPO,25.421667,33.915833
MENKU,31.091944,30.301667
MENLI,29.783611,31.868333
MILAD,32.033611,31.068333
MISUK,29.085278,29.105833
NABED,27.300278,32.285
NADOL,31.292778,33.683333
NAKDO,26.098333,28.350278
NALSO,29.533333,34.883333
NANVO,30.883333,28.251667
NUBAR,22.0,31.635
ORLEX,22.958889,31.316389
OTIKO,31.5725,29.61
R1836,27.9685,34.382628
R1837,30.119731,31.380244
R1838,30.099689,31.398233
R1839,30.123269,31.429636
R1842,25.683528,32.712214
R2526,30.139092,31.406264
R4146,27.161111,33.806133
RASMI,28.983611,31.751667
SEDVA,23.970556,35.668333
SEMRU,28.033611,32.051667
SHM04,27.968244,34.383106
SHM09,27.886233,34.300064
SHM10,27.863503,34.272783
SHM11,27.826297,34.339181
SHM19,27.825292,34.342611
SHM20,27.840333,34.306747
SHM22,27.861372,34.274925
SHM27,27.838814,34.309931
SHM90,27.887758,34.298114
SILKA,26.566667,35.483333
SISIK,29.6,32.685
SISIM,32.134444,32.140833
SOBAM,26.758056,30.226667
SOBEL,26.866944,34.168333
SOKAL,32.600278,27.618333
SOLAM,29.700278,31.518333
TUDSI,26.687222,30.024444
TULOP,25.37,26.373333
UMINI,23.816944,34.168333
VUTAB,25.446667,30.467222
XIL02,25.711658,32.725261
XIL05,25.757944,32.746678
XIL07,25.6916,32.715986
XIL64,25.779542,32.756678
XIL84,25.785714,32.759533
