IDENT,LATITUDE,LONGITUDE
APDOS,15.676667,41.64
ASM01,15.279003,38.875528
ASM07,15.261247,38.783481
ASM09,15.25445,38.749717
ASM10,15.251047,38.732836
ASM12,15.268514,38.695458
ASM15,15.279917,38.876339
ASM26,15.282944,38.729253
ASM27,15.324328,38.698739
ASM28,15.320644,38.733181
BARKU,16.853333,38.296667
BOPSA,13.2,41.83
DILKA,14.5,39.8
DULAB,18.168333,39.0
EDITO,13.655,42.155
EKBOR,14.418333,40.366667
FARES,14.901667,42.025
FEREB,18.575,37.971667
GEREK,14.055,41.0
IAS02,15.274969,38.861219
IAS04,15.265769,38.827989
IAS07,15.251961,38.778161
IAS09,15.242761,38.744989
IAS12,15.228961,38.695131
IBRAD,13.431667,42.0
IMDAX,16.316667,38.933333
KOBAS,17.075,40.341667
KONET,14.5,38.9
MANDA,12.59,42.788333
OKMAB,13.55,42.083333
PURAD,14.916667,41.898333
R1624,15.284067,38.894086
SALEH,14.0,42.416667
SB038,12.75,43.2
SETIT,14.483333,39.333333
SOLIR,13.873333,42.321667
TESON,15.348333,37.180278
TESOT,15.116667,40.283333
ULONI,17.426667,38.978333
ZULAC,15.026667,41.018333
