IDENT,LATITUDE,LONGITUDE
ABEMO,39.073833,-4.527944
ABIXO,42.18625,3.108278
ABRIX,43.646306,-1.962611
ADEDI,43.176111,-2.179139
ADRAS,36.832167,-2.727528
ADUBI,35.833333,-6.323889
ADUXO,40.512333,-2.064278
AGADO,41.872889,-8.926694
AGENA,41.544806,3.488611
AGUMO,25.710556,-18.596111
ALAOS,37.212233,-6.548506
ALBER,42.4515,2.832111
ALCOL,37.855917,-4.518833
ALEPO,42.343667,-1.963333
ALORA,36.817642,-5.2119
ALOSU,41.933056,0.498611
ALT04,38.296364,-0.660742
ALT05,38.30045,-0.690375
ALT07,38.285889,-0.585719
ALT08,38.290775,-0.403203
ALT09,38.314867,-0.795358
ALT10,38.233728,-0.3848
ALT11,38.35495,-0.775431
ALT15,38.310264,-0.257075
ALT18,38.334803,-0.941761
ALT20,38.383072,-0.96785
ALT27,38.275897,-0.513792
ALT28,38.326283,-0.879031
ALT29,38.090314,-0.263636
ALT38,38.295497,-0.654464
ALT42,38.518839,-0.2901
ALT47,38.911125,-1.142206
ALT48,38.225872,-0.692069
ALT55,38.299814,-0.685753
ALT65,38.204106,-0.459267
ALT70,38.286411,-0.585519
ALT91,38.264181,-0.343733
ALT95,38.255897,-0.189533
ALT98,38.312139,-0.77545
ALT99,38.293575,-0.768617
AM006,36.861086,-2.116642
AMAKA,43.528889,-5.320833
AMGAR,42.555111,-3.253333
AMPIR,35.9375,-5.956389
AMPOL,40.803544,0.639278
AMR03,36.821889,-2.198739
AMR04,36.848156,-2.340347
AMR05,36.851894,-2.360586
AMR06,36.810581,-2.138078
AMR08,36.7789,-2.1076
AMR09,36.796692,-2.440631
AMR20,36.912408,-2.07775
AMR21,36.884872,-2.195447
AMR22,36.85195,-2.337119
AMR30,37.011544,-2.14605
AMR41,36.993006,-2.109172
AMR50,36.754264,-2.225656
AMR53,36.9644,-2.071072
AMTOS,43.0,-3.221014
ANANA,39.0,-2.412867
ANDEV,37.418,-6.597
ANETO,42.693056,0.558333
ANTON,41.259853,1.698253
ANZAN,39.0,-3.22145
AOG01,36.649425,-6.386292
AOG03,36.635731,-6.288783
AOG05,36.656075,-6.452119
AOG07,36.574636,-5.987675
AOG08,36.662444,-6.513783
AOG12,36.544522,-6.561811
AOG15,36.648594,-6.380117
AOG18,36.640586,-6.312892
AOG26,36.578792,-5.817672
AOG27,36.656414,-6.555911
AOG43,36.561769,-6.526394
AOG45,36.696614,-5.418728
AOG50,36.652181,-6.452481
AOG70,36.619514,-6.208442
AOG80,36.664017,-6.51355
AOG81,36.668019,-6.554683
AOG82,36.595086,-6.087992
AOG83,36.558311,-6.121114
AOG84,36.599164,-6.108061
AOG97,36.623503,-5.802231
APASO,25.0,-19.504633
ARBEK,41.543861,1.129775
ARGAS,40.298289,-3.524836
ARLUN,42.021667,-3.613611
ARROS,37.595333,-6.127833
ASPOR,41.815136,-8.0812
ASTRO,39.024381,-1.263003
ASVER,41.034167,-2.317222
ATLEN,44.505364,-4.947531
AVILA,40.624722,-4.55
BABOV,39.876381,-6.873556
BADRU,43.736472,-2.796544
BAENA,37.568444,-4.331975
BAGAS,43.098444,-2.094722
BAKAX,39.455444,2.530083
BAKUP,44.4125,-4.436111
BALDE,41.2299,0.522661
BAMBA,35.833333,-6.450833
BAN12,41.302331,-2.893878
BAN29,40.858236,-2.805486
BANUX,43.476167,-4.333333
BAPOR,43.683469,-2.737494
BARBO,42.448822,0.902747
BARDI,40.583486,-6.302458
BARKO,42.200606,-6.944603
BASIM,41.504444,-3.266667
BASSO,39.544425,3.122511
BAXOP,40.057644,-4.611111
BAZAS,37.734414,-3.185206
BEBES,39.073333,1.703333
BEDAL,42.104667,-7.753944
BEGAS,45.0,-9.0
BEGUY,43.058333,-1.450833
BELEN,43.914164,-2.738642
BENED,40.210278,-2.158333
BERGA,42.171542,2.032053
BERUM,35.833333,-3.235833
