IDENT,LATITUDE,LONGITUDE
ADABA,5.697389,41.917278
ALKOS,7.669642,45.764003
ALNAB,8.918333,44.216667
AMATO,5.311389,35.024083
ANVEX,8.309444,35.459083
APDAN,12.263853,38.088769
APKAR,5.567417,40.930583
APKOD,7.643667,36.43575
AROTA,11.495411,38.332225
ARSHI,9.551,43.405944
ASKEN,9.095444,43.929
ASOLE,9.940472,40.232444
ASTAR,10.651972,42.517306
AVEDI,4.002556,40.580583
AVONO,9.3405,33.933722
AVUNI,12.820928,38.747586
AVUSI,4.919139,44.000667
AXAPO,9.25265,43.753494
AXIDA,8.333833,41.552278
AXOTI,10.058694,34.222083
BELDI,5.172444,42.387278
BENDO,7.61325,38.008028
DAVIT,11.568583,36.417139
DWA02,9.666733,41.831792
DWA03,9.681169,41.823242
DWA06,9.724478,41.797589
DWA07,9.738911,41.789036
DWA12,9.811086,41.746261
DWA28,9.782217,41.763375
DWA46,9.801372,41.812533
DWA51,9.8371,41.822667
EGMEP,8.245219,42.505553
EGMER,9.012361,34.422444
EGMES,6.950806,43.083972
EGNAK,9.16075,37.085917
EPSIX,6.635667,34.667083
EPTOV,8.432139,42.413972
ERBUK,12.928444,35.958778
ETGOM,6.866111,37.629167
ETIVA,8.388167,38.397139
ETLOT,7.263667,41.307506
ETOKO,9.13775,37.888389
ETONI,10.010472,37.291528
GABDA,6.698689,44.748961
GETIN,8.936028,38.031556
GETOL,8.179917,38.538139
GIBAX,5.662133,43.665333
GISHE,10.459528,39.764111
GUDER,8.725861,37.130056
IBTAN,5.238722,40.854278
IMKIT,5.686361,39.387156
IMTOR,6.753333,34.866667
ITGEV,14.291972,36.846167
ITPOG,8.735083,38.163806
KASOL,11.880783,43.596033
KIDAN,12.045322,36.3993
KOFTA,8.216056,37.344583
KUSUB,6.687306,46.667389
LABLA,10.540472,37.898556
LAKBE,11.039722,42.160917
MARCO,10.208944,37.751944
MASLO,7.415972,39.054111
MIWAS,9.421917,40.425167
MURAL,8.763806,44.755694
NAPGO,11.24155,43.731289
NIDEG,10.588611,41.368333
NIGUS,6.504,41.141139
OKLAT,10.442083,37.752056
OKNET,6.538194,38.130083
OKNUL,6.226725,40.039156
RAGAS,12.301831,42.300631
RANSO,10.780722,38.769917
SHALA,7.481056,38.364056
SHOLA,11.391769,39.244303
SOLUL,5.085778,45.134
TADRA,8.277194,41.880611
TATGU,12.896781,41.605614
TIBIT,11.772,40.732778
TIKAT,12.406833,35.637111
USUBA,9.274167,34.366389
UTANO,4.753111,40.747528
UTOLI,5.039111,35.243778
UVARO,10.647,38.108639
WEYRA,12.789561,40.27465
YIBZA,13.208178,38.534778
