IDENT,LATITUDE,LONGITUDE
ABIKI,60.452778,21.420278
ABKUR,66.96,24.245556
AGIXA,61.051389,22.0
AKOVU,64.653333,24.803056
ALIBA,60.773056,22.627778
AMEDU,60.480278,23.612222
AMEVA,61.438333,27.393611
ANELO,67.978333,24.239167
APRIS,61.291389,22.968333
APROV,63.378056,27.766944
ARDIL,61.188611,22.455278
ARMIT,60.136111,20.532778
ARTUR,60.346667,24.063889
ASDUL,60.206389,26.578056
ASKUS,66.958056,26.139444
ATNIS,65.396389,24.981944
ATRIV,60.95,22.33
BABUX,66.055833,25.159167
BALTI,59.904167,25.251667
BAMPO,61.973333,25.96
BEXUL,65.592778,24.153889
BIGNU,64.885278,24.514722
BILSA,65.865,25.4425
BISRO,67.238889,25.241389
BODRI,62.415,19.824167
BOLSO,60.204753,24.703183
BUKOT,60.196111,20.540556
DEDIT,63.258333,20.450556
DEKOP,61.0675,27.278333
DELAP,60.246944,20.547222
DELES,64.473611,23.513333
DEMOT,62.592778,21.773889
DEROX,61.290556,26.173056
DEXIT,62.626389,26.404444
DIPAR,62.079722,25.124444
DOBAN,59.799444,24.4525
DODAM,60.044444,19.301667
EBELI,64.068611,22.571389
EBOLU,66.204722,24.800278
EBUNA,60.340833,20.453889
EKMIK,65.251667,23.7275
ELBUS,65.848333,25.808611
ELKUN,60.456419,24.834528
ELMAK,62.438056,27.719167
ELMUT,60.17,24.099167
ELMUX,62.890833,22.613611
ELSUS,61.1375,26.575556
EMLIS,61.648611,25.125278
ENOKI,60.826667,23.599444
EPESA,65.42,25.2825
EPESI,62.691944,25.223333
EREPO,65.366667,25.800833
ESOPA,60.3975,20.731111
ETABI,62.915278,26.135
ETANI,62.755556,21.341944
EVLAN,60.252222,19.111944
GALPI,62.846944,20.140278
GAMSI,63.793611,22.154444
GANKI,62.694167,26.092778
GASKU,62.862222,28.495556
GATRI,64.933333,29.616667
GEDLO,60.170911,24.629633
GEKLU,61.818333,28.511667
GEKSI,63.743611,26.298611
GELSO,62.637778,22.234444
GESMI,61.980278,23.837222
GETSO,60.866389,26.344167
GIMIS,61.432778,22.922222
GIMUL,60.382222,21.388889
GIPLU,61.500833,27.089444
GOGLA,60.1,26.456667
GUBLA,62.053333,27.591111
GUPLO,60.186944,22.5525
GUPSA,60.6275,23.606667
HEL01,60.342981,24.953
HEL02,60.308761,24.986511
HEL03,60.301033,24.992675
HEL05,60.26655,25.039894
HEL10,60.300025,24.627378
HEL16,60.246669,24.790511
HEL17,60.221867,24.434797
HEL18,60.35775,24.937672
HEL20,60.291125,24.890061
HEL21,60.307892,24.989967
HEL24,60.214983,24.404386
HEL25,60.309042,24.894558
HEL40,60.387164,24.906392
HEL41,60.350778,25.025583
HEL44,60.372919,25.075661
IBARI,61.980278,23.319444
IBENA,63.905833,22.323333
INKAT,63.936944,22.688333
INKIS,60.9375,22.868611
INKOL,60.498889,24.096111
INKUN,60.16165,25.141956
INLOG,60.171667,26.946389
IPLOT,64.439722,25.535833
IPSAS,63.429444,21.6175
IPSUL,61.783611,21.79
IRGAL,62.830556,20.010833
IRKUN,65.408056,25.401111
KEKEL,61.331667,25.72
KEKOX,66.046389,25.459444
KELAS,60.468611,19.175833
KELEK,68.503333,28.458333
KERAB,60.392947,25.116742
KETOL,61.8,30.083333
KOKAT,62.666667,31.375
KOKIS,64.316667,23.949722
KOMEK,62.421667,31.108333
KOTOS,62.878889,20.394722
KUDOP,59.979444,24.076667
KUVAK,60.730278,25.590833
LAKUT,60.438056,23.876389
LAMPI,63.538611,21.036667
LAPSU,63.739444,25.933056
LARPU,62.3625,23.140833
LEDUN,59.975,26.111667
LEKRA,66.391389,24.913056
LEKSU,61.691944,24.346667
LERSA,61.725556,23.527778
LIMRO,68.206389,23.803611
LITSU,62.8,23.35
LUKAT,61.943333,25.124722
LUNAL,60.961111,28.215556
LUPET,59.64,19.878889
MAGON,66.735278,23.892222
MAROM,60.447778,24.043611
MASET,60.235131,25.063942
MAVAX,68.476389,25.091667
MAXAN,63.751111,27.721944
MEDOT,60.440556,23.092222
MILSI,60.531389,26.106389
MIMLA,63.825278,25.2625
MISMO,66.174722,23.819444
MISMU,62.7275,25.938333
MOHNI,59.896944,25.585
NALIX,62.959722,21.061944
NAPSU,67.241944,26.375278
NARNA,69.250556,27.929167
NASUL,66.066111,25.673611
NESIN,62.299722,30.1225
NETGO,68.519167,26.485833
NIKRU,61.22,22.991389
NILMO,62.283333,29.234722
NINEV,60.268333,26.494722
NIPAN,61.150556,22.124167
NIPSA,68.912778,27.722222
NIRPU,60.774167,22.133611
NISIX,59.318611,20.431667
NOLGI,61.930278,23.023333
NOPSA,65.853333,25.612778
NOSLO,64.273611,24.068056
NUKSA,64.541111,27.881111
NUKSI,60.307778,24.624722
NUNVA,62.521389,27.733333
NURMI,60.412011,24.880411
OBIRO,67.194722,24.977778
OGLAV,68.833056,21.172778
OGLOB,59.933056,19.462222
OKAMO,64.008889,23.571944
OLAXU,68.453889,27.451389
OLEMA,60.233333,27.475
OMELU,63.297222,22.234167
OMILO,62.164444,29.118889
ORM34,60.499006,24.833789
ORM37,60.469183,24.7528
ORM39,60.449275,24.698892
ORM42,60.419372,24.618153
OSMIN,60.0225,21.864444
OSNIL,62.3725,28.956667
OSTOS,64.435,25.315
OSTOT,59.2875,22.178611
OTLAT,62.781944,27.013611
OXOLA,60.115278,22.677778
PABRU,60.706389,26.496111
PEKUS,61.449722,22.3625
PELAK,62.7475,25.660278
PEMOS,60.916944,24.224167
PEPUT,64.441389,25.786944
PERIL,61.738611,21.946944
PETOT,59.511111,23.141944
PEVEN,59.627778,21.559722
PEXEN,59.913056,23.824444
PILEL,64.396111,27.754167
PIRUX,62.545,22.542222
PISIN,65.765833,29.013889
PISOV,61.869722,29.56
PIVAK,60.733889,24.458056
POBUS,63.422222,22.939444
POKAS,59.981389,19.3925
POKEX,63.985,27.310556
PVO13,60.155061,25.256397
PVO24,60.2572,24.788714
PVO28,60.250536,24.655603
R1845,60.311292,24.936372
R1846,60.330275,24.964497
R1847,60.330689,24.979089
RALOX,63.269444,21.434444
RAMAN,61.0825,22.575556
RAMIM,59.768333,23.310833
RAPOT,63.383889,21.266389
RATLA,60.858333,28.338333
REKSA,60.972778,27.552222
RIKUM,59.970833,19.408056
RIMPU,62.562778,27.389722
RISAT,61.194722,26.47
RITSA,60.296111,21.503333
RITUN,61.403333,27.883611
RIVOX,62.388611,24.029444
ROLOS,62.505833,22.384722
ROVAN,69.797222,28.530833
ROVIL,60.821389,25.125833
ROVIX,66.253889,24.213056
RUDAM,62.541764,30.368925
RUNEN,60.2575,24.081667
RUNES,69.660833,28.3775
RUNGA,59.749722,19.724167
SISPO,65.143611,26.083056
SITMU,60.495,23.098333
SITSO,66.956389,25.4875
SIVNU,69.574444,29.237778
SONOX,60.811944,22.115556
SOPAT,68.059722,27.839444
SOPRI,64.670556,26.311944
SORUK,61.706667,23.264167
SUDAT,59.908333,25.331111
SUDIP,67.454167,25.05
SUKIS,68.464722,27.666944
SUPOX,68.303056,26.529722
SUTEV,64.553889,22.737778
TADIT,62.706389,26.715833
TAKOT,63.413333,23.2425
TALUG,62.521111,23.065278
TENKU,68.218333,27.232778
TIGLU,64.4725,27.0075
TILDO,61.341667,25.125833
TILTU,63.353611,22.079444
TINOS,69.791667,26.227778
TISRU,67.079722,27.068611
TOKLA,65.868611,28.749444
TOSLO,64.015278,27.689444
TULTI,61.685556,27.472222
TUNUS,60.388611,23.086389
TUPSU,61.991667,23.485
TURSU,60.810556,22.891667
