IDENT,LATITUDE,LONGITUDE
AGTOS,-19.316667,177.208333
AKUMO,-6.248333,175.591667
ALBAB,-18.331667,175.801667
APASI,-19.8975,-177.875278
ATOLL,-17.445,180.0
ATPEN,-20.451667,170.5
ATRAS,-9.813333,172.461667
BAXIL,-13.021111,-176.998056
BEACH,-17.688333,175.655
BIDAN,-16.586667,178.733333
BISUN,-17.703333,170.5
BODEG,-20.126667,163.0
BODER,-15.9,-175.828056
BODKI,-5.0,177.035
BOILS,-5.0,-179.846667
BOLAX,-22.013333,176.888333
CUFFY,-5.0,-174.651667
DOMAX,-15.539722,-175.6725
DOVOM,-28.673056,163.0
DUBEV,-27.550556,163.454722
DUNAK,-21.428333,180.0
ESDOX,-18.530278,-176.980556
EXORA,-17.913333,179.126667
GITON,-10.0,176.291667
GOBIN,-9.464444,-172.938333
GODAP,-17.213333,179.081667
GURDI,-21.800833,-178.469444
GUSMA,-16.235,176.475
IDEMU,-10.0,-177.696667
IDNIP,-15.225,-175.527222
INTID,-16.858333,175.863333
ISTOS,-19.028333,178.396667
KABAR,-16.241667,178.335
LANIS,-15.0,179.145
LUPLO,-17.345,179.115
NA004,-18.074661,178.500461
NA007,-18.098978,178.454544
NA011,-17.795833,178.611661
NA016,-18.171861,178.316711
NA054,-17.941503,178.801919
NA084,-18.068281,178.822642
NA092,-16.511667,178.671667
NA121,-16.09,178.021669
NA541,-17.874189,178.961936
NA841,-18.085458,178.996667
NILAX,-22.08,174.071667
NIVIT,-25.298333,166.986667
NOGOL,-28.837222,164.868333
NONON,-23.325,169.875
PACKO,-16.783333,178.888333
PARZO,-15.0,-178.588333
POPAS,-18.216667,180.0
PUNIX,-15.981667,177.295
PUPEX,-22.1,171.588333
SAPIR,-18.801667,180.0
TAVER,-15.0,172.286667
TEPEK,-18.721667,176.053333
TEPOR,-15.0,177.98
TESAR,-10.0,178.938333
TUTRI,-16.018333,177.778333
VIMEK,-18.148889,-176.811111
VIPOB,-19.023333,176.395
