IDENT,LATITUDE,LONGITUDE
ADABE,9.596925,138.247308
ADBON,0.0,154.228333
ADUFO,7.243872,157.772661
AFOYU,6.656892,158.585006
AMZAP,5.516519,162.482453
AXTEN,6.821575,158.678375
AYUGO,5.553517,163.019703
BACAR,5.354225,162.752539
BEGAC,9.386928,137.920536
BIRUQ,7.022969,157.7009
CABRI,9.474933,137.995561
CANAY,5.498872,163.083022
CAVRI,7.277608,151.772622
CECAC,9.544106,138.161206
CEYJE,7.638083,151.926606
COSAT,9.0,152.5
COSLO,7.398028,151.656064
DAMAY,7.558019,151.726889
EVUTY,6.987542,158.247331
FASPO,7.395997,151.774669
FENSE,3.5,162.261667
FIBTO,5.384917,162.985092
FIGBI,7.337822,151.71435
FOMAK,5.319244,162.878289
HAMAX,7.436369,151.816542
HASEN,9.523044,137.887939
HAVNU,7.077894,158.695761
HOMQY,7.507925,152.032197
HUDFO,7.117928,158.031947
IDAAS,11.388333,141.263333
ITIFO,9.443589,137.914519
IYADY,9.392069,137.848061
IZOSO,6.940203,157.98345
JODEP,5.537117,163.157367
KAPOK,11.800942,145.0
KAVWO,7.010622,158.10725
KEENG,9.527322,138.168856
KISME,5.0,148.09
KIYJE,7.486083,151.871806
KOZRY,5.422733,163.017586
KRASY,5.0,155.45
KRONK,9.4,154.183333
KULVY,9.470486,137.99615
LECWI,5.643519,163.3643
LEVGY,7.092203,157.946753
MAFRU,6.993078,158.171608
MENLE,5.340803,162.925961
MICNO,7.42295,152.342619
MOEER,7.051778,158.093944
NIVZY,9.760056,138.521208
OBOTY,5.358886,162.789939
OCANO,5.277908,162.786919
ODOBO,7.118275,158.406761
OHAFU,7.001444,158.416378
OKOLE,6.066667,150.516667
OLGEE,9.493856,138.067278
OMOCO,9.554164,138.250525
OSIPY,6.926233,158.453211
OWIDO,7.037144,158.0099
PNI05,6.994831,158.265658
PNI10,7.100022,158.293192
PNI25,6.983408,158.225317
PNI68,7.026797,158.378622
PNI89,6.953819,158.385406
POXIE,8.5,158.5
POZVI,7.033325,157.926178
R2392,9.496311,138.074592
R2393,9.501511,138.0904
RAZEL,9.447717,137.892564
RUTUS,0.0,148.828333
STEFF,6.986667,165.255
TKK03,7.438225,151.776083
TKK04,7.442961,151.792186
TKK06,7.428753,151.743875
TKK24,7.414536,151.695567
TRADD,7.026083,158.370806
UCOLE,7.573008,151.979408
UDEXE,7.520331,151.914189
UGEVY,9.605117,138.317456
UKOSY,6.992164,158.303456
UKS05,5.355192,162.873356
UKS10,5.443192,163.097906
UKS30,5.454975,162.824183
USODY,9.241714,137.654311
VOSFO,7.023581,158.497203
WAVKI,5.329506,162.721122
WUMVE,7.789161,151.462589
YATZY,10.0,136.5
YEBFO,6.954044,158.485458
ZOFZO,9.474681,138.277017
