IDENT,LATITUDE,LONGITUDE
20SAU,45.347778,2.499722
21SAU,45.040556,2.622778
31PAS,45.762222,6.428056
ABARI,47.416389,6.9425
ABDOS,47.665833,2.529722
ABEAM,47.293333,6.521667
ABILI,43.567778,5.674722
ABLAK,43.501389,5.438333
ABNUR,50.171389,1.858611
ABORO,48.524139,2.415083
ABRON,42.614167,8.147778
ABSIE,46.583333,-0.458333
ABSUD,49.939167,1.791111
ABUDA,50.116389,1.7575
ABULO,45.574167,6.995
ABUSO,45.850556,1.748611
ADABI,46.561111,0.530833
ADADA,48.295,2.003611
ADATU,45.537222,2.825556
ADEKA,45.941667,3.18
ADILU,46.124167,-0.839444
ADITA,43.228611,5.828889
ADUDU,43.344722,7.189167
ADUTO,50.515,3.361667
AFRIC,43.774167,2.869167
AGEVU,43.867778,6.663889
AGOPA,48.083333,2.009722
AGOTO,42.438333,5.709722
AGREV,45.064167,4.3175
AKELU,49.366944,6.463889
AKEMO,47.139167,-3.0
AKETI,48.3,-2.044722
AKIKI,49.591389,-1.416667
AKITO,47.213333,6.648889
AKUTI,43.227222,8.940278
ALARO,47.496444,4.749028
ALESO,50.575556,1.225556
ALIMO,48.715833,3.932222
ALISO,42.927778,9.603889
ALURA,46.5,4.952694
AMB16,47.166667,1.058333
AMFOU,43.595833,6.101111
AMIKO,45.128056,4.483056
AMIRO,43.941111,6.748056
AMLIR,44.443056,3.165
AMODO,48.419444,2.980278
AMOLO,43.828056,2.578889
AMONI,45.067222,4.8325
AMORO,46.5,4.538056
AMPES,41.410278,8.120833
AMVAR,45.330556,5.937222
ANARU,49.530278,3.755833
ANG05,47.486944,-0.953889
ANG10,47.372778,-0.932222
ANG37,47.622222,-1.750833
ANGLO,49.928333,-0.455
ANIGU,47.536389,-0.531389
ANLEV,48.693611,-3.05
ARBOS,46.984167,6.026389
ARDEG,44.669167,4.5375
ARDOD,47.731389,-0.905833
ARDOL,46.751389,4.6375
ARE16,48.465356,-3.949483
ARGED,48.929722,-0.25
ARGIS,45.971111,5.599167
ARKIP,47.633333,2.036389
ARKOX,45.44,5.3075
ARMAL,47.340833,2.053056
ARNOT,47.402222,6.92
ARPUS,47.6725,6.665833
ARSIL,48.56,4.061667
ARSOM,46.137222,3.419722
ARTAX,46.2575,1.783333
ARVOL,50.545833,3.496944
ASLEG,45.7525,6.154167
ASPET,43.0,0.979722
ATGUS,40.917222,6.649444
ATREX,49.785278,2.368611
ATRID,46.848611,3.408611
AUCHE,43.651389,0.558333
AULON,44.378611,1.6475
AVLON,47.56,3.813333
BADAM,44.086389,3.170556
BADET,43.464167,4.495833
BADUR,48.710833,-2.951111
BAGAD,47.583333,-2.881111
BAGBI,46.814444,4.596667
BAKNO,46.5,3.531389
BAKUL,47.346944,-1.638056
BALAN,46.516111,1.033333
BALEN,40.946667,5.69
BALMO,42.416667,4.585278
BALMU,47.846667,4.639722
BALNI,47.618056,-1.673889
BALOD,48.570944,1.497639
BALSI,45.4775,5.960833
BAMES,48.975278,1.486111
BANGI,49.924444,1.673056
BARAN,45.755278,5.205833
BARSO,44.143611,6.890278
BASIK,48.953611,-2.951111
BASLI,44.114722,2.9875
BATAG,48.822806,3.372278
BATIV,42.123889,6.410278
BAVON,40.266111,6.056111
BAXIR,48.790556,3.87
BD002,45.168556,-0.231667
BD003,44.907556,-0.049944
BD004,44.926667,0.101111
BEBEV,42.216944,8.445556
BEBIX,45.949167,1.399722
BELDI,49.955556,2.584444
BELEP,45.791667,4.131667
BELUS,45.675278,5.593889
BELVU,45.9525,4.045
BENAR,48.253056,0.744444
BENIX,49.546667,-1.49
BERAD,48.301944,-4.061667
BERNO,49.083333,0.633333
BERUG,48.621389,6.931889
BETOG,48.336389,-1.7175
BETUV,48.954444,-3.122222
BEVAV,49.066944,-1.690556
BEVEN,45.688611,5.972778
BEVOL,47.011944,0.930833
BIDAC,43.417333,-1.135667
BILGO,49.901944,3.447222
BIRGO,43.391667,6.119722
BOBRI,46.838333,-1.190278
BOBSA,48.495833,0.648333
BOBSI,46.324167,4.985278
BODIL,48.523167,-4.085917
BODRU,44.208611,6.377778
BOKNO,47.046944,0.691667
BOLGI,46.667778,5.938333
BOLGU,45.932222,-0.060556
BOLLY,48.091944,4.151111
BOLRO,50.0,-1.691389
BOLSA,43.334083,3.315083
BORGO,43.146194,4.77075
BRIVE,44.932222,1.412222
BRUSC,43.7475,3.023333
BRY80,47.404072,4.602064
BSN38,49.368431,3.983669
BT006,48.945267,2.310144
BT008,48.959619,2.404289
BT020,48.972369,2.50565
BT057,48.930356,2.294147
BT082,48.964428,2.662
BT085,48.964586,2.662022
BT099,48.911567,2.2239
BT200,48.972203,2.505622
BT520,48.968217,2.586339
BT550,48.968378,2.586361
BUBLI,48.771667,4.15
BUGUS,45.0,0.960556
BUKID,40.896667,7.198889
BULOL,46.045833,5.091944
BULOX,48.55,-0.766667
BUROD,43.42,6.388333
BUSIL,46.293611,4.721944
BUSUK,48.855278,0.713333
CACHI,47.066667,4.106667
CALAN,43.094306,5.333167
CALNO,42.799444,8.364444
CAN07,49.182828,-0.473928
CAN08,49.155,-0.25
CAN09,49.275078,-0.625356
CAN10,49.249744,-0.712372
CAN11,49.024881,-0.254928
CAN48,48.475833,-1.065
CAN99,49.168639,-0.439811
CAPCO,42.847306,9.5745
CFA28,46.248333,3.098333
CHABY,47.796667,3.948611
CHALA,45.355278,0.130833
CLM29,48.965225,2.489056
CNE12,49.027,-0.2237
CNE44,49.130358,-0.356622
CNE53,49.168636,-0.435139
CNE87,49.089117,-0.267458
COQUE,47.079167,-4.990556
CRL04,49.277861,2.610536
CRL06,49.288558,2.65605
CRL10,49.322769,2.747522
CRL11,49.274875,2.767467
CRL40,49.280817,2.608789
CRL60,49.294825,2.655019
CRL93,49.251667,2.769114
CRL95,49.248764,2.768972
CUERS,43.226111,6.134444
DANAR,48.067778,6.053611
DANBO,45.921667,5.058611
DEGEX,47.743889,-3.156667
DEGIS,46.26,-3.354444
DEGOL,43.780556,2.852222
DEKOD,48.283333,2.1
DEKOR,49.007222,-5.933056
DELOG,44.328889,-3.9875
DELOM,50.314722,4.089722
DEPES,44.123333,2.164444
DEPOM,47.317778,2.179167
DEPUL,45.925,5.494444
DERAK,47.296389,5.465278
DESAB,45.830278,-2.959167
DETUR,48.939167,0.953056
DEVRO,47.495556,0.738611
DEXIM,41.333333,8.934167
DIBAG,45.789444,0.7875
DIBER,42.079722,4.415
DIBES,47.5075,1.104722
DIBEX,47.890278,6.046111
DIDAK,48.259722,-0.25
DIDOR,49.313611,3.281944
DIDRU,46.181667,0.031111
DIKEL,41.548056,9.113611
DIKOL,49.1375,4.049167
DIKRO,49.584722,-1.110833
DILAB,48.045,5.804167
DILRA,45.85,-1.225556
DIMAL,50.4925,1.366389
DIN50,47.735,-1.971944
DIN74,48.528097,-3.936881
DINOX,46.666667,6.119722
DIPER,50.345833,2.061389
DIPIR,46.669167,5.593056
DIRAX,44.552139,-0.454389
DIRMO,47.089167,2.192222
DISAK,48.133333,2.131667
DITAL,48.744722,0.889167
DIVDA,47.959167,3.808611
DIVKO,43.056111,4.776944
DIVUL,43.301944,7.621389
DJL00,47.437128,5.110236
DJL01,47.387594,5.070128
DJL03,47.311911,5.087767
DJL04,47.20585,5.100639
DJL08,47.140925,5.053356
DJL10,47.112333,5.021878
DJL12,47.434281,5.144228
DJL14,47.247114,5.096236
DJL32,47.683889,4.626667
DJL35,47.353044,5.078186
DJL51,47.185875,5.102025
DJL54,47.180892,5.102497
DJL55,47.180878,5.101908
DJL91,47.139536,5.063375
DJL96,47.109861,5.034131
DJL98,47.254131,5.098183
DJL99,47.287231,5.093508
