IDENT,LATITUDE,LONGITUDE
AGSIM,-0.14,7.944444
ARKOT,1.920556,8.005556
BUNDO,-1.842778,10.353333
DESOS,1.198889,8.083333
EBTOL,-0.735556,9.962222
EMTIP,0.488333,12.693056
GAKAL,-0.359167,10.439722
GULEP,0.962222,8.083333
IKRON,1.267778,11.532222
IKTUS,-2.089722,13.230556
IPETO,-2.6,10.178889
IPOTA,1.2075,7.409444
KOPOV,-0.723333,10.890278
KOPUB,0.430278,8.083333
LITAT,-0.813889,12.894444
LUDNA,0.885833,10.499444
MISTI,0.728056,11.885556
MISVA,-0.758889,9.909444
NULOS,-1.259722,9.153333
ONPOX,-1.720278,8.196944
PITSA,1.266111,8.083333
PONOT,-1.093056,11.347778
SEMAD,1.451667,7.613611
TAPIL,-1.799167,10.4525
TEMKI,-0.140556,9.066111
VOSAL,-2.464722,13.047222
