IDENT,LATITUDE,LONGITUDE
AKAKI,41.757778,41.371389
ALIKA,42.2525,41.534722
ANAGU,41.630556,46.015556
ASELI,42.5,44.248889
BAGEM,41.598889,44.480556
BANUT,42.989722,39.985278
BARUS,41.903889,42.841667
DEDON,41.715278,45.246667
DIPON,42.328889,44.3425
GIMUR,42.016667,44.132222
IBERI,42.160833,41.721667
IDLER,42.490278,40.145833
LAGAS,41.571944,44.231389
LAMUS,41.544444,45.523333
LEGVI,41.4,45.198889
LOBIN,42.181667,43.107222
NEDEK,42.002222,41.592778
NOLGA,41.428056,42.978889
OBORA,41.833333,44.465556
ODILI,41.721389,42.094444
OGEVI,41.134722,43.786944
ONISA,42.583056,43.448611
ROLIN,41.799167,40.656389
SOSED,42.109722,41.004167
TAGAR,42.278333,43.069444
TAVRO,41.191389,44.5025
TBS12,41.8052,44.7874
TBS13,41.806442,44.785911
TBS28,41.619,44.9992
TBS29,41.6177,45.0006
TETRO,41.6725,42.859722
TISOT,41.268056,44.885833
