IDENT,LATITUDE,LONGITUDE
AFO10,5.383889,-2.734167
AMPOX,2.912778,1.311944
BIPEX,4.517222,-1.784444
BONTI,5.584444,-0.700833
BUGBU,10.201389,-2.25
DIBSI,3.895833,3.12
DIKMA,5.983861,-1.667531
DIRKO,5.221506,-1.069608
EBULI,2.010556,6.583333
EGADU,4.860556,-3.0
GAPAG,11.002275,0.325272
GAPAK,0.940556,5.508889
GAPEL,-8.293611,0.316667
GAPEN,5.947203,0.710836
GAPOX,-1.825792,1.787606
INAKA,3.686667,-3.0
INOSA,1.7191,6.000306
INVOR,2.308056,4.399167
IRVIK,8.250833,-0.616944
KEMOK,6.235803,-0.958175
KISMO,5.165208,0.732192
KOPOX,1.508889,6.583333
LIPUS,9.218056,0.001944
LISOR,5.069325,-0.984744
LITEX,6.636953,-0.105781
MEPON,4.393544,-1.973956
MIMTI,5.539033,-1.1535
NASAN,6.595736,0.133628
NASIA,10.101667,-0.433333
PINGO,11.0,0.001667
RASAD,1.216667,-3.0
RUSTO,2.56,5.555
TAMIL,10.634444,0.018056
TEMBI,5.483889,-1.701111
TERBA,-4.796786,6.582597
TESMO,6.622906,-0.329281
TUMUT,11.0,-1.978333
TURUT,8.635278,0.001111
VOLTA,8.685278,-1.066944
