IDENT,LATITUDE,LONGITUDE
ABANA,67.468611,-50.968333
AMINI,66.516944,-50.395
ANDRE,68.5025,-51.024167
ASTAN,65.417778,-39.995556
ASVID,64.630278,-48.378889
AUDUN,62.246111,-48.899444
AXIXE,76.530006,-68.761514
BELLL,76.522378,-69.108706
CASBI,76.339481,-69.720789
CURAN,79.916667,-60.583333
DISGU,69.24415,-53.525814
DOGGY,76.35,-75.833333
EKCOR,76.502167,-69.795167
EVABU,62.317367,-44.0
EVIMO,66.149014,-51.526544
FANUL,76.529,-68.799
FREZN,76.5281,-68.798514
FRINI,78.2,-67.7
GANGI,66.894444,-49.680833
GEBKA,63.1653,-50.660611
GINGO,66.165711,-53.843328
GORBI,78.066667,-65.666667
HARVE,77.833333,-73.466667
HENRY,80.25,-65.916667
HUXEL,76.506564,-69.795167
ICBRG,76.531658,-68.664108
IDLAS,67.932436,-53.576222
INGAS,69.221622,-51.5232
JAGAN,76.521,-69.117333
KAYAK,64.225,-39.995556
KELDO,65.57,-51.759167
KEMOS,66.958889,-52.220556
KITAP,62.411667,-47.995833
KOXIN,65.509722,-50.956389
KUGAM,66.473056,-51.130833
KULAN,61.098275,-48.827603
KULUX,77.103881,-70.106603
KUNUK,68.506667,-50.872778
LILGO,67.436389,-51.431389
LIPSI,74.833336,-68.566667
LOLNI,64.798703,-52.326964
LUCIE,74.933331,-66.8
LUXOV,65.8775,-53.149722
MAARE,76.908133,-68.237167
MADIX,65.269003,-52.820844
MANSE,72.883333,-64.916667
MASIK,65.967778,-39.995278
MOSAP,77.478897,-70.060897
MRTNN,76.210783,-68.886147
NALAK,65.714167,-52.564722
NANSI,63.135278,-46.995833
NARKA,75.166667,-72.75
NUTEE,76.670711,-69.875061
NUTKA,64.557222,-51.449167
NYGAR,68.232222,-52.311389
OSKEL,61.213528,-46.994189
PAMLA,77.4,-75.083333
PEVAR,66.699167,-46.939722
PORSU,62.636667,-42.995833
ROSIE,65.539167,-51.466111
SAVIS,75.35,-63.666667
SIMON,68.494167,-51.221667
SOBVI,65.181944,-43.828889
STEFA,75.1,-65.083333
SUKAK,66.9425,-50.489167
SUNDD,76.505803,-69.797
SUTAK,65.965703,-53.66
TOLAN,65.603056,-49.348611
TOMAS,73.733333,-58.583333
UNVIG,66.5275,-51.533889
VIBON,66.499036,-52.276553
