IDENT,LATITUDE,LONGITUDE
AMKAX,9.951667,-11.4
ARBAL,10.1,-10.716667
AXIRO,10.09985,-14.033178
BIREL,9.066611,-13.383169
BUKLA,9.316667,-13.016667
BUMBI,12.466667,-12.966667
BUNAP,10.25,-11.0
EDBAL,9.866667,-12.033333
ERMIT,8.366667,-8.283333
GAROM,9.068056,-12.586111
ILGOT,10.15,-12.516667
KIMKA,9.666667,-11.8
KIMPO,10.283164,-8.799764
KIRTI,10.699794,-14.533186
KOLIP,10.666667,-11.55
LUGMI,11.25,-12.366667
LURBO,10.233169,-13.616506
MOPAL,11.296389,-8.419722
NANAN,9.05,-9.283333
NASLO,11.783333,-13.15
NEGLO,11.933333,-9.15
PIMSO,10.25,-13.416667
POKSO,6.756389,-5.9475
SAKNA,9.35,-14.683333
TANOS,12.1,-13.65
VOLNA,10.631667,-8.0
