IDENT,LATITUDE,LONGITUDE
BIMBO,16.626667,-61.960278
KASKI,16.710278,-61.674444
KEDAK,16.360389,-61.761722
KOROL,17.372778,-60.6875
MEDUS,16.739444,-61.574444
MUNSI,16.316111,-61.812333
PPR00,16.266231,-61.539889
PPR03,16.2749,-61.591
PPR04,16.276,-61.581981
PPR05,16.280689,-61.62575
PPR06,16.29115,-61.640606
PPR07,16.321975,-61.646289
PPR08,16.241858,-61.403533
PPR11,16.247706,-61.437744
PPR13,16.183036,-61.4093
PPR14,16.452361,-61.686325
PPR15,16.260803,-61.5145
PPR18,16.382403,-61.789417
PPR21,16.169075,-61.251928
PPR26,16.203814,-61.397608
PPR29,16.295475,-61.657356
PPR30,16.360414,-61.761958
PPR31,16.332383,-61.639558
PPR33,16.425625,-61.665422
PPR34,16.2962,-61.7196
PPR37,16.325519,-61.644172
PPR40,16.253522,-61.471819
PPR41,16.327394,-61.570161
PPR48,16.2801,-61.6221
PPR50,16.246314,-61.455653
PPR55,16.245994,-61.446847
PPR70,16.286392,-61.659897
PPR95,16.283986,-61.624586
R1521,16.267586,-61.544231
VIRMA,16.124806,-61.445833
