IDENT,LATITUDE,LONGITUDE
ABILO,34.323611,30.0
ABLON,38.169444,23.735556
ADESO,36.533333,26.511111
AGAPI,34.869444,30.0
AGISA,39.733333,23.35
AKINA,36.980278,26.248611
AKORO,37.21,24.393333
ALANI,36.911111,23.991667
ALIKI,35.925,25.348889
ALIKO,40.771944,22.449444
ALKIS,35.2,30.0
AMALA,40.568611,24.832778
AMANI,39.332222,26.499444
AMAXI,35.097778,25.782778
AMISI,38.846667,24.818333
AML05,38.004119,21.332564
AML09,37.786031,21.340189
AML13,38.123111,21.409314
AML25,37.530503,21.438272
AML28,37.462489,21.305542
AML36,37.328986,21.311442
AMONO,34.972222,29.87
ANASA,34.838611,23.239444
ANTAR,33.8,28.266667
ARA03,38.126383,21.424172
ARA04,38.043075,21.429694
ARA06,38.209883,21.427494
ARA07,37.992928,21.425278
ARA08,38.197281,21.297542
ARA09,37.959556,21.425278
ARA11,38.166267,21.646517
ARA12,38.147689,21.176231
ARA14,38.072794,21.717328
ARA15,38.0075,21.136114
ARA17,38.196933,21.767336
ARA18,37.993086,21.433003
ARA19,37.999281,21.377225
ARA20,37.604375,20.874519
ARA21,38.025686,21.700967
ARA22,38.350172,21.073264
ARA24,37.973269,21.039903
ARA26,38.416014,21.098136
ARA28,38.153933,21.134894
ARA30,37.915853,21.687314
ARA31,38.186344,21.313525
ARA32,37.953214,21.644514
ARA33,38.217289,21.367397
ARA34,38.338283,21.296039
ARA35,38.3076,21.385503
ARA36,38.259964,21.428603
ARA37,38.442308,20.881989
ARA41,38.359433,21.177247
ARA69,38.172292,21.643744
ARA70,38.002125,21.367567
ARA71,38.161144,21.626389
ARA77,38.216403,21.365067
ARA90,38.064786,21.779872
ARA93,38.084939,21.7192
ARA94,37.961522,21.625781
ARA95,38.176503,21.686778
ARA96,38.018075,21.697258
ARA97,38.024642,21.677856
ARA98,37.835556,20.655961
ARA99,37.870103,20.751814
ARGUN,37.654167,22.733333
ARNAS,40.528056,23.480556
ARX02,38.075092,21.416778
ARX05,38.118289,21.527536
ARX08,37.975886,21.399175
ARX09,37.95935,21.396247
ARX10,37.942817,21.393319
ARX13,37.893211,21.384544
ARX15,37.982408,21.031483
ARX18,38.025489,21.407969
ARX22,37.996331,21.265864
ARX35,37.752056,20.709314
ARX40,37.446714,21.306092
ARX90,38.007522,21.281522
ARX98,37.777461,21.364114
ARX99,37.887239,20.738986
ASIMI,36.465556,27.731111
ASKOS,40.638056,24.270278
ASTIS,36.565278,26.232778
ASTOV,37.420833,22.534444
ASTUS,38.410556,20.132222
ATLAN,35.8475,25.426111
ATROX,39.111667,24.735833
BADEL,37.000556,24.073889
BAMOS,39.29375,23.560472
BAVES,35.424722,24.726944
BELIX,36.966667,19.0
BETAK,39.396944,19.731111
BIBEX,37.208056,24.834444
BITLA,40.875556,21.358056
DDM18,37.435275,22.844161
DELAV,35.854722,26.611667
DEXIN,40.0,19.45
DIDIS,37.202778,25.242778
DIKNI,40.899167,23.206389
DILES,37.191111,24.788333
