IDENT,LATITUDE,LONGITUDE
ALIGO,17.102278,-89.486694
ALSAL,14.270556,-92.728056
AMARU,17.239139,-89.597556
ANREX,13.298333,-94.4525
ARATI,14.806667,-89.893333
AUR01,14.606636,-90.519836
AUR06,14.684819,-90.489003
AUR08,14.716092,-90.476664
AUR30,14.702075,-90.449019
AVRIS,17.663333,-89.445
BENES,16.208333,-89.323333
BRITO,15.032458,-89.226783
CANAL,14.166667,-90.473333
CARME,17.328808,-89.964228
COBAN,15.590175,-90.392317
COSTA,14.301667,-90.536667
DEDAL,17.207522,-89.153072
DUNEL,13.732317,-90.109042
ERBOR,15.695,-91.955
GEDIX,10.320556,-92.338611
JERON,15.106667,-90.145
KALPA,15.021358,-91.07575
KANEL,15.341667,-89.971667
KINAL,17.652008,-89.162475
LAGOX,14.516042,-90.068703
MAVAL,16.917789,-90.213058
MEGAL,14.087347,-89.735875
NALDA,17.747383,-90.099756
NANDO,16.812517,-89.373953
OCASO,14.768664,-92.149511
OLORI,16.626169,-89.566386
OTAMI,14.050756,-89.870742
PARAL,16.037144,-90.151622
PATIK,14.645,-91.005
PILKO,17.255556,-91.174444
PINOS,14.321139,-90.198103
ROSAM,14.362433,-90.16655
SJO40,14.546667,-90.245
TECUN,14.663333,-92.145
TILOT,15.515,-90.165
TUCAN,16.517839,-90.001558
VIRSI,15.570422,-90.296861
