IDENT,LATITUDE,LONGITUDE
ACRON,13.622333,143.028781
ACUYU,13.592225,144.955075
ADAYI,13.567453,144.962514
ADEDE,13.441392,144.702003
ADTIN,13.473233,144.720044
AJA09,13.523189,144.873406
AJA12,13.546403,144.918919
AJA58,13.498419,144.824867
AMUBE,13.651158,145.106383
ANIKA,13.543514,144.843972
ASADE,12.793167,144.840039
ATIGO,21.000867,150.319214
AXIDE,12.520556,146.996389
BAGBE,13.654308,145.296286
BESSS,16.916667,147.45
BEVTE,13.620464,145.019578
BOLFY,13.455514,144.732853
BUCAT,12.593333,143.266667
BURLE,13.240014,144.665758
CADUK,13.724119,144.920919
CALPO,13.691472,145.181975
CANOE,23.528125,155.002614
CETAS,13.589956,144.665789
CIBOL,13.572431,144.993308
CLANS,12.805,146.311667
COGAD,13.571878,144.908644
COLMA,13.539331,144.846878
CULPS,13.997672,144.958061
DALPE,13.389908,144.594286
DEWOP,27.000292,161.083247
EMNAK,29.000086,165.002725
ERTTS,14.170194,145.027889
EVEBE,13.641581,145.014931
FABED,13.695875,145.179967
FAPAM,13.423894,145.068011
FATUM,12.7,149.116667
FIBEE,13.580361,144.964406
FIBSS,11.766667,148.783333
FIGOR,13.30575,144.757369
FISON,13.439589,144.702717
FLAKE,13.402872,144.625869
FOMOD,13.5473,144.835533
FONUG,14.181111,146.803333
FOVEM,13.742247,145.151717
GALEE,5.0,143.616667
GALSS,10.461667,147.791667
GNOSS,26.401183,160.002678
GOOFI,10.092222,147.324722
GUMGE,13.085411,145.197808
GUNSS,10.731667,148.065
GUYES,15.13,144.83
HAGIX,13.727319,144.923375
HAMAL,13.567544,144.702597
HASRA,13.624483,145.016517
HERDO,13.660667,145.2815
HEXUG,14.850669,145.313408
HILRI,13.486197,144.713469
HIRCH,14.789197,145.768522
HONPO,13.433861,144.644583
HOOVR,9.913333,142.833333
HOPPY,14.021667,146.345
HUKES,13.452347,144.730586
HURUG,13.497044,144.708672
HUTEL,9.376667,145.313333
INIME,13.596717,144.953033
ITUME,13.575539,144.906917
JERMI,13.546175,144.837639
JIPRO,13.596256,144.953414
JIXUM,13.7895,145.2225
JOBSS,12.568197,140.75235
JOMAX,13.523894,144.887011
JUNIE,11.548333,147.107919
KALIN,0.0,142.0
KATNE,13.576383,144.906578
KEITH,21.001089,134.949033
KEONE,4.002086,141.868978
KERNE,12.166667,138.646667
KERRY,15.833333,152.141667
KITSS,13.835,140.645
KYWEE,16.666667,136.7
LADSS,14.85,140.833333
LEETA,15.898047,135.002297
LEROW,13.471,144.626667
LEXIE,13.501119,144.707025
LIMLE,16.663058,130.002211
LOEBB,12.241967,142.678156
LOGLE,13.490783,144.711364
MIKYY,15.766667,141.283333
MOGLE,14.04,143.125
MONIE,14.354453,145.106331
MONPI,21.001008,140.602453
NATSS,16.583333,141.95
NUTTI,5.0,145.706667
OATSS,16.75,142.166667
OBALE,13.391656,144.593453
OKIBE,13.616175,145.063631
OMLET,21.000975,142.992483
OPDOE,13.531178,144.786858
OPLAR,12.397633,146.056822
OTTRE,14.408333,143.32
PAKDO,21.00105,137.824081
PAVYI,13.532717,144.901728
PEGIY,13.711047,145.1093
PHILY,17.017833,156.657472
PIKOK,0.0,146.141667
PULEE,13.523625,144.052731
R1683,13.575319,144.916486
R1684,13.581769,144.918028
R1685,13.478908,144.783983
R2382,13.490589,144.809525
R2510,13.487669,144.807797
R2844,13.477161,144.784817
R5002,13.589364,144.947686
R5003,13.593642,144.945144
RASPE,13.467522,144.557236
REEDE,14.95,143.983333
RICHH,17.196944,142.82
RIDLL,16.068333,142.416667
RISBA,21.0,154.136667
RIVBE,13.451833,144.6355
SANDO,14.161139,145.278111
SHAWS,14.723333,143.62
SIDPE,13.496578,145.029469
SNAPP,15.853439,146.605783
STINE,14.468333,147.638333
TEEDE,17.423056,146.518056
TEGOD,21.000942,145.199175
TERYY,17.716667,144.983333
TILLY,17.194167,133.956111
TOESS,17.566667,143.833333
TRADE,13.738722,145.154381
UNZ09,13.520561,144.871694
UNZ12,13.542547,144.917839
UNZ13,13.464094,144.753289
UNZ15,13.443547,144.710247
UNZ23,13.361772,144.612056
UNZ25,13.472897,144.771739
UNZ33,13.478767,144.784039
UNZ57,13.425764,144.582222
UNZ58,13.497103,144.822481
UNZ98,13.374625,144.645775
UNZ99,13.436197,144.615067
VILEY,25.000486,157.50515
WABOX,13.575619,144.995739
WALEL,13.502553,144.706467
WELKU,13.644628,145.197428
WILLE,14.974167,145.365086
WINZR,15.093333,144.38
WUVEN,14.056186,144.432642
YELLO,14.166667,135.0
ZEEKE,13.338625,144.752317
