IDENT,LATITUDE,LONGITUDE
ADVET,5.449442,-58.956972
AKROK,7.877336,-60.320964
ALBEP,8.317711,-59.686989
BITAX,7.727678,-58.484319
DALGA,8.919117,-59.071017
DOBDA,4.538497,-60.130519
EDMEK,6.888492,-58.566661
EGEMA,8.919522,-58.704222
GEBON,6.068528,-57.0
GEKOS,6.939017,-57.0
IBERT,7.817164,-58.080322
KALUP,6.986453,-58.348211
KORTO,8.918325,-59.446453
KOTEN,8.21665,-58.574375
KOXAM,4.98,-57.65
LEPOD,8.504383,-58.931303
LIKEV,6.773358,-58.674153
LOKIT,7.683647,-58.655744
MEXEN,6.968867,-58.416681
MINDA,8.916692,-60.159594
NEKOB,5.548333,-57.215
ORANI,7.482436,-59.031061
PANAX,7.194314,-59.299728
SISEX,6.332306,-57.781622
UMREM,7.934875,-57.001444
VUDOK,6.075247,-58.537733
