IDENT,LATITUDE,LONGITUDE
AGUAN,15.898333,-85.429722
AKAGE,14.139469,-87.575658
ALFRA,14.174722,-86.826944
AMIDA,18.629444,-87.301667
ANGEL,14.334167,-86.9375
ANIKO,19.048611,-86.906389
ARITA,14.863333,-87.621667
ARTOM,1.416667,-87.475
ASOKU,16.076667,-91.382222
ATLAN,15.897447,-86.985317
AUDRY,14.251442,-87.596622
BATAN,15.640278,-87.239167
BELGE,14.618294,-87.684383
BETIS,10.223611,-89.551667
BISTO,20.373611,-83.665833
BONOS,16.056667,-83.312222
BTO06,15.726233,-86.967075
BTO08,15.722717,-87.001444
BTO10,15.872133,-86.965606
BTO11,15.848706,-86.992456
BTO15,15.734131,-86.889744
BTO63,15.719194,-87.035808
BTO76,15.757086,-87.0355
BUBEG,14.402239,-87.187375
CISNE,17.4,-83.95
COCOS,5.829722,-86.218333
COMAK,14.482489,-87.646997
CORAL,16.715833,-84.628056
CRUTA,15.252222,-82.934722
DANUL,20.186389,-85.315278
DASHR,14.35505,-87.616036
DAVRO,15.623611,-84.714722
DEBIT,14.766686,-87.693297
DELVI,16.451389,-82.189722
DOOOO,14.521292,-87.657675
DOWNR,14.004442,-87.550406
DUKTA,19.974167,-84.3425
DUPSE,14.448539,-87.637656
DURES,14.151508,-87.200975
EBDEL,10.068056,-88.375278
EGODI,8.861667,-82.818333
ERBAC,14.086092,-87.572467
FARDO,14.251422,-87.599278
FIMAK,14.309286,-87.608669
GABIX,17.208333,-86.431667
GAILE,14.556861,-87.667464
GALAN,13.655833,-87.420833
HAKAL,14.363844,-87.617531
HAVOP,14.172064,-87.586403
HELED,14.138997,-87.581042
ILONA,17.04,-84.818333
IRGOL,18.27,-85.551667
ISERU,7.294444,-90.239722
JABOM,14.648431,-87.671117
JARAG,14.45085,-87.634006
JINUR,14.644161,-87.691511
JOTGO,14.172403,-87.581822
JRAYA,14.533175,-87.649461
KARAK,14.033056,-86.799722
KARET,14.809722,-85.06
KARID,13.898333,-87.636667
KEKNU,13.820197,-87.25015
KELVO,18.988333,-85.985
KIMLE,14.155531,-87.583722
KIRAP,17.056389,-87.606389
KORTI,16.125,-87.785
LANDA,17.921667,-86.891667
LEPAX,14.101667,-87.651667
LERIK,16.340278,-84.407778
LESIR,5.896111,-82.916667
LIBIS,13.613333,-87.266667
LIXAS,1.416667,-82.936667
LMS05,15.530017,-87.848561
LMS08,15.596422,-87.863542
LOGAL,1.416667,-88.911667
MAMBI,19.45,-82.046667
MELDA,17.735,-85.231667
MELVO,14.2685,-87.173
MHTG2,14.184939,-87.199164
MITOL,19.758333,-83.38
NAGEL,14.263333,-88.59
NAKAN,15.252222,-88.5625
NAPRA,19.602222,-82.699444
NOTOS,12.625,-96.288333
NOVOG,14.361667,-89.171667
NUBEK,14.401453,-87.624739
NUBIS,19.126667,-82.073333
OMIRO,18.525,-84.495
OMOSO,16.125,-88.036667
OVISI,14.1005,-87.203167
PENRU,15.195556,-88.733889
PIRAS,10.901111,-84.375278
PNNON,14.796122,-87.733411
POGAM,9.752778,-93.969444
R1256,14.393219,-87.623194
R1309,14.371517,-87.619125
R4032,14.068844,-87.214392
RADIM,5.821667,-84.146667
RASBE,14.325411,-87.610481
RIBOS,13.953611,-87.650833
ROMBO,14.408333,-87.406667
ROTRO,8.916667,-95.45
RUBRA,15.83,-87.325
SEKIN,18.878333,-83.115
SELEK,20.094722,-82.415278
SIGMA,19.616389,-86.3675
TAGIR,13.929444,-87.785833
TAKUX,20.026944,-85.896111
TALAG,14.436389,-87.142778
TAMES,12.474167,-89.148333
TELAX,14.894167,-82.278889
TIRNA,14.885,-88.24
TNT01,14.168225,-87.200069
TNT05,13.949406,-87.258475
TNT07,13.917944,-87.270194
TOMAA,13.978622,-87.555061
TUKOR,12.886667,-87.816667
UGADI,1.416667,-86.25
UKABO,3.906667,-91.031667
ULISA,18.769722,-82.083333
UMAKA,18.055,-82.123333
URIOS,18.425278,-86.898333
URNOS,14.325,-88.955
UTILA,16.11,-86.863333
VETSA,19.575,-85.011111
VITAN,13.861667,-87.75
VODIR,5.528333,-90.65
ZARDO,14.483781,-87.640186
