IDENT,LATITUDE,LONGITUDE
ABLAT,45.390433,13.62615
ADULA,45.270556,18.641944
AIOSA,41.928333,17.248333
ALANU,44.524722,15.280556
ASLOV,43.161944,16.510556
BANUG,45.479167,16.910556
BAREB,45.746111,18.413333
BAXON,44.416389,13.463056
BEVIS,41.932833,18.1945
DABAR,44.932222,15.270278
DBK03,42.516661,18.232194
DBK05,42.596128,18.180239
DBK12,42.6564,18.037064
DBK14,42.401422,18.023942
DBK18,42.30495,18.242192
DBK23,42.659208,18.039283
DBK34,42.583014,18.211683
DBK40,42.491958,18.243656
DBK51,42.596917,18.178233
DBK84,42.625853,18.114881
DEPET,44.678889,15.969444
DEVUL,45.130278,16.441111
DIGOT,44.39,15.667778
DOLOM,44.707222,14.876111
EBITA,44.385,14.769167
ELGUS,43.547778,14.966667
ELKOR,42.382,17.991333
ENODA,42.547,17.748
GEMKA,45.4703,14.204225
GIRDA,45.475575,14.133953
GISAM,41.918611,17.758611
GISER,45.061667,15.173889
GOLUN,45.264722,15.044444
GUBOK,45.044722,17.861667
IBENI,44.014167,13.921667
INGEL,42.895,17.227222
IPKIS,44.368333,14.300833
IXONA,44.845556,13.548889
IZA01,45.467742,15.721594
IZA10,45.620267,15.869617
IZA83,45.642364,15.905194
KATTI,42.507778,16.048889
KENEM,43.633333,16.946667
KO004,45.275567,14.50695
KO005,45.227261,14.556053
KONUV,42.435944,18.436722
KOPRY,46.240278,16.962778
KOREX,44.771111,15.769167
KOTOR,45.441111,15.572222
KULEN,45.165278,15.133611
KUSIB,45.148056,16.471667
LABIN,44.985833,13.091389
LAKIK,45.602222,18.0975
LAPOV,45.004167,19.095556
LETLI,45.635867,15.349358
LOKDI,41.495,18.339444
LUPAR,44.059167,16.303611
LUSIN,45.552778,15.752222
LUVEK,42.831389,17.182222
MADOS,42.6025,18.249167
MINTU,44.34,14.695556
MOKUN,42.450333,18.48
MONFA,45.487222,13.279167
MOSAV,45.558611,16.9325
NAKIT,45.188056,13.447778
NASSY,45.446667,18.099722
NERRA,42.905278,17.543333
NETKO,43.041667,17.661667
NIKOL,44.221944,13.686111
NUPSO,44.134167,15.852222
OBALA,44.920278,14.9725
OKLAX,43.8675,16.042778
ORAKA,42.536944,17.200556
PALEZ,44.575,15.533056
PIXAL,45.221667,16.554444
PODET,46.170514,15.625878
R1818,45.225656,14.561433
R2155,42.569225,18.2484
R2451,45.731875,16.051969
R2785,45.751906,16.082431
RAKIV,44.871389,19.009722
RASIN,46.090278,16.675278
RASTU,44.942222,15.743333
RENDA,45.292778,18.578056
RILIM,42.658611,16.815556
RJK11,45.075619,14.719133
RJK15,45.204144,14.588256
RJK16,45.063311,14.680403
RJK24,45.176417,14.428911
RJK46,45.060864,14.648592
ROLBA,45.8402,15.655053
ROTAR,45.262778,12.995556
RUDIK,44.996667,16.305
SABAD,45.465872,14.867481
SIPAL,43.136667,17.073611
SIRMA,45.2425,16.306111
SIRMI,44.15,16.303611
SIVLA,45.101944,18.381667
SONIK,44.448333,16.143333
TEBLI,45.201389,16.675833
TEPKO,41.740833,18.428056
TIBLA,43.074722,16.006667
TIMUS,42.346111,18.5575
TUNAL,42.998889,15.290556
TUPUS,45.220833,15.889722
TUVAR,45.126667,19.0775
ULPIN,44.703611,14.653889
UMBEK,45.5406,13.413219
UMSON,43.519167,15.7675
UNIPA,44.029444,16.482778
VAKSU,42.014167,18.526944
VEBAL,45.991389,17.296667
VELIT,43.351667,17.277222
VIBOP,44.9983,18.726678
XAMIT,43.311667,14.797778
XAPAN,44.953611,18.787222
XOLTA,42.703889,15.748333
ZAG30,45.858653,16.258414
