IDENT,LATITUDE,LONGITUDE
011AT,18.449797,-71.886256
068AT,18.381992,-71.933053
186AT,18.639722,-72.103903
AGNUR,18.665139,-72.3546
ALPIG,18.655,-72.913333
AVOLI,18.77565,-72.667953
BEEBE,18.581214,-72.269397
BENET,18.249561,-74.661786
BODLO,20.406667,-73.008333
BOTES,20.416667,-71.775
D278X,18.568839,-72.725231
D292V,18.658956,-72.680514
D319K,18.554817,-72.423742
D321X,18.844961,-72.617653
DAPOT,18.729511,-72.285056
DEPLO,18.945,-72.783333
DEPSI,19.033333,-74.402222
DUPRI,18.408667,-71.887686
ETB05,18.485494,-72.509922
ETB09,18.489303,-72.439889
ETB13,18.493083,-72.369856
ETB17,18.496839,-72.299819
ETBOD,18.516667,-71.883333
GABUN,18.8,-74.069794
GANIV,18.571328,-72.602444
GOMAB,18.58945,-72.102933
HAYES,18.578903,-72.315647
ILUSA,18.647772,-72.606972
IRDAS,18.773397,-72.111161
JOSES,20.145,-73.218333
KAATY,18.586,-72.173025
KAPER,18.564236,-72.602211
KATON,18.621583,-72.509431
KEN03,18.458139,-72.550464
KEN06,18.435569,-72.503486
KEN09,18.412986,-72.456519
KEN14,18.375319,-72.378269
KENOK,18.1356,-71.900325
KIRAL,18.577561,-72.341964
KOBEX,17.940025,-72.412225
LENOR,18.4149,-72.063219
LODMA,19.309378,-73.516669
MAAYA,18.574061,-72.412011
MAROT,18.495161,-72.912214
MEDON,19.771667,-73.01
MES05,18.410769,-72.549339
MESLI,18.13505,-72.358392
MUSAB,18.137483,-72.525211
NAGAN,18.582536,-72.243117
NALGA,17.935,-71.958333
NOKEN,18.664464,-72.260892
NOSOX,20.103294,-72.643919
NUKAM,18.126608,-72.614919
OBNOR,18.665,-72.398333
PAP01,18.791358,-72.268506
PAP05,18.57085,-72.39175
PAP08,18.560544,-72.218125
PAP09,18.563231,-72.461519
PAP10,18.581619,-72.260692
PAP11,18.573217,-72.497194
PAP12,18.556928,-72.51905
PAP18,18.576936,-72.335817
PAP20,18.577108,-72.339317
PAP22,18.611194,-72.691178
PAP24,18.934219,-72.495803
PAP28,18.526925,-72.792667
PAP31,18.708186,-72.463253
PAP40,18.770303,-72.407897
PAP50,18.577967,-72.391944
PAP73,18.575047,-72.391942
PAP80,18.695781,-72.367997
PAP82,18.611058,-72.7238
PAP83,18.631953,-72.721356
PAP90,18.579089,-72.462117
PAP96,18.579997,-72.520008
PETBA,17.950892,-72.672981
R1512,18.580775,-72.278158
R1523,18.579342,-72.306886
RETAK,20.193333,-71.693333
RIKOT,18.589594,-72.101183
SAV06,18.574225,-72.411786
SAV10,18.815075,-72.604736
SAVAR,19.089408,-72.601058
SEDET,19.158333,-72.231667
SERTA,18.4807,-72.597456
SIGMA,18.592022,-72.050361
SINKA,19.858611,-72.908333
TALOX,18.571342,-72.464333
TOVOL,18.133336,-72.083333
TUMAR,20.268333,-71.865878
URLAM,19.965278,-73.371667
URSOS,18.554575,-72.089928
VETMO,19.076222,-72.624808
VOM01,18.559147,-72.010119
VOM02,18.664786,-72.105264
VOM03,18.409394,-71.923108
VOM04,18.808067,-72.171267
VOM05,18.901689,-72.151258
VOMAK,18.584436,-72.205086
