IDENT,LATITUDE,LONGITUDE
ABETI,47.677778,17.012778
ABONY,47.270833,19.979167
ABULI,48.484167,20.486667
AGMAS,47.484167,19.691667
ALAMU,47.736944,18.33
ARSIN,47.567222,16.753611
BABIT,45.931667,18.928889
BABOX,46.895833,19.683056
BADOR,47.573611,22.108056
BALAP,48.068056,19.25
BALUX,47.340833,19.129444
BEGLA,47.830833,17.114444
BINKU,46.926111,20.459167
BOKSI,46.635278,19.830833
BUD10,47.291,19.375
BUD11,47.312725,19.431089
BUD12,47.318472,19.453686
BUD17,47.604136,19.600597
BUD32,47.483822,19.178958
BUD57,47.516336,19.148597
BUD72,47.357767,19.361567
BUD84,47.547225,19.100328
BUD90,47.347197,19.409556
BUDOP,46.6875,21.496667
DEGET,46.493611,21.267222
DIMLO,46.683611,16.422778
DODAR,47.214444,19.5275
DOSAD,47.107444,19.023242
EBORO,46.355833,19.9875
EPARI,47.686389,18.978056
ERGOM,47.808333,18.733056
ERLOS,47.0675,19.275
EVAXI,47.777856,17.100553
GELKA,48.101389,20.233056
GIGOR,47.7595,17.676764
GILEP,47.483333,18.258889
GITAS,47.054722,18.174167
GOTAR,46.997778,16.224722
KARIL,47.793889,22.442222
KEKED,48.523056,21.291389
KENIN,48.361667,21.927222
KEROP,46.184444,19.696667
KOVEK,47.847222,20.502778
KUNET,47.946667,17.326389
LITKU,48.230556,19.598611
LONLA,48.34,22.319722
MAVIR,46.398333,19.825278
MIRLU,47.934508,17.141619
MOPUG,46.163611,20.708056
NALAG,48.0425,19.765833
NALOX,46.869722,16.82
NARKA,47.248333,21.86
NIKAB,46.619167,17.545556
NORAH,47.616111,19.808056
NUBRA,47.866667,17.5
OKORA,46.766389,18.371389
OLATI,46.987222,17.479167
OSLEN,46.726667,20.3625
PCT02,47.374978,17.495272
PCT03,47.3518,17.5066
PCT12,47.211039,17.685031
PCT31,47.494947,17.344061
PCT51,47.447333,17.458831
PCT58,47.264944,17.550044
PERIT,47.788333,21.622778
PESAT,47.715,17.053056
PIDON,46.122222,18.069444
PUSTA,47.152222,18.742222
R2156,47.445422,19.25755
R2157,47.448706,19.220758
R2158,47.430475,19.250247
R2159,47.42295,19.293856
R4053,47.353814,17.505903
R4055,47.374156,17.495233
RIGSA,48.164444,20.751667
ROMKA,48.221944,21.840278
SASAL,47.284722,16.474444
SIRDU,47.254722,17.331944
SOGMO,46.610278,17.684167
SOPRO,47.587778,16.8025
STEIN,47.4275,16.599722
SUBES,47.421111,17.426667
SUNIS,47.141944,16.349722
SUNOR,46.479722,17.297222
TEKNO,47.623889,17.408889
TONDO,46.047222,19.355833
TORNO,47.539722,18.49
TPS09,47.375114,19.581989
TPS12,47.626875,19.226378
TPS13,47.436406,19.539233
TPS14,47.426231,19.555844
TPS15,47.360914,19.549697
TPS29,47.600117,19.072058
VAMOG,47.787222,17.6625
VEBOS,47.306389,18.637222
VERIG,47.172222,21.724722
XEGLI,47.15915,19.741669
XOMBA,47.756667,18.061944
AMRAX,48.091389,19.366111
BADOV,48.021111,18.815833
BAREB,45.746111,18.413333
DEMOP,48.174722,20.056944
ETARO,47.5,19.0
ETNOG,47.660556,21.97
GASNA,47.899722,17.133056
GEMTO,48.133333,22.594444
INVED,46.157778,20.401389
KOLUM,48.437778,21.074722
KOPRY,46.240278,16.962778
KUSIS,47.871667,22.383889
KUVEX,47.908333,17.4375
LUVEL,46.766667,21.336111
MAMOS,47.787778,19.066944
MEGIK,47.208333,21.861111
NATEX,47.746944,17.5
NIPUR,47.717222,20.013056
OGVUN,47.385,17.855556
PARAK,46.163889,20.094167
PATAK,48.073056,19.127222
PITOK,48.324722,20.371667
TEGRI,46.262778,21.104444
UVERA,47.2,20.429722
VEBAL,45.991389,17.296667
